table_name,classification,frontend_files,edge_files,db_function_mentions,trigger_mentions,write_ops,sample_frontend,sample_edge
annual_review_rescore_audit_2026_07,historical_repair_object,0,0,1,0,,,
annual_review_reset_archive,historical_repair_object,0,0,3,0,,,
annual_review_responses,actively_used_frontend,4,0,61,3,upsert,src/components/annual-review/AnnualReviewExportMenu.tsx,
annual_review_reviewer_remap_audit_2026_07,historical_repair_object,0,0,0,0,,,
annual_review_reviewer_resync_audit,db_internal_only,0,0,5,0,,,
annual_review_role_capabilities,db_internal_only,0,0,8,1,,,
annual_review_self_draft_reassign_audit,audit_compliance_only,0,0,0,0,,,
annual_review_self_review_bundle_items,apparently_unused,0,0,0,1,,,
annual_review_self_review_library,db_internal_only,0,0,2,1,,,
annual_review_settings,actively_used_frontend,1,0,2,1,"insert,update",src/services/annualReview/annualReviewSettings.ts,
annual_review_stage_transfer_audit_2026_07,historical_repair_object,0,0,4,0,,,
annual_review_system_kpi_weights,actively_used_frontend,2,0,0,1,"delete,insert,update",src/services/annualReview/bfclFormsImport.ts,
annual_review_system_kpis,actively_used_frontend,3,0,0,1,"delete,upsert",src/services/annualReview/bfclFormsImport.ts,
annual_review_template_archetypes,actively_used_frontend,1,0,0,1,update,src/services/annualReview/templateArchetypes.ts,
annual_review_templates,actively_used_frontend,8,0,23,1,"delete,insert,update",src/services/annualReview/annualReviewService.ts,
annual_score_config_audit,actively_used_frontend,1,0,0,0,insert,src/hooks/useAnnualScoreConfig.ts,
annual_score_configs,actively_used_frontend,1,1,0,1,"insert,update",src/hooks/useAnnualScoreConfig.ts,supabase/functions/compute-increment/index.ts
app_settings,actively_used_frontend,8,3,9,1,update,src/components/admin/AssistedSubmissionSettings.tsx,supabase/functions/password-rollout/index.ts
audit_kpi_assignments,actively_used_frontend,4,0,6,0,"delete,insert,update",src/hooks/useAuditAssignments.ts,
audit_kpi_level_assignments,actively_used_frontend,7,2,6,0,"delete,update,upsert",src/hooks/useAuditAssignments.ts,supabase/functions/auto-rollover-kpis/index.ts
audit_policies,actively_used_frontend,2,0,0,1,"insert,update",src/components/platform/DataGovernanceOverviewSubTab.tsx,
auth_lookup_attempts,db_internal_only,0,0,4,0,,,
backup_denylist,db_internal_only,0,0,1,0,,,
backup_logs,actively_used_frontend,2,5,0,0,"delete,insert,update",src/hooks/useBackups.ts,supabase/functions/backup-retention-sweep/index.ts
bulk_review_batches,db_internal_only,0,0,4,0,,,
bundle_assignment_logs,actively_used_frontend,1,0,1,0,insert,src/hooks/useTemplateBundles.ts,
business_unit_sub_units,actively_used_frontend,2,0,0,0,"delete,insert,update",src/hooks/useProductionTargets.ts,
business_units,actively_used_frontend,25,4,39,4,"insert,update",src/components/admin/BulkZeroScoreSection.tsx,supabase/functions/bulk-zero-score-non-submitters/index.ts
capability_registry,apparently_unused,0,0,0,0,,,
client_action_entitlements,actively_used_frontend,2,0,0,1,insert,src/hooks/useEntitlement.ts,
client_contacts,actively_used_frontend,1,0,7,1,"insert,update",src/components/platform/impl-console/CommunicationsTab.tsx,
client_error_reports,actively_used_frontend,1,0,0,0,insert,src/lib/diagnostics/reportClientError.ts,
client_implementer_assignments,actively_used_frontend,2,3,2,0,"delete,insert",src/components/platform/ImplementersTab.tsx,supabase/functions/impl-console-rotate-smtp-secret/index.ts
client_module_entitlements,actively_used_frontend,2,0,0,1,insert,src/hooks/useEntitlement.ts,
client_notification_templates,actively_used_frontend,1,1,2,1,"insert,update",src/components/platform/impl-console/TemplatesTab.tsx,supabase/functions/impl-console-send-test-email/index.ts
client_setup_checklist,actively_used_frontend,2,0,1,1,update,src/components/platform/impl-console/CommunicationsTab.tsx,
client_smtp_config,actively_used_frontend,1,2,0,1,upsert,src/pages/platform/ImplementationConsole.tsx,supabase/functions/impl-console-rotate-smtp-secret/index.ts
client_urls,actively_used_frontend,1,1,7,1,"insert,update",src/pages/platform/ImplementationConsole.tsx,supabase/functions/impl-console-send-test-email/index.ts
clients,actively_used_frontend,6,3,0,2,"insert,update",src/components/platform/ImplementersAuditTab.tsx,supabase/functions/impl-console-rotate-smtp-secret/index.ts
companies,actively_used_frontend,6,1,4,0,"delete,insert,update",src/components/incentive/IncentiveSlabEditor.tsx,supabase/functions/backfill-employee-master/index.ts
confirmation_increment_adjustments,edge_function_only,0,1,0,0,insert,,supabase/functions/compute-increment/index.ts
confirmation_increment_rules,actively_used_frontend,1,1,0,1,"insert,update",src/hooks/useConfirmationIncrementRule.ts,supabase/functions/compute-increment/index.ts
custom_reports,actively_used_frontend,1,0,0,1,"delete,insert,update",src/hooks/useCustomReports.ts,
dashboard_registry,apparently_unused,0,0,0,0,,,
data_classifications,actively_used_frontend,2,0,0,1,update,src/components/platform/DataGovernanceOverviewSubTab.tsx,
departments,actively_used_frontend,26,5,68,2,"insert,update",src/components/admin/BulkZeroScoreSection.tsx,supabase/functions/backfill-employee-master/index.ts
designations,actively_used_frontend,5,0,1,0,"insert,update",src/components/admin/JdManagerTab.tsx,
dev_report_entries,edge_function_only,0,1,1,1,insert,,supabase/functions/dev-report-ingest/index.ts
dev_report_entries_archive_seed,historical_repair_object,0,0,0,0,,,
divisions,actively_used_frontend,9,3,6,0,"insert,update",src/components/admin/BulkZeroScoreSection.tsx,supabase/functions/compute-increment/index.ts
email_change_audit,actively_used_frontend,1,3,0,0,insert,src/components/admin/UserAccessSheet.tsx,supabase/functions/create-employee/index.ts
email_dispatch_queue,edge_function_only,0,2,1,0,"delete,insert,update",,supabase/functions/send-email-notification/index.ts
email_logs,actively_used_frontend,1,1,0,0,insert,src/pages/admin/EmailLogs.tsx,supabase/functions/send-email-notification/index.ts
employee_categories,actively_used_frontend,2,2,0,0,,src/hooks/useIncrementEligibility.ts,supabase/functions/compute-increment/index.ts
employee_incentive_eligibility,actively_used_frontend,1,1,0,1,"update,upsert",src/hooks/useIncentiveEligibility.ts,supabase/functions/compute-monthly-incentives/index.ts
employee_incentive_records,actively_used_frontend,3,2,0,1,"delete,update,upsert",src/hooks/useIncentiveRecords.ts,supabase/functions/compute-monthly-incentives/index.ts
employee_job_descriptions,actively_used_frontend,4,0,0,0,"insert,update",src/components/admin/CompetencyManagerTab.tsx,
employee_master_custom_field_values,apparently_unused,0,0,0,1,,,
employee_master_custom_fields,apparently_unused,0,0,0,1,,,
employee_working_days,actively_used_frontend,2,0,0,1,upsert,src/hooks/useDailyAggregation.ts,
employment_status_history,edge_function_only,0,1,1,0,,,supabase/functions/compute-increment/index.ts
employment_statuses,actively_used_frontend,1,1,0,0,,src/hooks/useOrganization.ts,supabase/functions/create-employee/index.ts
entitlement_audit,actively_used_frontend,9,4,0,0,insert,src/components/platform/DataGovernanceOverviewSubTab.tsx,supabase/functions/impl-console-retention-sweep/index.ts
export_policies,actively_used_frontend,2,0,0,1,update,src/components/platform/DataGovernanceOverviewSubTab.tsx,
final_score_revisions,edge_function_only,0,1,2,0,update,,supabase/functions/bulk-review-auto-revert/index.ts
frequency_config,actively_used_frontend,1,0,2,0,update,src/hooks/useFrequencyConfig.ts,
general_eligibility_audit,actively_used_frontend,1,0,0,0,insert,src/hooks/useGeneralEligibility.ts,
general_eligibility_configs,actively_used_frontend,1,1,0,2,"insert,update",src/hooks/useGeneralEligibility.ts,supabase/functions/compute-increment/index.ts
iac_audit_log,actively_used_frontend,2,0,3,0,,src/components/admin/UserAccessSheet.tsx,
iac_capabilities,actively_used_frontend,1,0,0,0,,src/services/iac/iacService.ts,
iac_role_capabilities,actively_used_frontend,1,0,1,0,"delete,insert",src/services/iac/iacService.ts,
iac_roles,actively_used_frontend,1,0,6,1,"insert,update",src/services/iac/iacService.ts,
iac_user_role_assignments,actively_used_frontend,1,1,7,0,"delete,insert",src/services/iac/iacService.ts,supabase/functions/grant-iac-role/index.ts
impl_console_rate_buckets,actively_used_frontend,1,0,4,0,,src/pages/platform/ImplementationConsole.tsx,
import_field_settings,apparently_unused,0,0,0,1,,,
import_progress,actively_used_frontend,2,1,0,1,"delete,insert,update",src/components/admin/ClearAllKpiDataDialog.tsx,supabase/functions/import-kpis/index.ts
incentive_allocation_rules,actively_used_frontend,1,0,0,0,"delete,insert,update",src/hooks/useProductionTargets.ts,
incentive_custom_tab_data,actively_used_frontend,1,0,0,0,"delete,insert,update",src/hooks/useIncentiveCustomTabs.ts,
incentive_disqualification_rules,actively_used_frontend,1,1,0,1,"delete,insert,update",src/hooks/useIncentivePrograms.ts,supabase/functions/compute-monthly-incentives/index.ts
incentive_eligibility_fields,actively_used_frontend,1,0,0,0,"delete,insert,update",src/hooks/useIncentivePrograms.ts,
incentive_production_rates,actively_used_frontend,3,1,0,0,"delete,insert,update",src/components/incentive/UnifiedProductionDataTab.tsx,supabase/functions/compute-monthly-incentives/index.ts
incentive_program_custom_tabs,actively_used_frontend,1,0,0,0,"delete,insert,update",src/hooks/useIncentiveCustomTabs.ts,
incentive_program_mappings,actively_used_frontend,3,1,1,0,"delete,insert",src/hooks/useIncentiveProgramMappingCount.ts,supabase/functions/compute-monthly-incentives/index.ts
incentive_program_types,actively_used_frontend,1,0,0,0,"delete,insert",src/hooks/useIncentiveProgramTypes.ts,
incentive_programs,actively_used_frontend,1,1,0,1,"delete,insert,update",src/hooks/useIncentivePrograms.ts,supabase/functions/compute-monthly-incentives/index.ts
incentive_score_revisions,actively_used_frontend,2,1,0,0,"insert,update",src/hooks/useIncentiveRecords.ts,supabase/functions/detect-retroactive-incentive-changes/index.ts
incentive_slab_categories,actively_used_frontend,1,0,0,0,"delete,insert,update",src/hooks/useIncentiveSlabCategories.ts,
incentive_slabs,actively_used_frontend,1,2,0,1,"delete,insert,update",src/hooks/useIncentivePrograms.ts,supabase/functions/compute-monthly-incentives/index.ts
incentive_stale_zero_cleanup_audit,audit_compliance_only,0,0,0,0,,,
incentive_vessel_rates,actively_used_frontend,3,1,0,1,"delete,upsert",src/components/incentive/IncentiveDataExport.tsx,supabase/functions/compute-monthly-incentives/index.ts
increment_eligibility_audit,actively_used_frontend,1,0,2,0,insert,src/hooks/useIncrementEligibility.ts,
increment_eligibility_configs,actively_used_frontend,1,1,1,2,"insert,update",src/hooks/useIncrementEligibility.ts,supabase/functions/compute-increment/index.ts
increment_eligibility_criteria,actively_used_frontend,1,1,0,2,"delete,insert,update",src/hooks/useIncrementEligibility.ts,supabase/functions/compute-increment/index.ts
increment_eligibility_exclusions,actively_used_frontend,1,1,0,1,"delete,upsert",src/hooks/useIncrementEligibility.ts,supabase/functions/compute-increment/index.ts
increment_inputs,actively_used_frontend,1,1,0,1,upsert,src/hooks/useIncrementInputs.ts,supabase/functions/compute-increment/index.ts
increment_method_configs,actively_used_frontend,1,1,0,1,"insert,update",src/hooks/useIncrementMethod.ts,supabase/functions/compute-increment/index.ts
increment_method_slabs,actively_used_frontend,1,1,0,1,insert,src/hooks/useIncrementMethod.ts,supabase/functions/compute-increment/index.ts
increment_run_items,actively_used_frontend,1,1,0,0,"delete,insert,update",src/hooks/useIncrementRuns.ts,supabase/functions/compute-increment/index.ts
increment_runs,actively_used_frontend,1,1,0,0,"insert,update",src/hooks/useIncrementRuns.ts,supabase/functions/compute-increment/index.ts
increment_slabs,actively_used_frontend,1,1,0,1,"delete,insert,update",src/hooks/useIncrementSlabs.ts,supabase/functions/compute-increment/index.ts
increment_slabs_audit,audit_compliance_only,0,0,0,0,,,
integration_connector_registry,apparently_unused,0,0,0,0,,,
kpi_audit_logs,actively_used_frontend,27,8,57,0,insert,src/components/admin/AcknowledgeVariancePopover.tsx,supabase/functions/auto-lock-review-periods/index.ts
kpi_definitions,actively_used_frontend,3,0,22,1,"delete,insert,update",src/components/review/KpiJourneySection.tsx,
kpi_dust_emission_rescale_2026_06,historical_repair_object,0,0,2,0,,,
kpi_mention_access,actively_used_frontend,1,0,4,0,upsert,src/hooks/useKpiObservations.ts,
kpi_name_aliases,actively_used_frontend,4,0,28,0,"delete,insert",src/components/review/KpiJourneySection.tsx,
kpi_observation_replies,actively_used_frontend,1,0,3,2,update,src/hooks/useObservationReplies.ts,
kpi_observations,actively_used_frontend,3,1,5,3,"delete,insert,update",src/hooks/useKpiObservations.ts,supabase/functions/send-query-observation-reminders/index.ts
kpi_queries,actively_used_frontend,12,3,9,5,"insert,update",src/components/review/ManagementScorecard.tsx,supabase/functions/auto-lock-review-periods/index.ts
kpi_registry_audit_log,db_internal_only,0,0,3,0,,,
kpi_rollback_requests,actively_used_frontend,2,0,2,0,"insert,update",src/hooks/useAllRollbackRequests.ts,
kpi_scanner_skips,actively_used_frontend,1,0,3,0,"delete,insert",src/hooks/useKpiRegistry.ts,
kpi_standardization_actions,actively_used_frontend,1,0,5,0,,src/hooks/useKpiRegistry.ts,
kpi_templates,actively_used_frontend,1,0,2,1,"delete,insert,update",src/hooks/useKpiTemplates.ts,
kpis,actively_used_frontend,86,14,219,20,"delete,insert,update",src/components/admin/AcknowledgeVariancePopover.tsx,supabase/functions/auto-lock-review-periods/index.ts
kra_categories,actively_used_frontend,10,3,14,0,"delete,insert,update",src/hooks/useKpis.ts,supabase/functions/import-kpis/index.ts
kra_rollover_logs,actively_used_frontend,1,1,1,0,insert,src/hooks/useSystemSettings.ts,supabase/functions/auto-rollover-kpis/index.ts
levels,actively_used_frontend,4,0,10,0,"insert,update",src/components/admin/OrgStructureImport.tsx,
locations,actively_used_frontend,4,2,2,1,insert,src/hooks/useCompanies.ts,supabase/functions/backfill-employee-master/index.ts
menu_access_config,actively_used_frontend,2,0,0,0,"delete,update,upsert",src/hooks/useMenuAccess.ts,
menu_access_user_overrides,actively_used_frontend,2,1,1,0,"delete,upsert",src/hooks/useMenuAccess.ts,supabase/functions/_shared/incentive-auth.ts
menu_override_audit,actively_used_frontend,2,0,0,0,insert,src/components/admin/MenuSettingTab.tsx,
menu_overrides,actively_used_frontend,3,0,16,1,"delete,insert,update",src/components/admin/MenuSettingTab.tsx,
menu_registry,actively_used_frontend,3,0,8,2,"delete,insert,upsert",src/components/admin/MenuSettingTab.tsx,
module_registry,actively_used_frontend,1,0,0,1,,src/pages/platform/PlatformSettings.tsx,
modules,actively_used_frontend,3,0,0,0,update,src/components/safety/SafetyModuleRoute.tsx,
notification_event_registry,apparently_unused,0,0,0,0,,,
notifications,actively_used_frontend,14,2,23,2,"insert,update",src/components/management/NotificationsSummary.tsx,supabase/functions/annual-review-reminders/index.ts
okv_migration_history,db_internal_only,0,0,2,0,,,
org_head_config,actively_used_frontend,1,0,10,2,,src/services/orgHeads/orgHeadsService.ts,
org_kpi_data_entry_logs,actively_used_frontend,3,1,0,0,insert,src/hooks/useAllRollbackRequests.ts,supabase/functions/bulk-zero-score-non-submitters/index.ts
org_kpi_data_owners,actively_used_frontend,6,1,13,1,"delete,upsert",src/hooks/useMarkAsOrgLevel.ts,supabase/functions/send-pending-report-reminder/index.ts
org_kpi_owner_key_backup,apparently_unused,0,0,0,0,,,
org_kpi_owner_key_backup_2026_05,historical_repair_object,0,0,0,0,,,
org_kpi_owner_key_backup_2026_06,historical_repair_object,0,0,0,0,,,
org_kpi_value_history,actively_used_frontend,1,0,0,0,insert,src/hooks/useOrgKpiValueHistory.ts,
org_kpi_values,actively_used_frontend,11,3,51,4,"delete,insert,update,upsert",src/components/admin/AdminKpiEditorForm.tsx,supabase/functions/bulk-zero-score-non-submitters/index.ts
password_rollout_logs,actively_used_frontend,2,1,0,0,insert,src/components/admin/UserAccessSheet.tsx,supabase/functions/password-rollout/index.ts
performance_improvement_plans,actively_used_frontend,1,1,0,2,"insert,update",src/hooks/usePIP.ts,supabase/functions/generate-pip-letter/index.ts
performance_reviews,actively_used_frontend,2,0,0,1,delete,src/components/admin/ClearAllKpiDataDialog.tsx,
pip_audit_logs,actively_used_frontend,1,0,1,0,insert,src/hooks/usePIP.ts,
pip_milestones,actively_used_frontend,2,1,0,1,"insert,update",src/hooks/usePIP.ts,supabase/functions/generate-pip-letter/index.ts
pms_evidence_compression_jobs,actively_used_frontend,1,1,1,0,update,src/components/admin/ServerCompressionPanel.tsx,supabase/functions/compress-evidence/index.ts
pms_grades,actively_used_frontend,4,0,5,0,"insert,update",src/components/admin/OrgStructureImport.tsx,
privacy_consent_settings,actively_used_frontend,2,0,0,1,"insert,update",src/components/platform/DataGovernanceOverviewSubTab.tsx,
production_daily_entries,actively_used_frontend,2,1,0,0,upsert,src/hooks/useProductionDailyEntries.ts,supabase/functions/compute-monthly-incentives/index.ts
production_targets,actively_used_frontend,2,0,0,1,upsert,src/components/incentive/IncentiveDataExport.tsx,
profiles,actively_used_frontend,111,23,233,11,"delete,insert,update,upsert",src/components/admin/AccessProfilesManager.tsx,supabase/functions/auto-rollover-kpis/index.ts
registry_suggestion_dismissals,db_internal_only,0,0,4,0,,,
report_access_config,actively_used_frontend,1,0,0,0,upsert,src/hooks/useReportAccess.ts,
report_access_user_overrides,actively_used_frontend,1,0,1,0,"delete,upsert",src/hooks/useReportAccess.ts,
report_field_override_audit,actively_used_frontend,1,0,0,0,insert,src/components/admin/ReportFieldSequenceTab.tsx,
report_field_overrides,actively_used_frontend,2,0,0,1,"insert,update",src/components/admin/ReportFieldSequenceTab.tsx,
report_field_registry,actively_used_frontend,2,0,2,0,upsert,src/components/admin/ReportFieldSequenceTab.tsx,
report_registry,actively_used_frontend,4,0,0,0,upsert,src/components/admin/ReportFieldSequenceTab.tsx,
report_registry_v2,apparently_unused,0,0,0,0,,,
retention_policies,actively_used_frontend,2,0,0,1,"insert,update",src/components/platform/DataGovernanceOverviewSubTab.tsx,
review_action_notes,apparently_unused,0,0,0,2,,,
review_period_audit_log,actively_used_frontend,1,1,0,0,insert,src/hooks/useReviewPeriodGovernance.ts,supabase/functions/auto-lock-review-periods/index.ts
review_period_auto_rules,actively_used_frontend,1,1,0,0,"delete,insert,update",src/components/admin/ReviewPeriodAutoRules.tsx,supabase/functions/auto-lock-review-periods/index.ts
review_period_locks,actively_used_frontend,2,2,6,0,"delete,insert,update",src/components/management/ReviewPeriodStatusWidget.tsx,supabase/functions/auto-lock-review-periods/index.ts
review_period_stages,actively_used_frontend,1,1,0,0,"insert,update",src/hooks/useReviewPeriodGovernance.ts,supabase/functions/auto-lock-review-periods/index.ts
review_periods,actively_used_frontend,9,2,5,2,"insert,update,upsert",src/components/admin/AdminKpiEditorForm.tsx,supabase/functions/auto-rollover-kpis/index.ts
review_submissions,actively_used_frontend,31,10,114,11,"delete,insert,update,upsert",src/components/admin/AdminDataEntryDialog.tsx,supabase/functions/auto-lock-review-periods/index.ts
safety_asset_calibrations,actively_used_frontend,1,0,1,0,,src/hooks/useSafetyAssets.ts,
safety_asset_evidence,actively_used_frontend,1,0,0,0,,src/hooks/useSafetyAssets.ts,
safety_assets,actively_used_frontend,2,1,9,1,"delete,insert,update",src/hooks/useSafetyAssets.ts,supabase/functions/asset-calibration-sweep/index.ts
safety_audit_log,actively_used_frontend,3,0,18,0,,src/components/safety/settings/SafetyPermissionsTab.tsx,
safety_audit_run_responses,actively_used_frontend,1,0,5,0,upsert,src/hooks/useSafetyAudits.ts,
safety_audit_runs,actively_used_frontend,2,0,16,2,insert,src/hooks/useSafetyAudits.ts,
safety_audit_template_items,actively_used_frontend,1,0,2,0,"delete,upsert",src/hooks/useSafetyAudits.ts,
safety_audit_templates,actively_used_frontend,1,0,0,1,"insert,update",src/hooks/useSafetyAudits.ts,
safety_drill_findings,actively_used_frontend,1,0,0,1,insert,src/hooks/useSafetyEmergency.ts,
safety_drill_participants,actively_used_frontend,1,0,0,1,upsert,src/hooks/useSafetyEmergency.ts,
safety_drill_runs,actively_used_frontend,1,1,0,0,insert,src/hooks/useLatestSafetyDrillRun.ts,supabase/functions/safety-drill/index.ts
safety_emergency_contacts,actively_used_frontend,1,0,0,1,"delete,insert,update",src/hooks/useSafetyEmergency.ts,
safety_emergency_drills,actively_used_frontend,1,0,9,2,insert,src/hooks/useSafetyEmergency.ts,
safety_incident_evidence,actively_used_frontend,3,1,5,2,"insert,update",src/components/admin/ServerCompressionPanel.tsx,supabase/functions/compress-evidence/index.ts
safety_incident_progress_logs,actively_used_frontend,1,0,0,0,insert,src/hooks/useSafetyIncidentDetail.ts,
safety_incident_routing_rules,actively_used_frontend,1,0,4,1,"delete,insert,update",src/hooks/useSafetyIncidentRouting.ts,
safety_incident_severities,actively_used_frontend,1,0,2,1,"delete,insert,update",src/hooks/useSafetyIncidentTypes.ts,
safety_incident_sla_rules,actively_used_frontend,1,0,2,1,"insert,update",src/hooks/useSafetyIncidentSlaRules.ts,
safety_incident_timeline,actively_used_frontend,1,0,4,0,,src/hooks/useSafetyIncidentDetail.ts,
safety_incident_types,actively_used_frontend,1,0,2,1,"delete,insert,update",src/hooks/useSafetyIncidentTypes.ts,
safety_incidents,actively_used_frontend,4,0,25,4,"insert,update",src/hooks/useSafetyIncidentDetail.ts,
safety_master_data,actively_used_frontend,1,0,0,1,"delete,upsert",src/hooks/useSafetyMasterData.ts,
safety_module_access,actively_used_frontend,1,0,0,1,"delete,upsert",src/pages/admin/ModuleHubSettings.tsx,
safety_notifications,actively_used_frontend,1,1,1,0,"insert,update",src/hooks/useSafetyNotifications.ts,supabase/functions/asset-calibration-sweep/index.ts
safety_permission_keys,actively_used_frontend,1,0,1,0,,src/components/safety/settings/SafetyPermissionsTab.tsx,
safety_permit_approvals,actively_used_frontend,1,0,6,0,,src/hooks/useSafetyPermits.ts,
safety_permit_evidence,apparently_unused,0,0,0,0,,,
safety_permit_hira,actively_used_frontend,1,0,1,0,insert,src/hooks/useSafetyPermits.ts,
safety_permit_loto_steps,actively_used_frontend,1,0,1,0,insert,src/hooks/useSafetyPermits.ts,
safety_permit_type_config,actively_used_frontend,1,0,1,0,"delete,upsert",src/hooks/useSafetyPermits.ts,
safety_permits,actively_used_frontend,2,0,27,2,insert,src/hooks/useSafetyPermits.ts,
safety_role_permissions,actively_used_frontend,1,0,1,1,upsert,src/components/safety/settings/SafetyPermissionsTab.tsx,
safety_settings,actively_used_frontend,1,0,8,1,,src/hooks/useSafetySettings.ts,
safety_severity_sla,db_internal_only,0,0,2,1,,,
safety_sla_escalations,db_internal_only,0,0,2,0,,,
safety_user_permission_overrides,actively_used_frontend,1,0,1,1,"delete,upsert",src/components/safety/settings/SafetyPermissionsTab.tsx,
safety_user_roles,actively_used_frontend,2,2,12,1,"delete,insert",src/hooks/useSafetyIncidents.ts,supabase/functions/check-safety-sla/index.ts
sensitive_fields,actively_used_frontend,2,0,0,1,"insert,update",src/components/platform/DataGovernanceOverviewSubTab.tsx,
skill_competencies,actively_used_frontend,3,0,0,0,"delete,insert,update",src/components/admin/CompetencyAssessmentDialog.tsx,
sub_branches,actively_used_frontend,5,0,0,0,"insert,update",src/components/admin/OrgStructureImport.tsx,
sub_period_submissions,actively_used_frontend,5,0,1,2,"delete,insert,update,upsert",src/components/admin/AdminDailyEntryDialog.tsx,
system_audit_logs,actively_used_frontend,2,2,51,0,insert,src/pages/admin/ImportData.tsx,supabase/functions/auto-rollover-kpis/index.ts
system_settings,actively_used_frontend,12,13,3,1,"insert,update,upsert",src/components/admin/EmailTemplateEditor.tsx,supabase/functions/auto-rollover-kpis/index.ts
template_bundle_items,actively_used_frontend,1,0,1,0,"delete,insert",src/hooks/useTemplateBundles.ts,
template_bundles,actively_used_frontend,1,0,2,1,"delete,insert,update",src/hooks/useTemplateBundles.ts,
template_change_logs,actively_used_frontend,1,1,0,0,insert,src/hooks/useKpiTemplates.ts,supabase/functions/propagate-template-change/index.ts
training_needs,actively_used_frontend,1,0,4,1,"insert,update",src/hooks/useTNI.ts,
user_roles,actively_used_frontend,14,26,28,0,"delete,insert,update",src/components/admin/AuditAssignmentDialog.tsx,supabase/functions/_shared/admin-auth.ts
vessel_monthly_entries,actively_used_frontend,2,1,0,1,upsert,src/components/incentive/IncentiveDataExport.tsx,supabase/functions/compute-monthly-incentives/index.ts
workflow_config,actively_used_frontend,2,1,26,3,"delete,insert,update",src/hooks/useWorkflowConfig.ts,supabase/functions/bulk-zero-score-non-submitters/index.ts
workflow_config_migration_log,db_internal_only,0,0,1,0,,,
workflow_final_score_rules,db_internal_only,0,0,6,1,,,
workflow_settings,actively_used_frontend,1,0,0,1,update,src/hooks/useWorkflowSettings.ts,
workflow_templates,actively_used_frontend,2,1,35,0,"delete,insert,update",src/hooks/useOrganization.ts,supabase/functions/bulk-zero-score-non-submitters/index.ts
