tbl,idx,size,idx_scan
locations,idx_locations_active,16 kB,0
import_field_settings,idx_import_field_settings_type,16 kB,0
iac_user_role_assignments,iac_user_role_assignments_role_idx,16 kB,0
menu_override_audit,menu_override_audit_menu_idx,16 kB,0
workflow_final_score_rules,idx_wfsr_lookup,16 kB,0
iac_audit_log,iac_audit_log_target_idx,16 kB,0
template_bundles,idx_template_bundles_department_id,16 kB,0
safety_incidents,idx_safety_incidents_status,16 kB,0
safety_incidents,idx_safety_incidents_actual_reporter,16 kB,0
safety_incidents,idx_safety_incidents_close_due,16 kB,0
privacy_consent_settings,idx_privacy_consent_settings_module,16 kB,0
okv_migration_history,idx_okv_migration_history_lookup,16 kB,0
retention_policies,idx_retention_policies_module,16 kB,0
review_action_notes,idx_ran_applicable_from,16 kB,0
safety_incidents,idx_safety_incidents_safety_head_id,16 kB,0
annual_review_assignment_rules,idx_arar_archetype_grade,16 kB,0
annual_score_config_audit,annual_score_audit_config_idx,16 kB,0
email_dispatch_queue,idx_email_dispatch_queue_pending,16 kB,0
users,users_instance_id_idx,16 kB,0
incentive_production_rates,idx_prod_rate_program_date,16 kB,0
sessions,sessions_oauth_client_id_idx,16 kB,0
bulk_review_batches,idx_bulk_review_batches_performed_by,16 kB,0
audit_policies,audit_policies_module_idx,16 kB,0
sessions,sessions_not_after_idx,16 kB,0
safety_incidents,idx_safety_incidents_verifier_id,16 kB,0
safety_audit_log,safety_audit_log_entity_idx,16 kB,0
safety_audit_runs,idx_safety_audit_runs_bu,16 kB,0
incentive_slabs,idx_slabs_program_eff,16 kB,0
kpi_registry_audit_log,idx_registry_audit_action,16 kB,0
access_profiles,idx_access_profiles_created_by,16 kB,0
employee_job_descriptions,idx_employee_job_descriptions_created_by,16 kB,0
import_progress,idx_import_progress_user_id,16 kB,0
org_kpi_data_owners,idx_okdo_department_id,8192 bytes,0
saml_relay_states,saml_relay_states_sso_provider_id_idx,8192 bytes,0
saml_relay_states,saml_relay_states_for_email_idx,8192 bytes,0
flow_state,idx_auth_code,8192 bytes,0
flow_state,idx_user_id_auth_method,8192 bytes,0
flow_state,flow_state_created_at_idx,8192 bytes,0
saml_relay_states,saml_relay_states_created_at_idx,8192 bytes,0
mfa_challenges,mfa_challenge_created_at_idx,8192 bytes,0
mfa_factors,mfa_factors_user_id_idx,8192 bytes,0
audit_log_entries,audit_logs_instance_id_idx,8192 bytes,0
mfa_factors,factor_id_created_at_idx,8192 bytes,0
sso_domains,sso_domains_sso_provider_id_idx,8192 bytes,0
sso_providers,sso_providers_resource_id_pattern_idx,8192 bytes,0
oauth_clients,oauth_clients_deleted_at_idx,8192 bytes,0
oauth_authorizations,oauth_auth_pending_exp_idx,8192 bytes,0
oauth_consents,oauth_consents_active_user_client_idx,8192 bytes,0
oauth_consents,oauth_consents_user_order_idx,8192 bytes,0
oauth_consents,oauth_consents_active_client_idx,8192 bytes,0
oauth_client_states,idx_oauth_client_states_created_at,8192 bytes,0
s3_multipart_uploads,idx_multipart_uploads_list,8192 bytes,0
performance_improvement_plans,idx_pip_status,8192 bytes,0
pip_milestones,idx_pip_milestones_pip,8192 bytes,0
pip_audit_logs,idx_pip_audit_pip,8192 bytes,0
safety_drill_participants,idx_safety_drill_participants_drill,8192 bytes,0
webauthn_credentials,webauthn_credentials_user_id_idx,8192 bytes,0
webauthn_challenges,webauthn_challenges_user_id_idx,8192 bytes,0
webauthn_challenges,webauthn_challenges_expires_at_idx,8192 bytes,0
org_kpi_value_history,idx_org_kpi_value_history_created,8192 bytes,0
custom_oauth_providers,custom_oauth_providers_identifier_idx,8192 bytes,0
custom_oauth_providers,custom_oauth_providers_provider_type_idx,8192 bytes,0
custom_oauth_providers,custom_oauth_providers_enabled_idx,8192 bytes,0
custom_oauth_providers,custom_oauth_providers_created_at_idx,8192 bytes,0
final_score_revisions,idx_final_score_revisions_batch,8192 bytes,0
final_score_revisions,idx_final_score_revisions_performed_by,8192 bytes,0
kpis,idx_kpis_location_id,8192 bytes,0
kpis,idx_kpis_pms_grade_id,8192 bytes,0
kpis,idx_kpis_level_id,8192 bytes,0
org_kpi_values,idx_okv_division_id,8192 bytes,0
org_kpi_values,idx_okv_business_unit_id,8192 bytes,0
org_kpi_values,idx_okv_location_id,8192 bytes,0
org_kpi_values,idx_okv_pms_grade_id,8192 bytes,0
org_kpi_values,idx_okv_level_id,8192 bytes,0
org_kpi_data_owners,idx_okdo_division_id,8192 bytes,0
org_kpi_data_owners,idx_okdo_business_unit_id,8192 bytes,0
saml_providers,saml_providers_sso_provider_id_idx,8192 bytes,0
org_kpi_data_owners,idx_okdo_location_id,8192 bytes,0
org_kpi_data_owners,idx_okdo_pms_grade_id,8192 bytes,0
org_kpi_data_owners,idx_okdo_level_id,8192 bytes,0
safety_master_data,idx_safety_master_data_category,8192 bytes,0
messages_2026_07_27,messages_2026_07_27_inserted_at_topic_idx,8192 bytes,0
safety_assets,idx_safety_assets_expires,8192 bytes,0
safety_permits,idx_safety_permits_end_at,8192 bytes,0
safety_asset_evidence,idx_safety_asset_evidence_asset,8192 bytes,0
safety_permit_approvals,idx_permit_approvals_role,8192 bytes,0
messages_2026_07_28,messages_2026_07_28_inserted_at_topic_idx,8192 bytes,0
messages_2026_07_29,messages_2026_07_29_inserted_at_topic_idx,8192 bytes,0
messages_2026_07_26,messages_2026_07_26_inserted_at_topic_idx,8192 bytes,0
messages_2026_07_31,messages_2026_07_31_inserted_at_topic_idx,8192 bytes,0
safety_incidents,idx_safety_incidents_duplicate_of,8192 bytes,0
workflow_config_migration_log,idx_wcm_log_run_id,8192 bytes,0
workflow_config_migration_log,idx_wcm_log_source,8192 bytes,0
sensitive_fields,sensitive_fields_module_idx,8192 bytes,0
sensitive_fields,sensitive_fields_classification_idx,8192 bytes,0
messages_2026_07_30,messages_2026_07_30_inserted_at_topic_idx,8192 bytes,0
messages_2026_07_25,messages_2026_07_25_inserted_at_topic_idx,8192 bytes,0
client_notification_templates,client_notification_templates_client_idx,8192 bytes,0
