function_name,arguments,returns,security_definer,volatility,language,config,owner,grantees,body_length
annual_review_prev_role,"p_enabled jsonb, p_role annual_reviewer_role",annual_reviewer_role,f,IMMUTABLE,plpgsql,search_path=public,postgres,"PUBLIC,sandbox_exec",461
annual_review_prev_status,"p_enabled jsonb, p_role annual_reviewer_role",annual_review_status,f,IMMUTABLE,plpgsql,search_path=public,postgres,"PUBLIC,sandbox_exec",743
annual_review_rehydrate_kra_for_cycle,"p_cycle_id uuid, p_mode text, p_reason text, p_instance_ids uuid[]",uuid,t,VOLATILE,plpgsql,search_path=public,postgres,"PUBLIC,sandbox_exec",5744
annual_review_repair_downstream_rewind,"p_instance_id uuid, p_reason text",annual_review_status,t,VOLATILE,plpgsql,search_path=public,postgres,"PUBLIC,sandbox_exec",4413
annual_review_resolve_final_rating,p_total_score numeric,text,f,STABLE,plpgsql,search_path=public,postgres,"PUBLIC,sandbox_exec",883
annual_review_reviewer_slot_diagnostic,p_cycle_id uuid,"TABLE(instance_id uuid, employee_id uuid, employee_code text, employee_name text, overall_status text, enabled_stages jsonb, slot text, stage_enabled boolean, stage_still_open boolean, actual_user_id uuid, expected_user_id uuid, mismatch_kind text)",t,STABLE,plpgsql,search_path=public,postgres,sandbox_exec,3839
annual_review_rollback_kra_rehydrate_run,"p_run_id uuid, p_reason text",uuid,t,VOLATILE,plpgsql,search_path=public,postgres,"PUBLIC,sandbox_exec",3106
annual_review_stage_ord,p_role text,integer,f,IMMUTABLE,sql,search_path=public,postgres,"PUBLIC,sandbox_exec",210
annual_review_stage_scoreable_criteria_count,"p_instance_id uuid, p_reviewer_role annual_reviewer_role",integer,f,STABLE,plpgsql,search_path=public,postgres,"PUBLIC,sandbox_exec",1230
annual_review_status_ord,p_status text,integer,f,IMMUTABLE,sql,search_path=public,postgres,"PUBLIC,sandbox_exec",245
annual_review_status_rank,s annual_review_status,integer,f,IMMUTABLE,sql,"",postgres,"PUBLIC,sandbox_exec",330
annual_review_subtree_ids,"p_manager uuid, p_max_depth integer",TABLE(employee_id uuid),t,STABLE,sql,search_path=public,postgres,"PUBLIC,sandbox_exec",405
annual_review_validate_stage_weights,p_weights jsonb,boolean,f,IMMUTABLE,plpgsql,search_path=public,postgres,"PUBLIC,sandbox_exec",650
apply_final_score_rule,p_kpi_id uuid,void,t,VOLATILE,plpgsql,search_path=public,postgres,sandbox_exec,4186
apply_workflow_global_default_migration,"","TABLE(run_id uuid, rows_inserted integer, rows_skipped integer)",t,VOLATILE,plpgsql,search_path=public,postgres,sandbox_exec,1670
ar_expected_reviewer_slots,p_instance_id uuid,"TABLE(slot text, expected_user_id uuid)",t,STABLE,plpgsql,search_path=public,postgres,sandbox_exec,1098
archive_annual_review_response,"p_response_id uuid, p_reason text",void,t,VOLATILE,plpgsql,search_path=public,postgres,"PUBLIC,sandbox_exec",803
assign_permit_number,"",trigger,f,VOLATILE,plpgsql,search_path=public,postgres,"PUBLIC,sandbox_exec",228
audit_okv_evidence_targeting,"",trigger,t,VOLATILE,plpgsql,search_path=public,postgres,sandbox_exec,1344
auto_compute_rating_and_clamp_scores,"",trigger,f,VOLATILE,plpgsql,search_path=public,postgres,"PUBLIC,sandbox_exec",2300
auto_expire_rollback_requests,"",trigger,t,VOLATILE,plpgsql,search_path=public,postgres,sandbox_exec,229
backfill_late_joiner_org_kpis,p_dry_run boolean,jsonb,t,VOLATILE,plpgsql,search_path=public,postgres,sandbox_exec,3358
backfill_management_stage_all,"p_reopen_completed boolean, p_dry_run boolean, p_reason text","TABLE(management_uid uuid, management_name text, rows_stamped integer, rows_reopened integer, snapshots_written integer)",t,VOLATILE,plpgsql,search_path=public,postgres,sandbox_exec,1001
backfill_management_stage_for_manager,"p_management_uid uuid, p_reopen_completed boolean, p_dry_run boolean, p_reason text",jsonb,t,VOLATILE,plpgsql,search_path=public,postgres,sandbox_exec,3798
backfill_multimonth_percolation,"","TABLE(processed_count integer, sibling_count integer)",t,VOLATILE,plpgsql,search_path=public,postgres,sandbox_exec,7471
batch_insert_kpis_with_rollover_flag,kpis_json jsonb,integer,t,VOLATILE,plpgsql,search_path=public,postgres,sandbox_exec,1731
block_when_annual_cycle_closed,"",trigger,t,VOLATILE,plpgsql,search_path=public,postgres,sandbox_exec,1449
bulk_create_annual_review_instances,"p_employee_ids uuid[], p_cycle_id uuid","TABLE(employee_id uuid, instance_id uuid, status text, message text)",t,VOLATILE,plpgsql,search_path=public,postgres,sandbox_exec,1160
bulk_exclude_annual_review_instances,"p_instance_ids uuid[], p_reason text","TABLE(instance_id uuid, status text, message text)",t,VOLATILE,plpgsql,search_path=public,postgres,sandbox_exec,1942
bulk_finalize_annual_reviews,"p_instance_ids uuid[], p_final_rating text, p_hr_remarks text",integer,f,VOLATILE,plpgsql,search_path=public,postgres,"PUBLIC,sandbox_exec",890
bulk_force_reset_annual_review_instances,"p_items jsonb, p_reason text",jsonb,t,VOLATILE,plpgsql,search_path=public,postgres,sandbox_exec,1453
bulk_management_approve,"p_cells jsonb, p_batch_reason text, p_attachment_urls jsonb, p_achieved_values jsonb, p_is_override boolean",jsonb,t,VOLATILE,plpgsql,search_path=public,postgres,sandbox_exec,14753
bulk_reopen_cells,"p_cells jsonb, p_stages_to_unlock text[], p_reason text",jsonb,t,VOLATILE,plpgsql,search_path=public,postgres,sandbox_exec,3639
bulk_restore_annual_review_instances,"p_instance_ids uuid[], p_reason text","TABLE(instance_id uuid, status text, message text)",t,VOLATILE,plpgsql,search_path=public,postgres,sandbox_exec,1905
bulk_review_snapshot,"p_period text, p_year integer, p_viewer_stage text, p_filters jsonb, p_page integer, p_page_size integer",jsonb,t,STABLE,plpgsql,search_path=public,postgres,sandbox_exec,3634
bulk_save_stage_drafts,"p_stage text, p_cells jsonb, p_batch_reason text, p_attachment_urls jsonb, p_achieved_values jsonb, p_manual_scores jsonb, p_is_na jsonb, p_na_reasons jsonb",jsonb,t,VOLATILE,plpgsql,search_path=public,postgres,sandbox_exec,9481
bulk_scope_preview,"p_period text, p_year integer, p_filters jsonb",jsonb,t,STABLE,plpgsql,search_path=public,postgres,sandbox_exec,2059
bulk_set_annual_review_template_override,"p_instance_ids uuid[], p_template_id uuid, p_reason text","TABLE(instance_id uuid, status text, message text)",t,VOLATILE,plpgsql,search_path=public,postgres,sandbox_exec,1973
bulk_upsert_org_kpi_values,p_rows jsonb,"TABLE(id uuid, was_insert boolean)",f,VOLATILE,plpgsql,search_path=public,postgres,"PUBLIC,sandbox_exec",4928
bulk_write_stage_scores,"p_stage text, p_cells jsonb, p_batch_reason text, p_attachment_urls jsonb",jsonb,t,VOLATILE,plpgsql,search_path=public,postgres,sandbox_exec,10158
bulk_write_stage_scores,"p_stage text, p_cells jsonb, p_batch_reason text, p_attachment_urls jsonb, p_manual_scores jsonb, p_achieved_values jsonb, p_is_override boolean, p_evidence_urls jsonb, p_is_na jsonb, p_na_reasons jsonb",jsonb,t,VOLATILE,plpgsql,search_path=public,postgres,sandbox_exec,30705
can_access_annual_review_instance_for_assistance,p_instance_id uuid,boolean,t,STABLE,plpgsql,search_path=public,postgres,sandbox_exec,2527
can_grant_access_profile,"_uid uuid, _profile_id uuid, _target_user uuid",boolean,t,STABLE,plpgsql,search_path=public,postgres,sandbox_exec,1033
can_proxy_submit_annual_review,"_instance_id uuid, _proxy_user_id uuid",boolean,t,STABLE,plpgsql,search_path=public,postgres,sandbox_exec,2744
can_send_notification_to,"sender uuid, target uuid",boolean,t,STABLE,plpgsql,search_path=public,postgres,sandbox_exec,4943
can_send_notification_to,"sender uuid, target uuid, context jsonb",boolean,t,STABLE,plpgsql,search_path=public,postgres,sandbox_exec,644
can_view_kpi_row,"_kpi_id uuid, _employee_id uuid, _is_org_level boolean, _category_id uuid, _kra_name text, _kpi_name text",boolean,t,STABLE,plpgsql,search_path=public,postgres,sandbox_exec,1600
can_view_profile_for_annual_review_directory,p_profile_id uuid,boolean,t,STABLE,plpgsql,search_path=public,postgres,sandbox_exec,797
can_view_profile_for_safety,"_viewer_id uuid, _target_id uuid",boolean,t,STABLE,sql,search_path=public,postgres,sandbox_exec,3062
can_view_safety_incident,_incident_id uuid,boolean,t,STABLE,sql,search_path=public,postgres,sandbox_exec,930
canonical_stage_order,_stage text,integer,f,IMMUTABLE,sql,search_path=public,postgres,"PUBLIC,sandbox_exec",419
change_org_kpi_scope_cascading,"p_category_id uuid, p_kra_name text, p_kpi_name text, p_base_period text, p_base_year integer, p_new_scope text, p_cascade_forward boolean, p_dry_run boolean, p_triggered_by uuid",jsonb,t,VOLATILE,plpgsql,search_path=public,postgres,sandbox_exec,5773
check_review_period_permission,"p_user_id uuid, p_period_name text, p_review_year integer, p_action text",boolean,t,STABLE,plpgsql,search_path=public,postgres,sandbox_exec,3316
check_template_has_active_kpis,template_uuid uuid,boolean,t,VOLATILE,plpgsql,search_path=public,postgres,sandbox_exec,500
clear_send_back_marker_on_advance,"",trigger,t,VOLATILE,plpgsql,search_path=public,postgres,sandbox_exec,976
clone_annual_review_cycle,"p_source_id uuid, p_new_name text, p_review_year integer, p_copy_templates boolean, p_copy_rules boolean",uuid,t,VOLATILE,plpgsql,search_path=public,postgres,sandbox_exec,1887
clone_annual_review_template,"p_source_id uuid, p_new_name text",uuid,t,VOLATILE,plpgsql,search_path=public,postgres,sandbox_exec,1249
close_annual_review_cycle,p_cycle_id uuid,integer,f,VOLATILE,plpgsql,search_path=public,postgres,"PUBLIC,sandbox_exec",819
close_duplicate_incident,"p_incident_id uuid, p_notes text",jsonb,t,VOLATILE,plpgsql,search_path=public,postgres,sandbox_exec,1861
close_permit,"p_permit_id uuid, p_notes text",jsonb,t,VOLATILE,plpgsql,search_path=public,postgres,sandbox_exec,1202
complete_drill,"p_drill_id uuid, p_evacuation_seconds integer, p_score numeric",jsonb,t,VOLATILE,plpgsql,search_path=public,postgres,sandbox_exec,1704
compute_annual_review_weighted_score,"p_instance_id uuid, p_reviewer_role annual_reviewer_role",numeric,f,STABLE,plpgsql,search_path=public,postgres,"PUBLIC,sandbox_exec",1633
compute_carry_kra_contribution,"p_employee_id uuid, p_fy_start integer, p_cfg jsonb, p_weight numeric",numeric,t,STABLE,plpgsql,search_path=public,postgres,"PUBLIC,sandbox_exec",2995
compute_org_kpi_score_for_kpi,"p_kpi_id uuid, p_achieved numeric","TABLE(score numeric, rating text)",t,STABLE,plpgsql,search_path=public,postgres,sandbox_exec,901
correct_may_kpis,"p_category_id uuid, p_old_kra text, p_old_kpi text, p_new_kra text, p_new_kpi text, p_definition_id uuid, p_review_period text, p_review_year integer",integer,t,VOLATILE,plpgsql,search_path=public,postgres,sandbox_exec,2685
create_or_get_annual_review_instance,"p_employee_id uuid, p_cycle_id uuid","TABLE(instance_id uuid, was_created boolean)",t,VOLATILE,plpgsql,search_path=public,postgres,sandbox_exec,5444
create_repair_profile,"p_employee_code text, p_full_name text, p_set_inactive boolean, p_reason text",uuid,t,VOLATILE,plpgsql,search_path=public,postgres,sandbox_exec,1236
decide_permit_level,"p_permit_id uuid, p_decision text, p_notes text",jsonb,t,VOLATILE,plpgsql,search_path=public,postgres,sandbox_exec,2380
delete_annual_review_directory_override,"p_user_id uuid, p_reason text",void,t,VOLATILE,plpgsql,search_path=public,postgres,sandbox_exec,776
detect_alias_drift,"","TABLE(definition_id uuid, canonical_kra_name text, canonical_kpi_name text, category_id uuid, category_name text, variant_kra_count integer, variant_kra_names text[], alias_count integer)",t,STABLE,plpgsql,search_path=public,postgres,sandbox_exec,826
detect_intra_year_cycle_anchor_drift,"","TABLE(employee_id uuid, kpi_name text, review_year integer, frequency text, cycle_window text, anchors text[], affected_row_count bigint)",t,STABLE,sql,search_path=public,postgres,"PUBLIC,sandbox_exec",977
detect_org_kpi_cycle_anchor_drift,"","TABLE(category_id uuid, kra_name text, kpi_name text, review_year integer, frequency text, distinct_anchors text[], affected_kpi_count bigint)",t,STABLE,plpgsql,search_path=public,postgres,sandbox_exec,1175
detect_training_needs_for_period,"p_review_period text, p_review_year integer, p_threshold numeric",integer,t,VOLATILE,plpgsql,search_path=public,postgres,sandbox_exec,2194
dev_report_summary,"period_from date, period_to date","TABLE(feature_count bigint, bug_count bigint, timeline_count bigint, min_entry_date date, max_entry_date date)",t,STABLE,sql,search_path=public,postgres,sandbox_exec,422
diagnose_org_kpi_propagation_gap,"p_category_id uuid, p_kra_name text, p_kpi_name text, p_review_period text, p_review_year integer","TABLE(kpi_id uuid, employee_id uuid, full_name text, employee_code text, department_name text, kpi_status text, okv_status text, okv_achieved numeric, okv_is_na boolean, has_review_submission boolean, rs_self_score numeric, classification text, reason text)",t,VOLATILE,plpgsql,search_path=public,postgres,sandbox_exec,4946
dismiss_suggestion,"p_kind text, p_left_id uuid, p_right_id uuid, p_reason text",void,t,VOLATILE,plpgsql,search_path=public,postgres,sandbox_exec,875
dust_cases_to_rating,p_cases numeric,numeric,f,IMMUTABLE,sql,search_path=public,postgres,"PUBLIC,sandbox_exec",221
dust_rating_to_level,p_rating numeric,rating_level,f,IMMUTABLE,sql,search_path=public,postgres,sandbox_exec,201
enforce_ar_reviewer_response_rebind,"",trigger,f,VOLATILE,plpgsql,search_path=public,postgres,"PUBLIC,sandbox_exec",2641
enforce_bu_head_terminal_stage,"",trigger,f,VOLATILE,plpgsql,search_path=public,postgres,"PUBLIC,sandbox_exec",709
enforce_collapsed_dept_bu_normalise,"",trigger,f,VOLATILE,plpgsql,search_path=public,postgres,"PUBLIC,sandbox_exec",575
enforce_frequency_lock_on_submission,"",trigger,t,VOLATILE,plpgsql,search_path=public,postgres,sandbox_exec,4502
enforce_intra_year_cycle_anchor_consistency,"",trigger,t,VOLATILE,plpgsql,search_path=public,postgres,"PUBLIC,sandbox_exec",1080
enforce_management_terminal_stage,"",trigger,f,VOLATILE,plpgsql,search_path=public,postgres,"PUBLIC,sandbox_exec",2217
enforce_missing_dept_head_stage_strip,"",trigger,f,VOLATILE,plpgsql,search_path=public,postgres,"PUBLIC,sandbox_exec",827
enforce_on_behalf_score_or_na,"",trigger,f,VOLATILE,plpgsql,search_path=public,postgres,"PUBLIC,sandbox_exec",2590
enforce_profile_self_update_column_scope,"",trigger,t,VOLATILE,plpgsql,search_path=public,postgres,"PUBLIC,sandbox_exec",2673
enforce_self_snapshot_mirror,"",trigger,t,VOLATILE,plpgsql,search_path=public,postgres,"PUBLIC,sandbox_exec",964
enforce_system_scores_within_weight,"",trigger,t,VOLATILE,plpgsql,search_path=public,postgres,"PUBLIC,sandbox_exec",1336
enqueue_pms_compression_jobs,"",trigger,t,VOLATILE,plpgsql,search_path=public,postgres,sandbox_exec,1829
enqueue_safety_compression_on_insert,"",trigger,t,VOLATILE,plpgsql,search_path=public,postgres,sandbox_exec,434
enqueue_safety_notification,"_recipient uuid, _incident uuid, _kind text, _title text, _body text, _payload jsonb",uuid,t,VOLATILE,plpgsql,search_path=public,postgres,sandbox_exec,321
ensure_org_kpi_scope_rows,"p_category_id uuid, p_kra_name text, p_kpi_name text, p_review_period text, p_review_year integer",jsonb,t,VOLATILE,plpgsql,search_path=public,postgres,sandbox_exec,4929
exclude_annual_review_instance,"p_instance_id uuid, p_reason text",jsonb,t,VOLATILE,plpgsql,search_path=public,postgres,sandbox_exec,1424
expand_cycle_window_months,"p_frequency text, p_anchor text",text[],f,IMMUTABLE,plpgsql,search_path=public,postgres,"PUBLIC,sandbox_exec",948
expire_overdue_permits,"",jsonb,t,VOLATILE,plpgsql,search_path=public,postgres,sandbox_exec,741
find_ongoing_workflow,"p_config_type text, p_config_value text, p_review_period text, p_review_year integer",uuid,t,STABLE,sql,search_path=public,postgres,sandbox_exec,566
find_orphan_criteria_scores,p_cycle_id uuid,"TABLE(instance_id uuid, employee_id uuid, cycle_id uuid, template_id uuid, reviewer_role annual_reviewer_role, response_id uuid, stored_keys text[], current_keys text[], orphan_keys text[], weighted_score numeric, submitted_at timestamp with time zone)",t,STABLE,plpgsql,search_path=public,postgres,sandbox_exec,1663
fiscal_year_for_month,"p_period text, p_fiscal_start_year integer",integer,f,IMMUTABLE,sql,search_path=public,postgres,"PUBLIC,sandbox_exec",426
fn_compute_rating_from_achievement,"p_kpi kpis, p_achieved_value numeric, p_achieved_text text",numeric,f,IMMUTABLE,plpgsql,search_path=public,postgres,"PUBLIC,sandbox_exec",3500
fn_resolve_final_score,"p_stage_scores jsonb, p_workflow_stages text[], p_rule jsonb, p_is_na boolean",jsonb,f,IMMUTABLE,plpgsql,search_path=public,postgres,"PUBLIC,sandbox_exec",6802
fn_sync_org_status_to_future_open_periods,"",trigger,t,VOLATILE,plpgsql,search_path=public,postgres,sandbox_exec,3340
force_reset_annual_review_instance,"p_instance_id uuid, p_new_template_id uuid, p_reason text",jsonb,t,VOLATILE,plpgsql,search_path=public,postgres,sandbox_exec,4677
general_eligibility_validate_anchor,"",trigger,f,VOLATILE,plpgsql,search_path=public,postgres,"PUBLIC,sandbox_exec",293
generate_bundles_from_kpis,"",jsonb,t,VOLATILE,plpgsql,search_path=public,postgres,sandbox_exec,3619
get_active_profile_directory_entries,"","TABLE(id uuid, full_name text, employee_code text, designation text, department_id uuid, department_name text, pms_grade text, is_active boolean)",t,STABLE,sql,search_path=public,postgres,"PUBLIC,sandbox_exec",282
get_active_send_back_markers,p_kpi_ids uuid[],"TABLE(kpi_id uuid, reason text, created_at timestamp with time zone, raised_by uuid)",t,STABLE,sql,search_path=public,postgres,sandbox_exec,722
get_admin_dashboard_stats,"",jsonb,t,STABLE,plpgsql,search_path=public,postgres,sandbox_exec,1087
get_annual_review_access_explain,v_uid uuid,jsonb,t,STABLE,plpgsql,search_path=public,postgres,sandbox_exec,2291
get_annual_review_carry_kra_rows,"p_instance_id uuid, p_fy_start integer","TABLE(kpi_id uuid, review_period text, review_year integer, weightage numeric, is_na boolean, final_score numeric, manager_score numeric, auditor_score numeric, self_score numeric)",t,STABLE,plpgsql,search_path=public,postgres,sandbox_exec,1643
get_annual_review_comprehensive_report,p_cycle_id uuid,"TABLE(instance_id uuid, employee_id uuid, employee_code text, employee_name text, designation text, department_id uuid, department_name text, business_unit_id uuid, business_unit_name text, division_id uuid, division_name text, grade text, doj date, overall_status annual_review_status, is_excluded boolean, excluded_reason text, enabled_stages jsonb, self_score numeric, manager_score numeric, dept_head_score numeric, bu_head_score numeric, hr_score numeric, management_score numeric, total_score numeric, final_rating text, finalized_at timestamp with time zone, updated_at timestamp with time zone, days_pending integer, manager_name text, dept_head_name text, bu_head_name text, hr_name text, management_name text, self_comment text, manager_comment text, dept_head_comment text, bu_head_comment text, hr_comment text, management_comment text, hr_stage_enabled boolean, hr_response_exists boolean, hr_response_submitted_at timestamp with time zone, manager_id uuid, dept_head_id uuid, bu_head_id uuid, hr_id uuid, management_id uuid, cycle_default_stages jsonb, template_id uuid, template_name text, scoring_mode text, criteria_weight numeric, system_weight numeric, kra_weight numeric, kra_points numeric, system_scores jsonb, terminal_criteria_scores jsonb, self_rating_5 numeric, manager_rating_5 numeric, dept_head_rating_5 numeric, bu_head_rating_5 numeric, hr_rating_5 numeric, management_rating_5 numeric, rating_source text, eligibility_inputs jsonb)",t,STABLE,plpgsql,search_path=public,postgres,"PUBLIC,sandbox_exec",10566
get_annual_review_dept_submission_summary,p_cycle_id uuid,"TABLE(department_id uuid, department_name text, total integer, self_submitted integer, manager_done integer, skip_done integer, bu_done integer, hr_done integer, completed integer, submission_pct numeric)",t,STABLE,sql,search_path=public,postgres,"PUBLIC,sandbox_exec",1472
get_annual_review_directory_access,"",jsonb,t,STABLE,sql,search_path=public,postgres,sandbox_exec,61
get_annual_review_monthly_kra_matrix,"p_employee_ids uuid[], p_fy_start integer, p_exclude_na boolean","TABLE(employee_id uuid, review_period text, review_year integer, avg_rating numeric, achieved numeric, out_of numeric, pct numeric, kpi_count integer)",t,STABLE,plpgsql,search_path=public,postgres,"PUBLIC,sandbox_exec",2127
get_annual_review_pending_at_stage,"p_cycle_id uuid, p_stage text, p_page integer, p_page_size integer","TABLE(instance_id uuid, employee_id uuid, employee_code text, employee_name text, department_name text, reviewer_id uuid, reviewer_name text, days_pending integer, updated_at timestamp with time zone, total_count integer)",t,STABLE,plpgsql,search_path=public,postgres,"PUBLIC,sandbox_exec",2330
get_annual_review_recommendations,p_cycle_id uuid,"TABLE(instance_id uuid, dept_head_recommendation text, bu_head_recommendation text, management_recommendation text)",t,STABLE,plpgsql,search_path=public,postgres,"PUBLIC,sandbox_exec",1578
get_annual_review_reviewer_pending_queues,p_cycle_id uuid,"TABLE(reviewer_id uuid, reviewer_name text, stage text, pending_count integer, oldest_days integer)",t,STABLE,sql,search_path=public,postgres,"PUBLIC,sandbox_exec",1438
get_backup_table_order,"","TABLE(table_name text, sort_rank integer)",t,VOLATILE,plpgsql,"search_path=public, pg_catalog",postgres,sandbox_exec,1443
get_bulk_employee_workflows,"employee_ids uuid[], p_review_period text, p_review_year integer","TABLE(employee_id uuid, stages text[])",t,STABLE,plpgsql,search_path=public,postgres,sandbox_exec,3659
get_cycle_months,"p_frequency text, p_month text, p_year integer, p_cycle_start text",text[],f,IMMUTABLE,plpgsql,search_path=public,postgres,"PUBLIC,sandbox_exec",3684
get_cycle_terminal_month,"p_frequency text, p_review_period text, p_review_year integer, p_frequency_cycle_start text",text,t,STABLE,plpgsql,search_path=public,postgres,sandbox_exec,989
get_direct_report_ids,_manager_id uuid,SETOF uuid,t,STABLE,sql,search_path=public,postgres,sandbox_exec,78
get_distinct_active_designations,"",TABLE(designation text),t,STABLE,sql,search_path=public,postgres,sandbox_exec,160
get_distinct_active_pms_grades,"",TABLE(pms_grade text),t,STABLE,sql,search_path=public,postgres,sandbox_exec,154
get_employee_workflow,"employee_uuid uuid, p_review_period text, p_review_year integer",jsonb,t,STABLE,plpgsql,search_path=public,postgres,sandbox_exec,4093
get_employee_workflow_info,"employee_uuid uuid, p_review_period text, p_review_year integer","TABLE(template_id uuid, template_name text, display_name text, stages jsonb, config_source text)",t,STABLE,plpgsql,search_path=public,postgres,sandbox_exec,5752
