table_name,constraint_name,constraint_type,definition
annual_review_system_kpi_weights,annual_review_system_kpi_weights_weight_pct_check,CHECK,CHECK (((weight_pct >= (0)::numeric) AND (weight_pct <= (100)::numeric)))
annual_review_system_kpi_weights,annual_review_system_kpi_weights_pkey,PRIMARY KEY,PRIMARY KEY (id)
annual_review_system_kpis,annual_review_system_kpis_uom_type_check,CHECK,"CHECK ((uom_type = ANY (ARRAY['count'::text, 'percent'::text, 'days'::text, 'rating'::text])))"
annual_review_system_kpis,annual_review_system_kpis_pkey,PRIMARY KEY,PRIMARY KEY (id)
annual_review_system_kpis,annual_review_system_kpis_key_key,UNIQUE,UNIQUE (key)
annual_review_template_archetypes,annual_review_template_archetypes_code_check,CHECK,"CHECK ((code = ANY (ARRAY['A'::text, 'B'::text, 'C'::text, 'D'::text])))"
annual_review_template_archetypes,annual_review_template_archetypes_display_mode_check,CHECK,"CHECK ((display_mode = ANY (ARRAY['bilingual'::text, 'en_only'::text, 'hi_only'::text])))"
annual_review_template_archetypes,annual_review_template_archetypes_pkey,PRIMARY KEY,PRIMARY KEY (id)
annual_review_template_archetypes,annual_review_template_archetypes_code_key,UNIQUE,UNIQUE (code)
annual_review_templates,annual_review_templates_pkey,PRIMARY KEY,PRIMARY KEY (id)
annual_score_config_audit,annual_score_config_audit_pkey,PRIMARY KEY,PRIMARY KEY (id)
annual_score_configs,annual_score_configs_pkey,PRIMARY KEY,PRIMARY KEY (id)
app_settings,app_settings_team_queue_default_scope_chk,CHECK,"CHECK (((team_queue_default_scope IS NULL) OR (team_queue_default_scope = ANY (ARRAY['any'::text, 'manager'::text, 'skip'::text, 'dept'::text, 'bu'::text, 'hr'::text, 'management'::text]))))"
app_settings,single_row,CHECK,CHECK ((id = '00000000-0000-0000-0000-000000000001'::uuid))
app_settings,app_settings_pkey,PRIMARY KEY,PRIMARY KEY (id)
audit_kpi_assignments,audit_kpi_assignments_pkey,PRIMARY KEY,PRIMARY KEY (id)
audit_kpi_assignments,audit_kpi_assignments_auditor_id_employee_id_key,UNIQUE,"UNIQUE (auditor_id, employee_id)"
audit_kpi_level_assignments,audit_kpi_level_assignments_pkey,PRIMARY KEY,PRIMARY KEY (id)
audit_kpi_level_assignments,audit_kpi_level_assignments_kpi_id_key,UNIQUE,UNIQUE (kpi_id)
audit_policies,audit_policies_retention_nonneg,CHECK,CHECK (((retention_days IS NULL) OR (retention_days >= 0)))
audit_policies,audit_policies_severity_valid,CHECK,"CHECK ((min_severity = ANY (ARRAY['info'::text, 'notice'::text, 'warn'::text, 'critical'::text])))"
audit_policies,audit_policies_pkey,PRIMARY KEY,PRIMARY KEY (id)
audit_policies,audit_policies_unique_key,UNIQUE,"UNIQUE (module_key, event_category)"
auth_lookup_attempts,auth_lookup_attempts_pkey,PRIMARY KEY,PRIMARY KEY (id)
backup_denylist,backup_denylist_pkey,PRIMARY KEY,PRIMARY KEY (table_name)
backup_logs,backup_logs_pkey,PRIMARY KEY,PRIMARY KEY (id)
bulk_review_batches,bulk_review_batches_pkey,PRIMARY KEY,PRIMARY KEY (id)
bundle_assignment_logs,bundle_assignment_logs_pkey,PRIMARY KEY,PRIMARY KEY (id)
business_unit_sub_units,business_unit_sub_units_pkey,PRIMARY KEY,PRIMARY KEY (id)
business_unit_sub_units,business_unit_sub_units_business_unit_id_label_key,UNIQUE,"UNIQUE (business_unit_id, label)"
business_units,business_units_head_source_check,CHECK,"CHECK ((head_source = ANY (ARRAY['auto'::text, 'manual'::text])))"
business_units,business_units_pkey,PRIMARY KEY,PRIMARY KEY (id)
business_units,business_units_code_key,UNIQUE,UNIQUE (code)
capability_registry,capability_registry_pkey,PRIMARY KEY,PRIMARY KEY (capability_key)
client_action_entitlements,client_action_entitlements_pkey,PRIMARY KEY,PRIMARY KEY (id)
client_action_entitlements,client_action_entitlements_client_id_action_key_key,UNIQUE,"UNIQUE (client_id, action_key)"
client_contacts,client_contacts_archive_consistency_chk,CHECK,CHECK ((((is_active = true) AND (archived_at IS NULL) AND (archived_by IS NULL)) OR ((is_active = false) AND (archived_at IS NOT NULL))))
client_contacts,client_contacts_email_format_chk,CHECK,CHECK (((email ~* '^[^[:space:]@]+@[^[:space:]@]+\.[^[:space:]@]+$'::text) AND (email = lower(email))))
client_contacts,client_contacts_primary_requires_active_chk,CHECK,CHECK (((is_primary_for_role = false) OR (is_active = true)))
client_contacts,client_contacts_role_chk,CHECK,"CHECK ((role = ANY (ARRAY['support'::text, 'hr'::text, 'escalation'::text, 'billing'::text, 'ops'::text, 'other'::text])))"
client_contacts,client_contacts_pkey,PRIMARY KEY,PRIMARY KEY (id)
client_error_reports,client_error_reports_pkey,PRIMARY KEY,PRIMARY KEY (id)
client_implementer_assignments,client_implementer_assignments_pkey,PRIMARY KEY,PRIMARY KEY (id)
client_implementer_assignments,client_implementer_assignments_client_id_user_id_key,UNIQUE,"UNIQUE (client_id, user_id)"
client_module_entitlements,client_module_entitlements_pkey,PRIMARY KEY,PRIMARY KEY (id)
client_module_entitlements,client_module_entitlements_client_id_module_key_key,UNIQUE,"UNIQUE (client_id, module_key)"
client_notification_templates,client_notification_templates_body_html_len,CHECK,"CHECK ((char_length(COALESCE(body_html, ''::text)) <= 50000))"
client_notification_templates,client_notification_templates_body_text_len,CHECK,CHECK (((char_length(body_text) >= 1) AND (char_length(body_text) <= 20000)))
client_notification_templates,client_notification_templates_channel_check,CHECK,CHECK ((channel = 'email'::text))
client_notification_templates,client_notification_templates_key_format,CHECK,"CHECK ((template_key ~ '^[a-z0-9_]{2,64}$'::text))"
client_notification_templates,client_notification_templates_subject_len,CHECK,CHECK (((char_length(subject) >= 1) AND (char_length(subject) <= 200)))
client_notification_templates,client_notification_templates_pkey,PRIMARY KEY,PRIMARY KEY (id)
client_setup_checklist,client_setup_checklist_pkey,PRIMARY KEY,PRIMARY KEY (id)
client_setup_checklist,client_setup_checklist_client_id_item_key_key,UNIQUE,"UNIQUE (client_id, item_key)"
client_smtp_config,client_smtp_config_provider_check,CHECK,"CHECK ((provider = ANY (ARRAY['smtp'::text, 'resend'::text, 'sendgrid'::text, 'lovable'::text])))"
client_smtp_config,client_smtp_config_pkey,PRIMARY KEY,PRIMARY KEY (client_id)
client_urls,client_urls_archive_consistency_chk,CHECK,CHECK ((((is_active = true) AND (archived_at IS NULL) AND (archived_by IS NULL)) OR ((is_active = false) AND (archived_at IS NOT NULL))))
client_urls,client_urls_primary_requires_active_chk,CHECK,CHECK (((is_primary = false) OR (is_active = true)))
client_urls,client_urls_url_no_unsafe_chk,CHECK,CHECK ((url !~* '^(javascript|data|file|vbscript):'::text))
client_urls,client_urls_url_scheme_chk,CHECK,CHECK ((url ~* '^https?://[^[:space:]]+$'::text))
client_urls,client_urls_pkey,PRIMARY KEY,PRIMARY KEY (id)
clients,clients_deployment_mode_check,CHECK,"CHECK ((deployment_mode = ANY (ARRAY['saas'::text, 'on_prem'::text, 'hybrid'::text])))"
clients,clients_pkey,PRIMARY KEY,PRIMARY KEY (id)
clients,clients_client_key_key,UNIQUE,UNIQUE (client_key)
companies,companies_pkey,PRIMARY KEY,PRIMARY KEY (id)
confirmation_increment_adjustments,confirmation_increment_adjustments_pkey,PRIMARY KEY,PRIMARY KEY (id)
confirmation_increment_rules,confirmation_increment_rules_company_scope_mode_check,CHECK,"CHECK ((company_scope_mode = ANY (ARRAY['global'::text, 'selected'::text, 'per_company'::text])))"
confirmation_increment_rules,confirmation_increment_rules_status_check,CHECK,"CHECK ((status = ANY (ARRAY['draft'::text, 'active'::text, 'archived'::text])))"
confirmation_increment_rules,confirmation_increment_rules_pkey,PRIMARY KEY,PRIMARY KEY (id)
custom_reports,custom_reports_pkey,PRIMARY KEY,PRIMARY KEY (id)
dashboard_registry,dashboard_registry_pkey,PRIMARY KEY,PRIMARY KEY (dashboard_key)
data_classifications,data_classifications_pkey,PRIMARY KEY,PRIMARY KEY (id)
data_classifications,data_classifications_classification_key_key,UNIQUE,UNIQUE (classification_key)
departments,departments_head_source_check,CHECK,"CHECK ((head_source = ANY (ARRAY['auto'::text, 'manual'::text])))"
departments,departments_pkey,PRIMARY KEY,PRIMARY KEY (id)
departments,departments_code_key,UNIQUE,UNIQUE (code)
designations,designations_pkey,PRIMARY KEY,PRIMARY KEY (id)
designations,designations_name_key,UNIQUE,UNIQUE (name)
dev_report_entries,dev_report_entries_date_or_period,CHECK,CHECK (((entry_date IS NOT NULL) OR (period_label IS NOT NULL)))
dev_report_entries,dev_report_entries_pkey,PRIMARY KEY,PRIMARY KEY (id)
divisions,divisions_pkey,PRIMARY KEY,PRIMARY KEY (id)
divisions,divisions_code_key,UNIQUE,UNIQUE (code)
email_change_audit,email_change_audit_source_check,CHECK,"CHECK ((source = ANY (ARRAY['self_service'::text, 'admin'::text, 'system'::text, 'password_rollout'::text, 'create_employee'::text])))"
email_change_audit,email_change_audit_pkey,PRIMARY KEY,PRIMARY KEY (id)
email_dispatch_queue,email_dispatch_queue_pkey,PRIMARY KEY,PRIMARY KEY (id)
email_logs,email_logs_pkey,PRIMARY KEY,PRIMARY KEY (id)
employee_categories,employee_categories_pkey,PRIMARY KEY,PRIMARY KEY (id)
employee_incentive_eligibility,employee_incentive_eligibility_pkey,PRIMARY KEY,PRIMARY KEY (id)
employee_incentive_eligibility,employee_incentive_eligibilit_employee_id_review_period_rev_key,UNIQUE,"UNIQUE (employee_id, review_period, review_year)"
employee_incentive_records,employee_incentive_records_pkey,PRIMARY KEY,PRIMARY KEY (id)
employee_incentive_records,employee_incentive_records_emp_period_year_prog_payperiod_key,UNIQUE,"UNIQUE (employee_id, review_period, review_year, program_id, payment_period)"
employee_job_descriptions,employee_job_descriptions_pkey,PRIMARY KEY,PRIMARY KEY (id)
employee_job_descriptions,employee_job_descriptions_designation_key,UNIQUE,UNIQUE (designation)
employee_master_custom_field_values,employee_master_custom_field_values_pkey,PRIMARY KEY,PRIMARY KEY (id)
employee_master_custom_field_values,employee_master_custom_field_values_employee_unique,UNIQUE,UNIQUE (employee_id)
employee_master_custom_fields,employee_master_custom_fields_field_key_format,CHECK,"CHECK ((field_key ~ '^[a-z][a-z0-9_]{1,40}$'::text))"
employee_master_custom_fields,employee_master_custom_fields_field_type_check,CHECK,"CHECK ((field_type = ANY (ARRAY['text'::text, 'number'::text, 'date'::text, 'dropdown'::text, 'yes_no'::text, 'email'::text, 'phone'::text, 'long_text'::text])))"
employee_master_custom_fields,employee_master_custom_fields_pkey,PRIMARY KEY,PRIMARY KEY (id)
employee_master_custom_fields,employee_master_custom_fields_field_key_key,UNIQUE,UNIQUE (field_key)
employee_working_days,working_days_range,CHECK,CHECK (((working_days >= 1) AND (working_days <= 31)))
employee_working_days,employee_working_days_pkey,PRIMARY KEY,PRIMARY KEY (id)
employee_working_days,employee_working_days_employee_id_month_year_key,UNIQUE,"UNIQUE (employee_id, month, year)"
employment_status_history,employment_status_history_source_check,CHECK,"CHECK ((source = ANY (ARRAY['manual_edit'::text, 'bulk_import'::text, 'backfill'::text, 'trigger'::text])))"
employment_status_history,employment_status_history_pkey,PRIMARY KEY,PRIMARY KEY (id)
employment_statuses,employment_statuses_pkey,PRIMARY KEY,PRIMARY KEY (id)
entitlement_audit,entitlement_audit_event_type_check,CHECK,"CHECK ((event_type = ANY (ARRAY['grant'::text, 'revoke'::text, 'update'::text, 'would_deny'::text, 'admin_view'::text, 'deny'::text, 'create'::text])))"
entitlement_audit,entitlement_audit_pkey,PRIMARY KEY,PRIMARY KEY (id)
export_policies,export_policies_max_rows_nonneg,CHECK,CHECK (((max_rows_per_export IS NULL) OR (max_rows_per_export >= 0)))
export_policies,export_policies_retain_days_nonneg,CHECK,CHECK (((retain_export_log_days IS NULL) OR (retain_export_log_days >= 0)))
export_policies,export_policies_pkey,PRIMARY KEY,PRIMARY KEY (id)
export_policies,export_policies_classification_key_key,UNIQUE,UNIQUE (classification_key)
final_score_revisions,final_score_revisions_pkey,PRIMARY KEY,PRIMARY KEY (id)
final_score_revisions,final_score_revisions_submission_id_revision_no_key,UNIQUE,"UNIQUE (submission_id, revision_no)"
frequency_config,frequency_config_pkey,PRIMARY KEY,PRIMARY KEY (id)
frequency_config,frequency_config_frequency_key,UNIQUE,UNIQUE (frequency)
general_eligibility_audit,general_eligibility_audit_pkey,PRIMARY KEY,PRIMARY KEY (id)
general_eligibility_configs,general_eligibility_configs_status_check,CHECK,"CHECK ((status = ANY (ARRAY['draft'::text, 'approved'::text, 'archived'::text])))"
general_eligibility_configs,general_eligibility_service_as_on_mode_chk,CHECK,"CHECK ((service_as_on_mode = ANY (ARRAY['run_date'::text, 'ay_end'::text, 'custom'::text])))"
general_eligibility_configs,general_eligibility_configs_pkey,PRIMARY KEY,PRIMARY KEY (id)
general_eligibility_configs,general_eligibility_configs_assessment_year_version_key,UNIQUE,"UNIQUE (assessment_year, version)"
iac_audit_log,iac_audit_log_pkey,PRIMARY KEY,PRIMARY KEY (id)
iac_capabilities,iac_capabilities_pkey,PRIMARY KEY,PRIMARY KEY (code)
iac_role_capabilities,iac_role_capabilities_pkey,PRIMARY KEY,"PRIMARY KEY (role_id, capability_code)"
iac_roles,iac_roles_pkey,PRIMARY KEY,PRIMARY KEY (id)
iac_roles,iac_roles_code_key,UNIQUE,UNIQUE (code)
iac_user_role_assignments,iac_user_role_assignments_pkey,PRIMARY KEY,PRIMARY KEY (id)
iac_user_role_assignments,iac_assignment_uniq,UNIQUE,"UNIQUE (user_id, role_id, scope_type, scope_id)"
impl_console_rate_buckets,impl_console_rate_buckets_action_check,CHECK,CHECK ((action = 'test_email_send'::text))
impl_console_rate_buckets,impl_console_rate_buckets_pkey,PRIMARY KEY,PRIMARY KEY (id)
impl_console_rate_buckets,impl_console_rate_buckets_actor_id_client_id_action_bucket__key,UNIQUE,"UNIQUE (actor_id, client_id, action, bucket_hour)"
import_field_settings,import_field_settings_pkey,PRIMARY KEY,PRIMARY KEY (id)
import_field_settings,import_field_settings_import_type_field_key_key,UNIQUE,"UNIQUE (import_type, field_key)"
import_progress,import_progress_pkey,PRIMARY KEY,PRIMARY KEY (id)
incentive_allocation_rules,incentive_allocation_rules_pkey,PRIMARY KEY,PRIMARY KEY (id)
incentive_allocation_rules,incentive_allocation_rules_program_id_source_label_target_b_key,UNIQUE,"UNIQUE (program_id, source_label, target_bu_id, target_sub_unit)"
incentive_custom_tab_data,incentive_custom_tab_data_pkey,PRIMARY KEY,PRIMARY KEY (id)
incentive_custom_tab_data,incentive_custom_tab_data_tab_id_employee_id_key,UNIQUE,"UNIQUE (tab_id, employee_id)"
incentive_disqualification_rules,incentive_disqualification_rules_pkey,PRIMARY KEY,PRIMARY KEY (id)
incentive_eligibility_fields,incentive_eligibility_fields_pkey,PRIMARY KEY,PRIMARY KEY (id)
incentive_production_rates,incentive_production_rates_rate_type_check,CHECK,"CHECK ((rate_type = ANY (ARRAY['employee'::text, 'department'::text, 'bu'::text, 'company'::text, 'common'::text])))"
incentive_production_rates,incentive_production_rates_pkey,PRIMARY KEY,PRIMARY KEY (id)
incentive_program_custom_tabs,incentive_program_custom_tabs_pkey,PRIMARY KEY,PRIMARY KEY (id)
incentive_program_custom_tabs,incentive_program_custom_tabs_program_id_tab_key_key,UNIQUE,"UNIQUE (program_id, tab_key)"
incentive_program_mappings,incentive_program_mappings_mapping_type_check,CHECK,"CHECK ((mapping_type = ANY (ARRAY['division'::text, 'department'::text, 'business_unit'::text, 'designation'::text, 'pms_grade'::text, 'employee'::text])))"
incentive_program_mappings,incentive_program_mappings_pkey,PRIMARY KEY,PRIMARY KEY (id)
incentive_program_mappings,incentive_program_mappings_program_id_mapping_type_mapping__key,UNIQUE,"UNIQUE (program_id, mapping_type, mapping_value)"
incentive_program_types,incentive_program_types_pkey,PRIMARY KEY,PRIMARY KEY (id)
incentive_program_types,incentive_program_types_value_key,UNIQUE,UNIQUE (value)
incentive_programs,incentive_programs_pkey,PRIMARY KEY,PRIMARY KEY (id)
incentive_score_revisions,incentive_score_revisions_pkey,PRIMARY KEY,PRIMARY KEY (id)
incentive_slab_categories,incentive_slab_categories_pkey,PRIMARY KEY,PRIMARY KEY (id)
incentive_slab_categories,incentive_slab_categories_value_key,UNIQUE,UNIQUE (value)
incentive_slabs,incentive_slabs_pkey,PRIMARY KEY,PRIMARY KEY (id)
incentive_stale_zero_cleanup_audit,incentive_stale_zero_cleanup_audit_pkey,PRIMARY KEY,PRIMARY KEY (id)
incentive_vessel_rates,incentive_vessel_rates_pkey,PRIMARY KEY,PRIMARY KEY (id)
incentive_vessel_rates,incentive_vessel_rates_program_id_employee_id_key,UNIQUE,"UNIQUE (program_id, employee_id)"
increment_eligibility_audit,increment_eligibility_audit_action_check,CHECK,"CHECK ((action = ANY (ARRAY['create'::text, 'modify'::text, 'delete'::text, 'activate'::text, 'deactivate'::text, 'submit'::text, 'approve'::text, 'reject'::text, 'copy'::text, 'publish'::text, 'exclusion_added'::text, 'exclusion_removed'::text, 'revert_to_draft'::text])))"
increment_eligibility_audit,increment_eligibility_audit_pkey,PRIMARY KEY,PRIMARY KEY (id)
increment_eligibility_configs,increment_eligibility_configs_status_check,CHECK,"CHECK ((status = ANY (ARRAY['draft'::text, 'pending_approval'::text, 'approved'::text, 'archived'::text])))"
increment_eligibility_configs,increment_eligibility_configs_pkey,PRIMARY KEY,PRIMARY KEY (id)
increment_eligibility_criteria,increment_eligibility_criteria_comparison_operator_check,CHECK,"CHECK ((comparison_operator = ANY (ARRAY['>='::text, '<='::text, '>'::text, '<'::text, '='::text])))"
increment_eligibility_criteria,increment_eligibility_criteria_pkey,PRIMARY KEY,PRIMARY KEY (id)
increment_eligibility_exclusions,increment_eligibility_exclusions_pkey,PRIMARY KEY,PRIMARY KEY (id)
increment_eligibility_exclusions,iee_unique_config_emp_year,UNIQUE,"UNIQUE (config_id, employee_id, assessment_year)"
increment_inputs,increment_inputs_source_check,CHECK,"CHECK ((source = ANY (ARRAY['manual'::text, 'import'::text, 'bulk'::text])))"
increment_inputs,increment_inputs_pkey,PRIMARY KEY,PRIMARY KEY (id)
increment_inputs,increment_inputs_employee_id_assessment_year_key,UNIQUE,"UNIQUE (employee_id, assessment_year)"
increment_method_configs,increment_method_configs_eligibility_cutoff_day_check,CHECK,CHECK (((eligibility_cutoff_day >= 1) AND (eligibility_cutoff_day <= 31)))
increment_method_configs,increment_method_configs_eligibility_cutoff_month_check,CHECK,CHECK (((eligibility_cutoff_month >= 1) AND (eligibility_cutoff_month <= 12)))
