table_name,grantee,privileges
profiles,sandbox_exec,"INSERT,SELECT"
registry_suggestion_dismissals,sandbox_exec,"INSERT,SELECT"
report_access_config,sandbox_exec,"INSERT,SELECT"
report_access_user_overrides,sandbox_exec,"INSERT,SELECT"
report_field_override_audit,sandbox_exec,"INSERT,SELECT"
report_field_overrides,sandbox_exec,"INSERT,SELECT"
report_field_registry,sandbox_exec,"INSERT,SELECT"
report_registry,sandbox_exec,"INSERT,SELECT"
report_registry_v2,sandbox_exec,"INSERT,SELECT"
retention_policies,sandbox_exec,"INSERT,SELECT"
review_action_notes,sandbox_exec,"INSERT,SELECT"
review_period_audit_log,sandbox_exec,"INSERT,SELECT"
review_period_auto_rules,sandbox_exec,"INSERT,SELECT"
review_period_locks,sandbox_exec,"INSERT,SELECT"
review_period_stages,sandbox_exec,"INSERT,SELECT"
review_periods,sandbox_exec,"INSERT,SELECT"
review_submissions,sandbox_exec,"INSERT,SELECT"
safety_asset_calibrations,sandbox_exec,"INSERT,SELECT"
safety_asset_evidence,sandbox_exec,"INSERT,SELECT"
safety_assets,sandbox_exec,"INSERT,SELECT"
safety_audit_log,sandbox_exec,"INSERT,SELECT"
safety_audit_run_responses,sandbox_exec,"INSERT,SELECT"
safety_audit_runs,sandbox_exec,"INSERT,SELECT"
safety_audit_template_items,sandbox_exec,"INSERT,SELECT"
safety_audit_templates,sandbox_exec,"INSERT,SELECT"
safety_drill_findings,sandbox_exec,"INSERT,SELECT"
safety_drill_participants,sandbox_exec,"INSERT,SELECT"
safety_drill_runs,sandbox_exec,"INSERT,SELECT"
safety_emergency_contacts,sandbox_exec,"INSERT,SELECT"
safety_emergency_drills,sandbox_exec,"INSERT,SELECT"
safety_incident_evidence,sandbox_exec,"INSERT,SELECT"
safety_incident_progress_logs,sandbox_exec,"INSERT,SELECT"
safety_incident_routing_rules,sandbox_exec,"INSERT,SELECT"
safety_incident_severities,sandbox_exec,"INSERT,SELECT"
safety_incident_sla_rules,sandbox_exec,"INSERT,SELECT"
safety_incident_timeline,sandbox_exec,"INSERT,SELECT"
safety_incident_types,sandbox_exec,"INSERT,SELECT"
safety_incidents,sandbox_exec,"INSERT,SELECT"
safety_incidents_with_sla,sandbox_exec,"INSERT,SELECT"
safety_master_data,sandbox_exec,"INSERT,SELECT"
safety_module_access,sandbox_exec,"INSERT,SELECT"
safety_notifications,sandbox_exec,"INSERT,SELECT"
safety_permission_keys,sandbox_exec,"INSERT,SELECT"
safety_permit_approvals,sandbox_exec,"INSERT,SELECT"
safety_permit_evidence,sandbox_exec,"INSERT,SELECT"
safety_permit_hira,sandbox_exec,"INSERT,SELECT"
safety_permit_loto_steps,sandbox_exec,"INSERT,SELECT"
safety_permit_type_config,sandbox_exec,"INSERT,SELECT"
safety_permits,sandbox_exec,"INSERT,SELECT"
safety_role_permissions,sandbox_exec,"INSERT,SELECT"
safety_settings,sandbox_exec,"INSERT,SELECT"
safety_severity_sla,sandbox_exec,"INSERT,SELECT"
safety_sla_escalations,sandbox_exec,"INSERT,SELECT"
safety_user_permission_overrides,sandbox_exec,"INSERT,SELECT"
safety_user_roles,sandbox_exec,"INSERT,SELECT"
sensitive_fields,sandbox_exec,"INSERT,SELECT"
skill_competencies,sandbox_exec,"INSERT,SELECT"
sub_branches,sandbox_exec,"INSERT,SELECT"
sub_period_submissions,sandbox_exec,"INSERT,SELECT"
system_audit_logs,sandbox_exec,"INSERT,SELECT"
system_settings,sandbox_exec,"INSERT,SELECT"
template_bundle_items,sandbox_exec,"INSERT,SELECT"
template_bundles,sandbox_exec,"INSERT,SELECT"
template_change_logs,sandbox_exec,"INSERT,SELECT"
training_needs,sandbox_exec,"INSERT,SELECT"
user_roles,sandbox_exec,"INSERT,SELECT"
v_profile_email_duplicates,sandbox_exec,"INSERT,SELECT"
vessel_monthly_entries,sandbox_exec,"INSERT,SELECT"
workflow_config,sandbox_exec,"INSERT,SELECT"
workflow_config_migration_log,sandbox_exec,"INSERT,SELECT"
workflow_final_score_rules,sandbox_exec,"INSERT,SELECT"
workflow_settings,sandbox_exec,"INSERT,SELECT"
workflow_templates,sandbox_exec,"INSERT,SELECT"
