table_name,policy_name,permissive,roles,cmd,using_expr,with_check_expr
annual_review_assignment_overrides,ar_overrides_reviewer_select,PERMISSIVE,authenticated,SELECT,"(EXISTS ( SELECT 1
   FROM annual_review_instances i
  WHERE ((i.id = annual_review_assignment_overrides.instance_id) AND ((i.manager_id = auth.uid()) OR (i.skip_id = auth.uid()) OR (i.bu_head_id = auth.uid()) OR (i.hr_id = auth.uid())))))",""
annual_review_assignment_rules,rules_admin_write,PERMISSIVE,authenticated,ALL,"(has_role(auth.uid(), 'admin'::app_role) OR has_role(auth.uid(), 'hr_pms'::app_role))","(has_role(auth.uid(), 'admin'::app_role) OR has_role(auth.uid(), 'hr_pms'::app_role))"
annual_review_assignment_rules,rules_select_all_auth,PERMISSIVE,authenticated,SELECT,true,""
annual_review_bu_draft_finalise_2026_07,Admins can view bu draft finalise audit,PERMISSIVE,authenticated,SELECT,"has_role(auth.uid(), 'admin'::app_role)",""
annual_review_bu_head_terminal_audit_2026_07,admin_hr_read_bu_head_terminal_audit,PERMISSIVE,authenticated,SELECT,"(has_role(auth.uid(), 'admin'::app_role) OR has_role(auth.uid(), 'hr_pms'::app_role))",""
annual_review_bu_removal_repair_2026_07,ar_bu_removal_repair_admin_read,PERMISSIVE,authenticated,SELECT,"(has_role(auth.uid(), 'admin'::app_role) OR has_role(auth.uid(), 'hr_pms'::app_role))",""
annual_review_criteria_assignments,criteria_assignments_manage_admin_hr,PERMISSIVE,authenticated,ALL,"(has_role(auth.uid(), 'admin'::app_role) OR has_role(auth.uid(), 'hr_pms'::app_role))","(has_role(auth.uid(), 'admin'::app_role) OR has_role(auth.uid(), 'hr_pms'::app_role))"
annual_review_criteria_assignments,criteria_assignments_read_all_authenticated,PERMISSIVE,authenticated,SELECT,true,""
annual_review_criteria_library,criteria_library_manage_admin_hr,PERMISSIVE,authenticated,ALL,"(has_role(auth.uid(), 'admin'::app_role) OR has_role(auth.uid(), 'hr_pms'::app_role))","(has_role(auth.uid(), 'admin'::app_role) OR has_role(auth.uid(), 'hr_pms'::app_role))"
annual_review_criteria_library,criteria_library_read_all_authenticated,PERMISSIVE,authenticated,SELECT,true,""
annual_review_cycles,cycles_admin_write,PERMISSIVE,authenticated,ALL,"(has_role(auth.uid(), 'admin'::app_role) OR has_role(auth.uid(), 'hr_pms'::app_role))","(has_role(auth.uid(), 'admin'::app_role) OR has_role(auth.uid(), 'hr_pms'::app_role))"
annual_review_cycles,cycles_select_all_auth,PERMISSIVE,authenticated,SELECT,true,""
annual_review_directory_overrides,ar_overrides_admin_hrpms_delete,PERMISSIVE,authenticated,DELETE,"(has_role(auth.uid(), 'admin'::app_role) OR has_role(auth.uid(), 'hr_pms'::app_role))",""
annual_review_directory_overrides,ar_overrides_admin_hrpms_write,PERMISSIVE,authenticated,INSERT,"","(has_role(auth.uid(), 'admin'::app_role) OR has_role(auth.uid(), 'hr_pms'::app_role))"
annual_review_directory_overrides,ar_overrides_admin_hrpms_read,PERMISSIVE,authenticated,SELECT,"(has_role(auth.uid(), 'admin'::app_role) OR has_role(auth.uid(), 'hr_pms'::app_role))",""
annual_review_directory_overrides,ar_overrides_admin_hrpms_update,PERMISSIVE,authenticated,UPDATE,"(has_role(auth.uid(), 'admin'::app_role) OR has_role(auth.uid(), 'hr_pms'::app_role))","(has_role(auth.uid(), 'admin'::app_role) OR has_role(auth.uid(), 'hr_pms'::app_role))"
annual_review_downstream_rewind_repair_2026_07,admins read downstream rewind repairs,PERMISSIVE,authenticated,SELECT,"(has_role(auth.uid(), 'admin'::app_role) OR has_role(auth.uid(), 'hr_pms'::app_role))",""
annual_review_empty_stage_repair_2026_07,ar_empty_stage_repair_read_admin_hr,PERMISSIVE,authenticated,SELECT,"(has_role(auth.uid(), 'admin'::app_role) OR has_role(auth.uid(), 'hr_pms'::app_role))",""
annual_review_final_backfill_audit_2026_07,adr124_audit_admin_read,PERMISSIVE,authenticated,SELECT,"(has_role(auth.uid(), 'admin'::app_role) OR has_role(auth.uid(), 'hr_pms'::app_role))",""
annual_review_final_score_repair_2026_07,ar_fs_repair_admin_read,PERMISSIVE,authenticated,SELECT,"has_role(auth.uid(), 'admin'::app_role)",""
annual_review_head_remap_audit_2026_07,admin_hr_read_head_remap_audit,PERMISSIVE,authenticated,SELECT,"(has_role(auth.uid(), 'admin'::app_role) OR has_role(auth.uid(), 'hr_pms'::app_role))",""
annual_review_instances,instances_admin_delete,PERMISSIVE,authenticated,DELETE,"(has_role(auth.uid(), 'admin'::app_role) OR has_role(auth.uid(), 'hr_pms'::app_role))",""
annual_review_instances,instances_admin_insert,PERMISSIVE,authenticated,INSERT,"","(has_role(auth.uid(), 'admin'::app_role) OR has_role(auth.uid(), 'hr_pms'::app_role))"
annual_review_instances,instances_select_directory_assistance,PERMISSIVE,authenticated,SELECT,can_access_annual_review_instance_for_assistance(id),""
annual_review_instances,instances_select_visible,PERMISSIVE,authenticated,SELECT,"((employee_id = auth.uid()) OR (manager_id = auth.uid()) OR (skip_id = auth.uid()) OR (dept_head_id = auth.uid()) OR (bu_head_id = auth.uid()) OR (hr_id = auth.uid()) OR (management_id = auth.uid()) OR has_role(auth.uid(), 'admin'::app_role) OR has_role(auth.uid(), 'hr_pms'::app_role) OR ((overall_status = 'completed'::annual_review_status) AND annual_review_employee_has_login(employee_id) AND (EXISTS ( SELECT 1
   FROM annual_review_subtree_ids(auth.uid(), 6) s(employee_id)
  WHERE (s.employee_id = annual_review_instances.employee_id)))))",""
annual_review_instances,instances_stage_update,PERMISSIVE,public,UPDATE,"(has_role(auth.uid(), 'admin'::app_role) OR has_role(auth.uid(), 'hr_pms'::app_role) OR ((employee_id = auth.uid()) AND (overall_status = 'pending_self'::annual_review_status)) OR ((manager_id = auth.uid()) AND (overall_status = 'pending_manager'::annual_review_status)) OR ((skip_id = auth.uid()) AND (overall_status = 'pending_skip'::annual_review_status)) OR ((dept_head_id = auth.uid()) AND (overall_status = 'pending_dept'::annual_review_status)) OR ((bu_head_id = auth.uid()) AND (overall_status = 'pending_bu'::annual_review_status)) OR ((hr_id = auth.uid()) AND (overall_status = 'pending_hr'::annual_review_status)) OR ((management_id = auth.uid()) AND (overall_status = 'pending_management'::annual_review_status)))","(has_role(auth.uid(), 'admin'::app_role) OR has_role(auth.uid(), 'hr_pms'::app_role) OR ((employee_id = auth.uid()) AND (overall_status = ANY (ARRAY['pending_self'::annual_review_status, 'pending_manager'::annual_review_status, 'pending_skip'::annual_review_status, 'pending_dept'::annual_review_status, 'pending_bu'::annual_review_status, 'pending_hr'::annual_review_status, 'pending_management'::annual_review_status, 'completed'::annual_review_status]))) OR ((manager_id = auth.uid()) AND (overall_status = ANY (ARRAY['pending_self'::annual_review_status, 'pending_manager'::annual_review_status, 'pending_skip'::annual_review_status, 'pending_dept'::annual_review_status, 'pending_bu'::annual_review_status, 'pending_hr'::annual_review_status, 'pending_management'::annual_review_status, 'completed'::annual_review_status]))) OR ((skip_id = auth.uid()) AND (overall_status = ANY (ARRAY['pending_self'::annual_review_status, 'pending_skip'::annual_review_status, 'pending_dept'::annual_review_status, 'pending_bu'::annual_review_status, 'pending_hr'::annual_review_status, 'pending_management'::annual_review_status, 'completed'::annual_review_status]))) OR ((dept_head_id = auth.uid()) AND (overall_status = ANY (ARRAY['pending_self'::annual_review_status, 'pending_dept'::annual_review_status, 'pending_bu'::annual_review_status, 'pending_hr'::annual_review_status, 'pending_management'::annual_review_status, 'completed'::annual_review_status]))) OR ((bu_head_id = auth.uid()) AND (overall_status = ANY (ARRAY['pending_self'::annual_review_status, 'pending_bu'::annual_review_status, 'pending_hr'::annual_review_status, 'pending_management'::annual_review_status, 'completed'::annual_review_status]))) OR ((hr_id = auth.uid()) AND (overall_status = ANY (ARRAY['pending_self'::annual_review_status, 'pending_hr'::annual_review_status, 'pending_management'::annual_review_status, 'completed'::annual_review_status]))) OR ((management_id = auth.uid()) AND (overall_status = ANY (ARRAY['pending_self'::annual_review_status, 'pending_management'::annual_review_status, 'completed'::annual_review_status]))))"
annual_review_kra_rehydrate_items,kra_rehydrate_items_admin_write,PERMISSIVE,authenticated,ALL,"(has_role(auth.uid(), 'admin'::app_role) OR has_role(auth.uid(), 'hr_pms'::app_role))","(has_role(auth.uid(), 'admin'::app_role) OR has_role(auth.uid(), 'hr_pms'::app_role))"
annual_review_kra_rehydrate_items,kra_rehydrate_items_admin_read,PERMISSIVE,authenticated,SELECT,"(has_role(auth.uid(), 'admin'::app_role) OR has_role(auth.uid(), 'hr_pms'::app_role))",""
annual_review_kra_rehydrate_runs,kra_rehydrate_runs_admin_write,PERMISSIVE,authenticated,ALL,"(has_role(auth.uid(), 'admin'::app_role) OR has_role(auth.uid(), 'hr_pms'::app_role))","(has_role(auth.uid(), 'admin'::app_role) OR has_role(auth.uid(), 'hr_pms'::app_role))"
annual_review_kra_rehydrate_runs,kra_rehydrate_runs_admin_read,PERMISSIVE,authenticated,SELECT,"(has_role(auth.uid(), 'admin'::app_role) OR has_role(auth.uid(), 'hr_pms'::app_role))",""
annual_review_mgmt_scope_backfill_2026_07,admins read mgmt scope backfill,PERMISSIVE,authenticated,SELECT,"has_role(auth.uid(), 'admin'::app_role)",""
annual_review_missing_system_slot_repair_2026_07,Admins can read missing system slot repair audit,PERMISSIVE,authenticated,SELECT,"(has_role(auth.uid(), 'admin'::app_role) OR has_role(auth.uid(), 'hr_pms'::app_role))",""
annual_review_orphan_repair_2026_07,orphan_repair_admin_read,PERMISSIVE,authenticated,SELECT,"(has_role(auth.uid(), 'admin'::app_role) OR has_role(auth.uid(), 'hr_pms'::app_role))",""
annual_review_proxy_submissions,arps_insert_eligible_proxy,PERMISSIVE,authenticated,INSERT,"","((proxy_user_id = auth.uid()) AND can_proxy_submit_annual_review(instance_id, auth.uid()))"
annual_review_proxy_submissions,arps_select_visible,PERMISSIVE,authenticated,SELECT,"((auth.uid() = proxy_user_id) OR (auth.uid() = employee_user_id) OR has_role(auth.uid(), 'admin'::app_role) OR has_role(auth.uid(), 'hr_pms'::app_role) OR (EXISTS ( SELECT 1
   FROM annual_review_instances i
  WHERE ((i.id = annual_review_proxy_submissions.instance_id) AND ((i.manager_id = auth.uid()) OR (i.skip_id = auth.uid()))))))",""
annual_review_rescore_audit_2026_07,arra_2026_07_admin_hrpms_read,PERMISSIVE,authenticated,SELECT,"(has_role(auth.uid(), 'admin'::app_role) OR has_role(auth.uid(), 'hr_pms'::app_role))",""
annual_review_reset_archive,admin_hr_read_reset_archive,PERMISSIVE,authenticated,SELECT,"(has_role(auth.uid(), 'admin'::app_role) OR has_role(auth.uid(), 'hr_pms'::app_role))",""
annual_review_responses,responses_admin_delete,PERMISSIVE,authenticated,DELETE,"(has_role(auth.uid(), 'admin'::app_role) OR has_role(auth.uid(), 'hr_pms'::app_role))",""
annual_review_responses,responses_self_insert,PERMISSIVE,authenticated,INSERT,"","(has_role(auth.uid(), 'admin'::app_role) OR has_role(auth.uid(), 'hr_pms'::app_role) OR (reviewer_id = auth.uid()) OR ((reviewer_role = 'self'::annual_reviewer_role) AND can_proxy_submit_annual_review(instance_id, auth.uid())))"
annual_review_responses,responses_select_directory_assistance,PERMISSIVE,authenticated,SELECT,((reviewer_role = 'self'::annual_reviewer_role) AND can_access_annual_review_instance_for_assistance(instance_id)),""
annual_review_responses,responses_select_visible,PERMISSIVE,authenticated,SELECT,"((reviewer_id = auth.uid()) OR has_role(auth.uid(), 'admin'::app_role) OR has_role(auth.uid(), 'hr_pms'::app_role) OR ((reviewer_role = 'self'::annual_reviewer_role) AND (EXISTS ( SELECT 1
   FROM annual_review_instances i
  WHERE ((i.id = annual_review_responses.instance_id) AND (i.employee_id = auth.uid()) AND (i.overall_status = 'pending_self'::annual_review_status))))) OR (EXISTS ( SELECT 1
   FROM annual_review_instances i
  WHERE ((i.id = annual_review_responses.instance_id) AND (((i.employee_id = auth.uid()) AND (i.overall_status = 'completed'::annual_review_status)) OR (i.manager_id = auth.uid()) OR (i.skip_id = auth.uid()) OR (i.dept_head_id = auth.uid()) OR (i.bu_head_id = auth.uid()) OR (i.hr_id = auth.uid()) OR (i.management_id = auth.uid()))))) OR (EXISTS ( SELECT 1
   FROM (annual_review_instances i
     JOIN annual_review_subtree_ids(auth.uid(), 6) s(employee_id) ON ((s.employee_id = i.employee_id)))
  WHERE ((i.id = annual_review_responses.instance_id) AND (i.overall_status = 'completed'::annual_review_status) AND annual_review_employee_has_login(i.employee_id)))))",""
annual_review_responses,responses_self_update,PERMISSIVE,public,UPDATE,"(has_role(auth.uid(), 'admin'::app_role) OR has_role(auth.uid(), 'hr_pms'::app_role) OR ((reviewer_id = auth.uid()) AND (is_locked = false)) OR ((reviewer_role = 'self'::annual_reviewer_role) AND (is_locked = false) AND (EXISTS ( SELECT 1
   FROM annual_review_instances i
  WHERE ((i.id = annual_review_responses.instance_id) AND (i.employee_id = auth.uid()) AND (i.overall_status = 'pending_self'::annual_review_status))))) OR ((reviewer_role = 'self'::annual_reviewer_role) AND (is_locked = false) AND can_proxy_submit_annual_review(instance_id, auth.uid())))","(has_role(auth.uid(), 'admin'::app_role) OR has_role(auth.uid(), 'hr_pms'::app_role) OR (reviewer_id = auth.uid()) OR ((reviewer_role = 'self'::annual_reviewer_role) AND (EXISTS ( SELECT 1
   FROM annual_review_instances i
  WHERE ((i.id = annual_review_responses.instance_id) AND (i.employee_id = auth.uid()) AND (i.overall_status = 'pending_self'::annual_review_status))))) OR ((reviewer_role = 'self'::annual_reviewer_role) AND can_proxy_submit_annual_review(instance_id, auth.uid())))"
annual_review_reviewer_remap_audit_2026_07,admin_hr_read_reviewer_remap_audit,PERMISSIVE,authenticated,SELECT,"(has_role(auth.uid(), 'admin'::app_role) OR has_role(auth.uid(), 'hr_pms'::app_role))",""
annual_review_reviewer_resync_audit,admin_hr_read_reviewer_resync_audit,PERMISSIVE,authenticated,SELECT,"(has_role(auth.uid(), 'admin'::app_role) OR has_role(auth.uid(), 'hr_pms'::app_role))",""
annual_review_role_capabilities,AR role capabilities admin,PERMISSIVE,authenticated,ALL,"(has_role(auth.uid(), 'admin'::app_role) OR has_role(auth.uid(), 'hr_pms'::app_role))","(has_role(auth.uid(), 'admin'::app_role) OR has_role(auth.uid(), 'hr_pms'::app_role))"
annual_review_role_capabilities,AR role capabilities read,PERMISSIVE,authenticated,SELECT,true,""
annual_review_self_draft_reassign_audit,self_draft_reassign_audit_admin_read,PERMISSIVE,public,SELECT,"(has_role(auth.uid(), 'admin'::app_role) OR has_role(auth.uid(), 'hr_pms'::app_role))",""
annual_review_self_review_bundle_items,Bundle items: admin/hr_pms write,PERMISSIVE,authenticated,ALL,"(has_role(auth.uid(), 'admin'::app_role) OR has_role(auth.uid(), 'hr_pms'::app_role))","(has_role(auth.uid(), 'admin'::app_role) OR has_role(auth.uid(), 'hr_pms'::app_role))"
annual_review_self_review_bundle_items,Bundle items: read to authenticated,PERMISSIVE,authenticated,SELECT,true,""
annual_review_self_review_library,Library: admin/hr_pms delete non-builtin,PERMISSIVE,authenticated,DELETE,"((has_role(auth.uid(), 'admin'::app_role) OR has_role(auth.uid(), 'hr_pms'::app_role)) AND (is_builtin = false))",""
annual_review_self_review_library,Library: admin/hr_pms insert,PERMISSIVE,authenticated,INSERT,"","(has_role(auth.uid(), 'admin'::app_role) OR has_role(auth.uid(), 'hr_pms'::app_role))"
annual_review_self_review_library,Library: read active to authenticated,PERMISSIVE,authenticated,SELECT,"((is_active = true) OR has_role(auth.uid(), 'admin'::app_role) OR has_role(auth.uid(), 'hr_pms'::app_role))",""
annual_review_self_review_library,Library: admin/hr_pms update,PERMISSIVE,authenticated,UPDATE,"(has_role(auth.uid(), 'admin'::app_role) OR has_role(auth.uid(), 'hr_pms'::app_role))","(has_role(auth.uid(), 'admin'::app_role) OR has_role(auth.uid(), 'hr_pms'::app_role))"
annual_review_settings,ar_settings_admin_delete,PERMISSIVE,authenticated,DELETE,"has_role(auth.uid(), 'admin'::app_role)",""
annual_review_settings,ar_settings_admin_write,PERMISSIVE,authenticated,INSERT,"","has_role(auth.uid(), 'admin'::app_role)"
annual_review_settings,ar_settings_read_authenticated,PERMISSIVE,authenticated,SELECT,true,""
annual_review_settings,ar_settings_admin_update,PERMISSIVE,authenticated,UPDATE,"has_role(auth.uid(), 'admin'::app_role)","has_role(auth.uid(), 'admin'::app_role)"
annual_review_stage_transfer_audit_2026_07,stage_transfer_audit_admin_read,PERMISSIVE,authenticated,SELECT,"(has_role(auth.uid(), 'admin'::app_role) OR has_role(auth.uid(), 'hr_pms'::app_role))",""
annual_review_system_kpi_weights,system_kpi_weights_manage_admin_hr,PERMISSIVE,authenticated,ALL,"(has_role(auth.uid(), 'admin'::app_role) OR has_role(auth.uid(), 'hr_pms'::app_role))","(has_role(auth.uid(), 'admin'::app_role) OR has_role(auth.uid(), 'hr_pms'::app_role))"
annual_review_system_kpi_weights,system_kpi_weights_read_all_authenticated,PERMISSIVE,authenticated,SELECT,true,""
annual_review_system_kpis,system_kpis_manage_admin_hr,PERMISSIVE,authenticated,ALL,"(has_role(auth.uid(), 'admin'::app_role) OR has_role(auth.uid(), 'hr_pms'::app_role))","(has_role(auth.uid(), 'admin'::app_role) OR has_role(auth.uid(), 'hr_pms'::app_role))"
annual_review_system_kpis,system_kpis_read_all_authenticated,PERMISSIVE,authenticated,SELECT,true,""
annual_review_template_archetypes,Admin and HR PMS can manage archetypes,PERMISSIVE,authenticated,ALL,"(has_role(auth.uid(), 'admin'::app_role) OR has_role(auth.uid(), 'hr_pms'::app_role))","(has_role(auth.uid(), 'admin'::app_role) OR has_role(auth.uid(), 'hr_pms'::app_role))"
annual_review_template_archetypes,Admin and HR PMS can view archetypes,PERMISSIVE,authenticated,SELECT,"(has_role(auth.uid(), 'admin'::app_role) OR has_role(auth.uid(), 'hr_pms'::app_role))",""
annual_review_templates,templates_admin_write,PERMISSIVE,authenticated,ALL,"(has_role(auth.uid(), 'admin'::app_role) OR has_role(auth.uid(), 'hr_pms'::app_role))","(has_role(auth.uid(), 'admin'::app_role) OR has_role(auth.uid(), 'hr_pms'::app_role))"
annual_review_templates,templates_select_all_auth,PERMISSIVE,authenticated,SELECT,true,""
annual_score_config_audit,annual_score_audit_insert_admin_hrpms,PERMISSIVE,authenticated,INSERT,"","(has_role(auth.uid(), 'admin'::app_role) OR has_role(auth.uid(), 'hr_pms'::app_role))"
annual_score_config_audit,annual_score_audit_read_admin_hrpms,PERMISSIVE,authenticated,SELECT,"(has_role(auth.uid(), 'admin'::app_role) OR has_role(auth.uid(), 'hr_pms'::app_role))",""
annual_score_configs,annual_score_configs_admin_hrpms_write,PERMISSIVE,authenticated,ALL,"(has_role(auth.uid(), 'admin'::app_role) OR has_role(auth.uid(), 'hr_pms'::app_role))","(has_role(auth.uid(), 'admin'::app_role) OR has_role(auth.uid(), 'hr_pms'::app_role))"
annual_score_configs,annual_score_configs_read_authenticated,PERMISSIVE,authenticated,SELECT,true,""
app_settings,Authenticated users can read app_settings,PERMISSIVE,authenticated,SELECT,true,""
app_settings,Admins can update app_settings,PERMISSIVE,public,UPDATE,"has_role(auth.uid(), 'admin'::app_role)",""
audit_kpi_assignments,Auditors can delete audit assignments,PERMISSIVE,authenticated,DELETE,"(has_role(auth.uid(), 'auditor'::app_role) OR has_role(auth.uid(), 'admin'::app_role))",""
audit_kpi_assignments,Auditors can create audit assignments,PERMISSIVE,authenticated,INSERT,"","(has_role(auth.uid(), 'auditor'::app_role) OR has_role(auth.uid(), 'admin'::app_role))"
audit_kpi_assignments,Auditors can view audit assignments,PERMISSIVE,authenticated,SELECT,"(has_role(auth.uid(), 'auditor'::app_role) OR has_role(auth.uid(), 'admin'::app_role))",""
audit_kpi_assignments,Auditors can update audit assignments,PERMISSIVE,authenticated,UPDATE,"(has_role(auth.uid(), 'auditor'::app_role) OR has_role(auth.uid(), 'admin'::app_role))",""
audit_kpi_level_assignments,Auditors can delete kpi-level assignments,PERMISSIVE,authenticated,DELETE,"(has_role(auth.uid(), 'auditor'::app_role) OR has_role(auth.uid(), 'admin'::app_role))",""
audit_kpi_level_assignments,Auditors can create kpi-level assignments,PERMISSIVE,authenticated,INSERT,"","(has_role(auth.uid(), 'auditor'::app_role) OR has_role(auth.uid(), 'admin'::app_role))"
audit_kpi_level_assignments,Auditors can view kpi-level assignments,PERMISSIVE,authenticated,SELECT,"(has_role(auth.uid(), 'auditor'::app_role) OR has_role(auth.uid(), 'admin'::app_role))",""
audit_kpi_level_assignments,Auditors can update kpi-level assignments,PERMISSIVE,authenticated,UPDATE,"(has_role(auth.uid(), 'auditor'::app_role) OR has_role(auth.uid(), 'admin'::app_role))",""
audit_policies,audit_policies_write_platform_owner,PERMISSIVE,authenticated,ALL,"has_role(auth.uid(), 'platform_owner'::app_role)","has_role(auth.uid(), 'platform_owner'::app_role)"
audit_policies,audit_policies_read_authenticated,PERMISSIVE,authenticated,SELECT,true,""
auth_lookup_attempts,Service role manages auth lookup attempts,PERMISSIVE,service_role,ALL,true,true
auth_lookup_attempts,Admins can view auth lookup attempts,PERMISSIVE,authenticated,SELECT,"((auth.uid() IS NOT NULL) AND has_role(auth.uid(), 'admin'::app_role))",""
backup_denylist,Admins manage backup denylist,PERMISSIVE,authenticated,ALL,"has_role(auth.uid(), 'admin'::app_role)","has_role(auth.uid(), 'admin'::app_role)"
backup_denylist,Anyone authenticated can read backup denylist,PERMISSIVE,authenticated,SELECT,true,""
backup_logs,Service role can manage backup logs,PERMISSIVE,public,ALL,(auth.role() = 'service_role'::text),""
backup_logs,Admins can create backup logs,PERMISSIVE,public,INSERT,"","has_role(auth.uid(), 'admin'::app_role)"
backup_logs,Admins can view backup logs,PERMISSIVE,public,SELECT,"has_role(auth.uid(), 'admin'::app_role)",""
backup_logs,Admins can update backup logs,PERMISSIVE,public,UPDATE,"has_role(auth.uid(), 'admin'::app_role)",""
bulk_review_batches,bulk_batches_admin_read,PERMISSIVE,authenticated,SELECT,"has_role(auth.uid(), 'admin'::app_role)",""
bulk_review_batches,bulk_batches_self_read,PERMISSIVE,authenticated,SELECT,(performed_by = auth.uid()),""
bundle_assignment_logs,Admins can insert bundle assignment logs,PERMISSIVE,public,INSERT,"","has_role(auth.uid(), 'admin'::app_role)"
bundle_assignment_logs,Admins can view all bundle assignment logs,PERMISSIVE,public,SELECT,"has_role(auth.uid(), 'admin'::app_role)",""
business_unit_sub_units,Admins can manage sub-units,PERMISSIVE,authenticated,ALL,"has_role(auth.uid(), 'admin'::app_role)","has_role(auth.uid(), 'admin'::app_role)"
business_unit_sub_units,Menu override users can delete sub units,PERMISSIVE,authenticated,DELETE,"has_menu_access_override(auth.uid(), 'admin-incentive'::text)",""
business_unit_sub_units,Menu override users can insert sub units,PERMISSIVE,authenticated,INSERT,"","has_menu_access_override(auth.uid(), 'admin-incentive'::text)"
business_unit_sub_units,Authenticated users can read sub-units,PERMISSIVE,authenticated,SELECT,true,""
business_unit_sub_units,Menu override users can update sub units,PERMISSIVE,authenticated,UPDATE,"has_menu_access_override(auth.uid(), 'admin-incentive'::text)","has_menu_access_override(auth.uid(), 'admin-incentive'::text)"
business_units,Admins can manage business_units,PERMISSIVE,authenticated,ALL,"has_role(auth.uid(), 'admin'::app_role)",""
business_units,Authenticated users can view business_units,PERMISSIVE,authenticated,SELECT,true,""
capability_registry,capability_registry_write,PERMISSIVE,authenticated,ALL,"has_role(auth.uid(), 'platform_owner'::app_role)","has_role(auth.uid(), 'platform_owner'::app_role)"
capability_registry,capability_registry_read,PERMISSIVE,authenticated,SELECT,true,""
client_action_entitlements,cae_write,PERMISSIVE,authenticated,ALL,"has_role(auth.uid(), 'platform_owner'::app_role)","has_role(auth.uid(), 'platform_owner'::app_role)"
client_action_entitlements,cae_read,PERMISSIVE,public,SELECT,"(has_role(auth.uid(), 'platform_owner'::app_role) OR is_implementation_admin_for(client_id))",""
client_contacts,client_contacts_insert,PERMISSIVE,authenticated,INSERT,"","(has_role(auth.uid(), 'platform_owner'::app_role) OR is_implementation_admin_for(client_id))"
client_contacts,client_contacts_select,PERMISSIVE,authenticated,SELECT,"(has_role(auth.uid(), 'platform_owner'::app_role) OR is_implementation_admin_for(client_id))",""
client_contacts,client_contacts_update,PERMISSIVE,authenticated,UPDATE,"(has_role(auth.uid(), 'platform_owner'::app_role) OR is_implementation_admin_for(client_id))","(has_role(auth.uid(), 'platform_owner'::app_role) OR is_implementation_admin_for(client_id))"
client_error_reports,authenticated can insert own crash report,PERMISSIVE,authenticated,INSERT,"",((user_id IS NULL) OR (user_id = auth.uid()))
client_error_reports,admin and hr_pms can read crash reports,PERMISSIVE,authenticated,SELECT,"(has_role(auth.uid(), 'admin'::app_role) OR has_role(auth.uid(), 'hr_pms'::app_role))",""
