function_name,classification,frontend_calls,edge_calls,db_body_mentions,trigger_bindings,sample_caller
annual_review_rollback_kra_rehydrate_run,rpc_frontend,1,0,0,0,src/services/annualReview/kraRehydrate.ts
annual_review_stage_ord,db_internal_helper,0,0,7,0,
annual_review_stage_scoreable_criteria_count,undetermined,0,0,1,0,
annual_review_status_ord,db_internal_helper,0,0,3,0,
annual_review_status_rank,undetermined,0,0,1,0,
annual_review_subtree_ids,db_internal_helper,0,0,8,0,
annual_review_validate_stage_weights,db_internal_helper,0,0,2,0,
apply_final_score_rule,db_internal_helper,0,0,2,0,
apply_workflow_global_default_migration,rpc_frontend,1,0,0,0,src/components/admin/MigrateGlobalDefaultsDialog.tsx
ar_expected_reviewer_slots,undetermined,0,0,1,0,
archive_annual_review_response,db_internal_helper,0,0,2,0,
assign_permit_number,trigger_function,0,0,0,1,
audit_okv_evidence_targeting,trigger_function,0,0,0,1,
auto_compute_rating_and_clamp_scores,trigger_function,0,0,0,1,
auto_expire_rollback_requests,trigger_function,0,0,0,1,
backfill_late_joiner_org_kpis,rpc_frontend,1,0,0,0,src/hooks/useLateJoinerBackfill.ts
backfill_management_stage_all,rpc_frontend,1,0,0,0,src/hooks/useAccessControlAdmin.ts
backfill_management_stage_for_manager,rpc_frontend,1,0,1,0,src/hooks/useAccessControlAdmin.ts
backfill_multimonth_percolation,undetermined,0,0,0,0,
batch_insert_kpis_with_rollover_flag,rpc_edge_function,0,1,0,0,supabase/functions/auto-rollover-kpis/index.ts
block_when_annual_cycle_closed,trigger_function,0,0,0,2,
bulk_create_annual_review_instances,rpc_frontend,1,0,0,0,src/services/annualReview/bulkAdmin.ts
bulk_exclude_annual_review_instances,rpc_frontend,1,0,0,0,src/services/annualReview/bulkAdmin.ts
bulk_finalize_annual_reviews,rpc_frontend,1,0,0,0,src/services/annualReview/annualReviewService.ts
bulk_force_reset_annual_review_instances,undetermined,0,0,0,0,
bulk_management_approve,rpc_frontend,1,0,0,0,src/hooks/useBulkReview.ts
bulk_reopen_cells,rpc_frontend,1,0,0,0,src/hooks/useBulkReview.ts
bulk_restore_annual_review_instances,rpc_frontend,1,0,0,0,src/services/annualReview/bulkAdmin.ts
bulk_review_snapshot,rpc_frontend,1,0,0,0,src/hooks/useBulkReview.ts
bulk_save_stage_drafts,rpc_frontend,1,0,0,0,src/hooks/useBulkReview.ts
bulk_scope_preview,rpc_frontend,1,0,0,0,src/hooks/useBulkReview.ts
bulk_set_annual_review_template_override,rpc_frontend,1,0,0,0,src/services/annualReview/bulkAdmin.ts
bulk_upsert_org_kpi_values,rpc_frontend,1,0,0,0,src/hooks/useOrgKpiValues.ts
bulk_write_stage_scores,rpc_frontend,1,0,0,0,src/hooks/useBulkReview.ts
can_access_annual_review_instance_for_assistance,undetermined,0,0,1,0,
can_grant_access_profile,undetermined,0,0,0,0,
can_proxy_submit_annual_review,rpc_frontend,1,0,1,0,src/services/annualReview/proxySubmission.ts
can_send_notification_to,db_internal_helper,0,0,2,0,
can_view_kpi_row,undetermined,0,0,0,0,
can_view_profile_for_annual_review_directory,undetermined,0,0,0,0,
can_view_profile_for_safety,undetermined,0,0,0,0,
can_view_safety_incident,undetermined,0,0,0,0,
canonical_stage_order,db_internal_helper,0,0,4,0,
change_org_kpi_scope_cascading,rpc_frontend,1,0,0,0,src/hooks/useOrgKpiManagement.ts
check_review_period_permission,rpc_frontend,1,0,2,0,src/hooks/useReviewPeriodPermissions.ts
check_template_has_active_kpis,rpc_frontend,1,0,0,0,src/hooks/useWorkflowConfig.ts
clear_send_back_marker_on_advance,trigger_function,0,0,0,1,
clone_annual_review_cycle,rpc_frontend,1,0,0,0,src/services/annualReview/annualReviewService.ts
clone_annual_review_template,rpc_frontend,1,0,1,0,src/services/annualReview/annualReviewService.ts
close_annual_review_cycle,rpc_frontend,1,0,0,0,src/services/annualReview/annualReviewService.ts
close_duplicate_incident,rpc_frontend,1,0,0,0,src/hooks/useSafetyIncidents.ts
close_permit,rpc_frontend,1,0,0,0,src/hooks/useSafetyPermits.ts
complete_drill,rpc_frontend,1,0,0,0,src/hooks/useSafetyEmergency.ts
compute_annual_review_weighted_score,db_internal_helper,0,0,3,0,
compute_carry_kra_contribution,db_internal_helper,0,0,2,0,
compute_org_kpi_score_for_kpi,db_internal_helper,0,0,2,0,
correct_may_kpis,rpc_frontend,1,0,0,0,src/hooks/useKpiRegistry.ts
create_or_get_annual_review_instance,rpc_frontend,1,0,1,0,src/services/annualReview/employeeDirectory.ts
create_repair_profile,undetermined,0,0,0,0,
decide_permit_level,rpc_frontend,1,0,0,0,src/hooks/useSafetyPermits.ts
delete_annual_review_directory_override,rpc_frontend,1,0,0,0,src/hooks/useAccessControlAdmin.ts
detect_alias_drift,undetermined,0,0,0,0,
detect_intra_year_cycle_anchor_drift,undetermined,0,0,0,0,
detect_org_kpi_cycle_anchor_drift,undetermined,0,0,0,0,
detect_training_needs_for_period,rpc_frontend,1,0,0,0,src/hooks/useTNI.ts
dev_report_summary,rpc_frontend,1,0,0,0,src/hooks/useDevReportEntries.ts
diagnose_org_kpi_propagation_gap,rpc_frontend,1,0,0,0,src/hooks/useRepairOrgKpiPropagationGap.ts
dismiss_suggestion,undetermined,0,0,1,0,
dust_cases_to_rating,undetermined,0,0,1,0,
dust_rating_to_level,db_internal_helper,0,0,8,0,
enforce_ar_reviewer_response_rebind,trigger_function,0,0,0,1,
enforce_bu_head_terminal_stage,trigger_function,0,0,0,1,
enforce_collapsed_dept_bu_normalise,trigger_function,0,0,0,1,
enforce_frequency_lock_on_submission,trigger_function,0,0,0,1,
enforce_intra_year_cycle_anchor_consistency,trigger_function,0,0,0,1,
enforce_management_terminal_stage,trigger_function,0,0,0,1,
enforce_missing_dept_head_stage_strip,trigger_function,0,0,0,1,
enforce_on_behalf_score_or_na,trigger_function,0,0,0,1,
enforce_profile_self_update_column_scope,trigger_function,0,0,0,1,
enforce_self_snapshot_mirror,trigger_function,0,0,0,1,
enforce_system_scores_within_weight,trigger_function,0,0,0,1,
enqueue_pms_compression_jobs,trigger_function,0,0,0,1,
enqueue_safety_compression_on_insert,trigger_function,0,0,0,1,
enqueue_safety_notification,db_internal_helper,0,0,10,0,
ensure_org_kpi_scope_rows,rpc_frontend,1,0,0,0,src/hooks/useEnsureOrgKpiScopeRows.ts
exclude_annual_review_instance,rpc_frontend,1,0,0,0,src/services/annualReview/bulkAdmin.ts
expand_cycle_window_months,undetermined,0,0,1,0,
expire_overdue_permits,rpc_edge_function,0,1,0,0,supabase/functions/permit-expiry-sweep/index.ts
find_ongoing_workflow,db_internal_helper,0,0,9,0,
find_orphan_criteria_scores,undetermined,0,0,0,0,
fiscal_year_for_month,undetermined,0,0,0,0,
fn_compute_rating_from_achievement,db_internal_helper,0,0,5,0,
fn_resolve_final_score,undetermined,0,0,1,0,
fn_sync_org_status_to_future_open_periods,trigger_function,0,0,0,1,
force_reset_annual_review_instance,undetermined,0,0,1,0,
general_eligibility_validate_anchor,trigger_function,0,0,0,1,
generate_bundles_from_kpis,rpc_frontend,1,0,0,0,src/pages/admin/TemplateBundles.tsx
get_active_profile_directory_entries,undetermined,0,0,0,0,
get_active_send_back_markers,rpc_frontend,1,0,0,0,src/hooks/useSentBackOrgKpiEmployees.ts
get_admin_dashboard_stats,rpc_frontend,1,0,0,0,src/pages/admin/AdminDashboard.tsx
get_annual_review_access_explain,rpc_frontend,1,0,0,0,src/hooks/useAccessControlAdmin.ts
get_annual_review_carry_kra_rows,rpc_frontend,1,0,0,0,src/services/annualReview/carryKraScore.ts
get_annual_review_comprehensive_report,rpc_frontend,2,0,0,0,src/services/annualReview/comprehensiveReport.ts
get_annual_review_dept_submission_summary,rpc_frontend,1,0,0,0,src/components/reports/annual-review/DepartmentSubmissionTab.tsx
get_annual_review_directory_access,rpc_frontend,1,0,0,0,src/hooks/useDirectoryAccess.ts
get_annual_review_monthly_kra_matrix,rpc_frontend,1,0,0,0,src/services/annualReview/monthlyKraSheet.ts
get_annual_review_pending_at_stage,rpc_frontend,1,0,0,0,src/components/reports/annual-review/PendingDrilldownTab.tsx
get_annual_review_recommendations,rpc_frontend,1,0,0,0,src/services/annualReview/recommendationColumns.ts
get_annual_review_reviewer_pending_queues,rpc_frontend,1,0,0,0,src/components/reports/annual-review/ReviewerQueuesTab.tsx
get_backup_table_order,rpc_edge_function,0,2,0,0,supabase/functions/create-backup/index.ts
get_bulk_employee_workflows,rpc_frontend,4,0,2,0,src/components/review/KpiJourneySection.tsx
get_cycle_months,db_internal_helper,0,0,8,0,
get_cycle_terminal_month,db_internal_helper,0,0,5,0,
get_direct_report_ids,undetermined,0,0,0,0,
get_distinct_active_designations,rpc_frontend,1,0,0,0,src/hooks/useEmployeeFilterOptions.ts
get_distinct_active_pms_grades,rpc_frontend,1,0,0,0,src/hooks/useEmployeeFilterOptions.ts
get_employee_workflow,rpc_frontend,4,0,3,0,src/components/admin/AdminStatusStepBackDialog.tsx
get_employee_workflow_info,rpc_frontend,5,0,7,0,src/hooks/useOrgKpiAuditReview.ts
get_first_kra_rollout,rpc_frontend,1,0,0,0,src/pages/reports/FirstKraRolloutReport.tsx
get_functional_report_ids,undetermined,0,0,0,0,
get_hierarchy_completed_reviews,rpc_frontend,1,0,0,0,src/services/annualReview/hierarchyCompleted.ts
get_incentive_program_employees,rpc_frontend,5,0,0,0,src/components/incentive/IncentiveDataExport.tsx
get_kpi_accessible_user_ids,rpc_frontend,1,0,0,0,src/hooks/useMentionSearch.ts
get_kpi_journey_report,rpc_frontend,1,0,0,0,src/hooks/useKpiJourneyReport.ts
get_management_dashboard_rows,rpc_frontend,1,0,0,0,src/pages/ManagementDashboard.tsx
get_management_seeding_gaps,rpc_frontend,1,0,0,0,src/hooks/useAccessControlAdmin.ts
get_manager_team_roster,rpc_frontend,1,0,0,0,src/hooks/useOrganization.ts
get_monthly_trend,rpc_frontend,1,0,0,0,src/hooks/useMonthlyTrend.ts
get_my_annual_review_queue,rpc_frontend,1,0,0,0,src/services/annualReview/annualReviewService.ts
get_my_annual_review_role_counts,rpc_frontend,1,0,0,0,src/services/annualReview/annualReviewService.ts
get_org_kpi_data_entry_snapshot,rpc_frontend,1,0,0,0,src/hooks/useOrgLevelKpis.ts
get_orphaned_annual_reviews,rpc_frontend,1,0,0,0,src/components/annual-review/OrphanedReviewsTab.tsx
get_profile_directory_entries,rpc_frontend,3,0,0,0,src/hooks/useMentionSearch.ts
get_profile_directory_entries_v2,rpc_frontend,5,0,0,0,src/components/incentive/IncentiveDataExport.tsx
get_profiles_for_audit_display,rpc_frontend,2,0,0,0,src/components/dashboard/KpiTimeline.tsx
get_public_branding,rpc_frontend,1,0,0,0,src/hooks/useAppSettings.ts
get_public_registry_view,rpc_frontend,1,0,0,0,src/hooks/useRegistryBrowser.ts
get_recent_registry_audit,undetermined,0,0,0,0,
get_registry_coverage_stats,undetermined,0,0,0,0,
get_registry_pending_suggestion_count,undetermined,0,0,0,0,
get_reviewer_dashboard_page,rpc_frontend,1,0,0,0,src/hooks/useReviewerDashboardPage.ts
get_reviewer_kpis_for_period,rpc_frontend,2,0,0,0,src/hooks/useKpis.ts
get_reviewer_roster_slim,rpc_frontend,1,0,0,0,src/hooks/useOrganization.ts
get_reviewer_submission_scores_for_period,rpc_frontend,1,0,0,0,src/hooks/useKpis.ts
get_safety_permissions,undetermined,0,0,0,0,
get_safety_setting,undetermined,0,0,0,0,
get_skip_level_manager,db_internal_helper,0,0,4,0,
get_template_linked_counts,rpc_frontend,1,0,0,0,src/hooks/useKpiTemplates.ts
get_unlinked_signatures,undetermined,0,0,0,0,
get_user_access_profile_rights,rpc_frontend,1,0,0,0,src/hooks/useMenuAccess.ts
get_user_management_visible_employee_ids,rpc_frontend,2,0,1,0,src/hooks/useMyVisibleEmployeeIds.ts
get_user_org_scope_filters,undetermined,0,0,0,0,
get_user_role,undetermined,0,0,0,0,
get_visible_employee_ids,undetermined,0,0,1,0,
guard_annual_review_template_id_stability,trigger_function,0,0,0,1,
guard_observation_reply_edit,trigger_function,0,0,0,1,
guard_observation_self_edit,trigger_function,0,0,0,1,
guard_permit_status_write,trigger_function,0,0,0,1,
guard_sub_period_reviewer_fields,trigger_function,0,0,0,1,
handle_new_user,undetermined,0,0,0,0,
handle_query_resolution,trigger_function,0,0,0,1,
has_any_safety_role,rpc_edge_function,0,1,0,0,supabase/functions/safety-analytics/index.ts
has_capability,undetermined,0,0,0,0,
has_elevated_safety_role,undetermined,0,0,1,0,
has_menu_access_override,undetermined,0,0,0,0,
has_menu_right,rpc_edge_function,0,1,5,0,supabase/functions/create-employee/index.ts
has_profile_menu_access,db_internal_helper,0,0,2,0,
has_report_access_override,db_internal_helper,0,0,5,0,
has_responsible_safety_role,undetermined,0,0,1,0,
has_role,rpc_edge_function,0,2,246,0,supabase/functions/annual-review-reminders/index.ts
has_safety_module_access,rpc_frontend,2,0,4,0,src/components/safety/SafetyModuleRoute.tsx
has_safety_permission,undetermined,0,0,1,0,
has_safety_role,db_internal_helper,0,0,59,0,
has_scope_membership,undetermined,0,0,0,0,
hydrate_annual_review_system_scores,undetermined,0,0,1,0,
iac_log,rpc_frontend,1,1,0,0,src/services/iac/iacService.ts
iac_revoke_on_deactivation,trigger_function,0,0,0,1,
iac_sweep_expired,rpc_edge_function,0,1,0,0,supabase/functions/iac-sweep-expired/index.ts
iac_touch_updated_at,trigger_function,0,0,0,1,
impl_console_archive_contact,rpc_frontend,1,0,0,0,src/components/platform/impl-console/CommunicationsTab.tsx
impl_console_archive_template,rpc_frontend,1,0,0,0,src/components/platform/impl-console/TemplatesTab.tsx
impl_console_archive_url,rpc_frontend,1,0,0,0,src/pages/platform/ImplementationConsole.tsx
impl_console_set_primary_contact,rpc_frontend,1,0,0,0,src/components/platform/impl-console/CommunicationsTab.tsx
impl_console_set_primary_url,rpc_frontend,1,0,0,0,src/pages/platform/ImplementationConsole.tsx
impl_console_try_increment_rate,rpc_edge_function,0,1,0,0,supabase/functions/impl-console-send-test-email/index.ts
is_annual_review_admin,db_internal_helper,0,0,6,0,
is_annual_review_reviewer_for_profile,undetermined,0,0,0,0,
is_bu_head,db_internal_helper,0,0,3,0,
is_bulk_review_enabled,db_internal_helper,0,0,8,0,
is_canonical_enforcement_period,db_internal_helper,0,0,8,0,
is_data_owner_for_employee,undetermined,0,0,0,0,
is_feature_flag_enabled_for_me,rpc_frontend,2,0,0,0,src/hooks/useAnnualReview.ts
is_functional_manager_of,undetermined,0,0,1,0,
is_image_url,undetermined,0,0,1,0,
is_implementation_admin_for,db_internal_helper,0,0,4,0,
is_mgmt_reopen_enabled,undetermined,0,0,1,0,
is_month_locked_for_frequency,undetermined,0,0,0,0,
is_observation_participant,db_internal_helper,0,0,2,0,
is_org_kpi_audit_employee,undetermined,0,0,0,0,
is_org_kpi_data_owner_for_profile,undetermined,0,0,0,0,
is_period_locked,db_internal_helper,0,0,2,0,
is_permit_approver,undetermined,0,0,0,0,
is_valid_cycle_anchor,db_internal_helper,0,0,2,0,
jsonb_url_set_equal,db_internal_helper,0,0,2,0,
kpi_cell_detail,rpc_frontend,1,0,0,0,src/hooks/useBulkReview.ts
list_annual_review_pending_reviewers,rpc_edge_function,0,1,0,0,supabase/functions/annual-review-reminders/index.ts
list_annual_review_role_capabilities,rpc_frontend,1,0,0,0,src/hooks/useAccessControlAdmin.ts
list_profile_grade_level_orphans,undetermined,0,0,0,0,
list_profile_identity_drift,undetermined,0,0,0,0,
log_employment_status_change,trigger_function,0,0,0,1,
log_increment_eligibility_criteria_change,trigger_function,0,0,0,1,
log_increment_eligibility_exclusion_change,trigger_function,0,0,0,1,
log_kpi_status_transition,trigger_function,0,0,0,1,
log_pip_status_change,trigger_function,0,0,0,1,
log_safety_role_change,trigger_function,0,0,0,1,
log_standardization_action,rpc_frontend,1,0,0,0,src/hooks/useKpiRegistry.ts
log_untracked_submission_changes,trigger_function,0,0,0,1,
lookup_synthetic_email_by_code,rpc_frontend,1,0,0,0,src/pages/Auth.tsx
mark_audit_reviewed,rpc_frontend,1,0,0,0,src/hooks/useSafetyAudits.ts
mark_incident_duplicate,rpc_frontend,1,0,0,0,src/hooks/useSafetyIncidents.ts
mark_overdue_assets,rpc_edge_function,0,1,0,0,supabase/functions/asset-calibration-sweep/index.ts
materialize_kpis_for_org_kpi,undetermined,0,0,1,0,
menu_overrides_validate,trigger_function,0,0,0,1,
menu_registry_custom_validate,trigger_function,0,0,0,1,
menu_registry_protect_seeded_delete,trigger_function,0,0,0,1,
merge_definitions,undetermined,0,0,0,0,
migrate_okv_on_scope_change,undetermined,0,0,1,0,
month_name_to_index,db_internal_helper,0,0,3,0,
my_review_scope,rpc_frontend,1,0,0,0,src/hooks/useBulkReview.ts
normalize_increment_eligibility_scope,trigger_function,0,0,0,1,
normalize_kpi_text,db_internal_helper,0,0,88,0,
normalize_kpi_text_value,db_internal_helper,0,0,2,0,
notify_annual_review_stage_change,trigger_function,0,0,0,1,
notify_on_kpi_created,trigger_function,0,0,0,1,
notify_on_kpi_status_change,trigger_function,0,0,0,1,
notify_on_observation_change,trigger_function,0,0,0,1,
notify_on_observation_reply,trigger_function,0,0,0,1,
notify_on_period_locked,trigger_function,0,0,0,1,
notify_on_query_raised,trigger_function,0,0,0,1,
notify_on_query_resolved,trigger_function,0,0,0,2,
notify_on_stage_change,trigger_function,0,0,0,1,
open_self_review_for_pending,rpc_frontend,1,0,0,0,src/services/annualReview/annualReviewService.ts
org_kpi_evidence_parity,rpc_frontend,1,0,0,0,src/hooks/useOrgKpiEvidenceFiles.ts
org_kpi_evidence_targeting,rpc_frontend,1,0,0,0,src/hooks/useOrgKpiEvidenceFiles.ts
override_annual_review_rating,rpc_frontend,1,0,0,0,src/services/annualReview/annualReviewService.ts
percolate_multimonth_score,trigger_function,0,0,0,1,
post_observation_reply,rpc_frontend,1,0,0,0,src/hooks/useObservationReplies.ts
prevent_locked_period_updates,trigger_function,0,0,0,1,
prevent_locked_submission_updates,trigger_function,0,0,0,1,
prevent_profile_hr_field_self_edit,trigger_function,0,0,0,1,
prevent_self_reporting_manager,trigger_function,0,0,0,1,
preview_hr_final_sync,rpc_frontend,1,0,0,0,src/services/annualReview/hrFinalSync.ts
preview_org_kpi_propagation,rpc_frontend,1,0,0,0,src/hooks/usePreviewOrgKpiPropagation.ts
preview_split_definition,undetermined,0,0,0,0,
promote_signature_to_definition,rpc_frontend,1,0,0,0,src/hooks/useCanonicalAutolink.ts
propagate_org_kpi_value,rpc_frontend,1,0,0,0,src/hooks/usePropagateOrgKpiValue.ts
reassign_annual_review_reviewer,rpc_frontend,1,0,2,0,src/services/annualReview/annualReviewService.ts
rebatch_bimonthly_reanchor,rpc_frontend,1,0,0,0,src/components/admin/BiMonthlyReanchorSection.tsx
recalculate_bu_head,rpc_frontend,1,0,0,0,src/services/orgHeads/orgHeadsService.ts
recalculate_department_head,rpc_frontend,1,0,0,0,src/services/orgHeads/orgHeadsService.ts
recalculate_hr_head,rpc_frontend,1,0,0,0,src/services/orgHeads/orgHeadsService.ts
reconcile_org_kpi_inheritance,rpc_frontend,1,0,0,0,src/components/admin/OrgKpiInheritanceReconciler.tsx
reconcile_workflow_statuses,rpc_frontend,1,1,2,0,src/components/admin/ReconcileOrphanedKpisDialog.tsx
record_calibration,rpc_frontend,1,0,0,0,src/hooks/useSafetyAssets.ts
record_send_back_reason,rpc_frontend,4,0,0,0,src/components/review/AuditScorecard.tsx
refresh_safety_analytics,undetermined,0,0,0,0,
remap_annual_review_criteria_scores,db_internal_helper,0,0,4,0,
remap_system_scores_by_library_key,undetermined,0,0,1,0,
rename_incident_evidence,rpc_frontend,1,0,0,0,src/hooks/useSafetyIncidentDetail.ts
reopen_annual_review_cycle,rpc_frontend,1,0,0,0,src/services/annualReview/annualReviewService.ts
repair_all_orphan_criteria_scores,undetermined,0,0,0,0,
repair_bu_head_terminal_chains,undetermined,0,0,0,0,
repair_intra_year_cycle_anchor_drift,undetermined,0,0,0,0,
repair_multimonth_workflow_drift_v5,rpc_frontend,1,0,0,0,src/components/admin/MultimonthWorkflowDriftCard.tsx
repair_org_kpi_cycle_anchors,rpc_frontend,1,0,0,0,src/components/admin/OrgKpiCycleAnchorRepair.tsx
repair_org_kpi_entered_unpropagated_rows,rpc_frontend,1,0,0,0,src/hooks/useRepairOrgKpiPropagationGap.ts
repair_org_kpi_late_self_backfill,undetermined,0,0,0,0,
repair_profile_identity,undetermined,0,0,0,0,
repair_sibling_frequency_drift_v5,rpc_frontend,1,0,0,0,src/components/admin/MultimonthWorkflowDriftCard.tsx
repercolate_on_submission_update,trigger_function,0,0,0,1,
repercolate_on_workflow_config_change,trigger_function,0,0,0,1,
report_field_overrides_validate,trigger_function,0,0,0,1,
report_safety_incident,rpc_frontend,2,0,0,0,src/hooks/useSafetyIncidents.ts
request_org_kpi_revision,rpc_frontend,1,0,0,0,src/hooks/useRequestOrgKpiRevision.ts
resolve_bu_head,db_internal_helper,0,0,2,0,
resolve_canonical_kpi,undetermined,0,0,0,0,
resolve_canonical_kpi_batch,rpc_frontend,1,0,0,0,src/hooks/useCanonicalResolver.ts
resolve_cycle_anchor,db_internal_helper,0,0,4,0,
resolve_department_head,undetermined,0,0,1,0,
resolve_final_score_rule,rpc_frontend,1,0,1,0,src/lib/applyFinalScoreRule.ts
resolve_global_safety_head,db_internal_helper,0,0,3,0,
resolve_hr_head,undetermined,0,0,1,0,
resolve_management_reviewer,undetermined,0,0,0,0,
resolve_org_kpi_target_kpis,rpc_frontend,1,0,0,0,src/hooks/usePropagateOrgKpiValue.ts
resolve_safety_incident_sla,undetermined,0,0,1,0,
resolve_safety_routing,undetermined,0,0,1,0,
resolve_scope_population,db_internal_helper,0,0,2,0,
resolve_terminal_period,db_internal_helper,0,0,2,0,
restore_annual_review_instance,rpc_frontend,1,0,0,0,src/services/annualReview/bulkAdmin.ts
resync_annual_review_dept_head,rpc_frontend,1,0,0,0,src/services/annualReview/resyncDeptHead.ts
resync_annual_review_reviewer_slots,undetermined,0,0,0,0,
resync_org_kpi_evidence,rpc_frontend,1,0,0,0,src/hooks/useOrgKpiEvidenceFiles.ts
reverse_standardization_action,rpc_frontend,1,0,0,0,src/hooks/useKpiRegistry.ts
revert_bimonthly_reanchor,rpc_frontend,1,0,0,0,src/components/admin/BiMonthlyReanchorSection.tsx
revert_stage_transfer,rpc_frontend,1,0,0,0,src/services/annualReview/annualReviewService.ts
review_action_notes_stamp_completion,trigger_function,0,0,0,1,
review_drill,rpc_frontend,1,0,0,0,src/hooks/useSafetyEmergency.ts
review_note_role_can,undetermined,0,0,0,0,
revive_orphaned_safety_incident,rpc_frontend,1,0,0,0,src/hooks/useSafetyIncidents.ts
rollback_annual_review_completed,rpc_frontend,1,0,0,0,src/services/annualReview/annualReviewService.ts
rpc_bulk_employee_attrs,rpc_frontend,1,0,0,0,src/hooks/useBulkReview.ts
rpc_distinct_kpi_periods,rpc_frontend,1,0,0,0,src/hooks/useKpis.ts
rpc_kpi_employee_matrix_rows,rpc_frontend,1,0,0,0,src/hooks/useKpiEmployeeMatrix.ts
rpc_kpi_employee_matrix_scope,rpc_frontend,1,0,0,0,src/hooks/useKpiEmployeeMatrix.ts
rpc_kpi_org_flags,rpc_frontend,1,0,0,0,src/hooks/useBulkReview.ts
rpc_open_query_counts,rpc_frontend,1,0,0,0,src/hooks/useKpis.ts
rpc_org_kpi_filled_keys,rpc_frontend,1,0,0,0,src/pages/admin/AllKpis.tsx
rpc_weightage_eligible_employees,rpc_frontend,1,0,0,0,src/hooks/useKpiWeightageMatrix.ts
rpc_weightage_variance_summary,rpc_frontend,1,0,0,0,src/hooks/useKpiWeightageMatrix.ts
run_safety_sla_escalations,rpc_edge_function,0,1,0,0,supabase/functions/check-safety-sla/index.ts
safety_analytics_dept_risk_trend,undetermined,0,0,0,0,
safety_analytics_recurrence,undetermined,0,0,0,0,
safety_analytics_top_root_causes,undetermined,0,0,0,0,
safety_assets_touch_updated_at,trigger_function,0,0,0,1,
safety_audit_runs_block_status_writes,trigger_function,0,0,0,1,
safety_audit_runs_touch,trigger_function,0,0,0,1,
safety_audit_templates_touch,trigger_function,0,0,0,1,
safety_dashboard_at_risk,undetermined,0,0,0,0,
safety_drill_counts,rpc_edge_function,0,1,0,0,supabase/functions/safety-drill/index.ts
safety_drill_dump,rpc_edge_function,0,1,0,0,supabase/functions/safety-drill/index.ts
safety_drill_load,rpc_edge_function,0,1,0,0,supabase/functions/safety-drill/index.ts
safety_drill_seed,rpc_edge_function,0,1,0,0,supabase/functions/safety-drill/index.ts
safety_drill_truncate,rpc_edge_function,0,1,0,0,supabase/functions/safety-drill/index.ts
safety_drills_block_status_writes,trigger_function,0,0,0,1,
safety_evidence_autoname,trigger_function,0,0,0,1,
safety_incident_before_insert,trigger_function,0,0,0,1,
safety_incident_fsm_guard,trigger_function,0,0,0,1,
safety_permissions_audit,trigger_function,0,0,0,2,
safety_settings_touch,trigger_function,0,0,0,1,
safety_training_block_status_writes,undetermined,0,0,0,0,
scan_kpi_duplicate_groups,rpc_frontend,1,0,0,0,src/hooks/useKpiRegistry.ts
search_active_employees_for_review,rpc_frontend,1,0,0,0,src/services/annualReview/employeeDirectory.ts
seed_client_setup_checklist,trigger_function,0,0,0,1,
