tbl,conname,cols
annual_review_templates,annual_review_templates_parent_template_id_fkey,parent_template_id
annual_score_configs,annual_score_configs_copied_from_config_id_fkey,copied_from_config_id
audit_kpi_assignments,audit_kpi_assignments_assigned_by_fkey,assigned_by
audit_kpi_assignments,audit_kpi_assignments_employee_id_fkey,employee_id
audit_kpi_level_assignments,audit_kpi_level_assignments_assigned_by_fkey,assigned_by
bundle_assignment_logs,bundle_assignment_logs_assigned_by_fkey,assigned_by
business_units,business_units_division_id_fkey,division_id
business_units,business_units_head_updated_by_fkey,head_updated_by
capability_registry,capability_registry_module_key_fkey,module_key
client_action_entitlements,client_action_entitlements_action_key_fkey,action_key
client_module_entitlements,client_module_entitlements_module_key_fkey,module_key
dashboard_registry,dashboard_registry_module_key_fkey,module_key
departments,departments_business_unit_id_fkey,business_unit_id
departments,departments_head_updated_by_fkey,head_updated_by
designations,designations_company_id_fkey,company_id
dev_report_entries,dev_report_entries_created_by_fkey,created_by
divisions,divisions_company_id_fkey,company_id
employee_incentive_records,employee_incentive_records_matched_slab_id_fkey,matched_slab_id
employee_incentive_records,employee_incentive_records_program_id_fkey,program_id
general_eligibility_configs,general_eligibility_configs_copied_from_id_fkey,copied_from_id
iac_role_capabilities,iac_role_capabilities_capability_code_fkey,capability_code
iac_user_role_assignments,iac_user_role_assignments_assigned_by_fkey,assigned_by
impl_console_rate_buckets,impl_console_rate_buckets_client_id_fkey,client_id
incentive_allocation_rules,incentive_allocation_rules_target_bu_id_fkey,target_bu_id
incentive_custom_tab_data,incentive_custom_tab_data_employee_id_fkey,employee_id
incentive_custom_tab_data,incentive_custom_tab_data_program_id_fkey,program_id
incentive_disqualification_rules,incentive_disqualification_rules_program_id_fkey,program_id
incentive_eligibility_fields,incentive_eligibility_fields_program_id_fkey,program_id
incentive_production_rates,incentive_production_rates_employee_id_fkey,employee_id
incentive_slabs,incentive_slabs_business_unit_id_fkey,business_unit_id
incentive_slabs,incentive_slabs_company_id_fkey,company_id
incentive_slabs,incentive_slabs_department_id_fkey,department_id
incentive_slabs,incentive_slabs_division_id_fkey,division_id
incentive_slabs,incentive_slabs_pms_grade_id_fkey,pms_grade_id
incentive_vessel_rates,incentive_vessel_rates_employee_id_fkey,employee_id
increment_eligibility_configs,increment_eligibility_configs_copied_from_config_id_fkey,copied_from_config_id
increment_method_configs,increment_method_configs_copied_from_config_id_fkey,copied_from_config_id
increment_run_items,increment_run_items_edited_by_fkey,edited_by
integration_connector_registry,integration_connector_registry_module_key_fkey,module_key
kpi_audit_logs,kpi_audit_logs_performed_by_fkey,performed_by
kpi_audit_logs,kpi_audit_logs_submission_id_fkey,submission_id
kpi_name_aliases,kpi_name_aliases_category_id_fkey,category_id
kpi_observation_replies,kpi_observation_replies_reply_by_fkey,reply_by
kpi_observations,kpi_observations_reviewed_by_fkey,reviewed_by
kpi_queries,kpi_queries_kpi_id_fkey,kpi_id
kpi_queries,kpi_queries_raised_by_fkey,raised_by
kpi_queries,kpi_queries_raised_to_fkey,raised_to
kpi_registry_audit_log,kpi_registry_audit_log_performed_by_fkey,performed_by
kpi_rollback_requests,kpi_rollback_requests_actioned_by_fkey,actioned_by
kpi_rollback_requests,kpi_rollback_requests_requested_by_fkey,requested_by
kpi_templates,kpi_templates_category_id_fkey,category_id
levels,levels_company_id_fkey,company_id
menu_access_user_overrides,menu_access_user_overrides_granted_by_fkey,granted_by
menu_access_user_overrides,menu_access_user_overrides_user_id_fkey,user_id
menu_overrides,menu_overrides_custom_parent_key_fkey,custom_parent_key
menu_registry,menu_registry_default_parent_key_fkey,default_parent_key
notification_event_registry,notification_event_registry_module_key_fkey,module_key
notifications,notifications_kpi_id_fkey,kpi_id
notifications,notifications_related_user_id_fkey,related_user_id
org_head_config,org_head_config_hr_business_unit_id_fkey,hr_business_unit_id
org_head_config,org_head_config_hr_head_updated_by_fkey,hr_head_updated_by
org_head_config,org_head_config_hr_head_user_id_fkey,hr_head_user_id
org_kpi_data_entry_logs,org_kpi_data_entry_logs_performed_by_fkey,performed_by
org_kpi_data_owners,org_kpi_data_owners_assigned_by_fkey,assigned_by
org_kpi_data_owners,org_kpi_data_owners_owner_id_fkey,owner_id
org_kpi_value_history,org_kpi_value_history_changed_by_fkey,changed_by
org_kpi_values,org_kpi_values_entered_by_fkey,entered_by
org_kpi_values,org_kpi_values_sent_back_by_fkey,sent_back_by
password_rollout_logs,password_rollout_logs_generated_by_fkey,generated_by
performance_improvement_plans,performance_improvement_plans_hr_reviewer_id_fkey,hr_reviewer_id
pip_audit_logs,pip_audit_logs_performed_by_fkey,performed_by
pip_milestones,pip_milestones_reviewed_by_fkey,reviewed_by
pms_grades,pms_grades_company_id_fkey,company_id
production_daily_entries,production_daily_entries_employee_id_fkey,employee_id
production_daily_entries,production_daily_entries_updated_by_fkey,updated_by
production_targets,production_targets_business_unit_id_fkey,business_unit_id
production_targets,production_targets_department_id_fkey,department_id
production_targets,production_targets_division_id_fkey,division_id
profiles,profiles_company_id_fkey,company_id
profiles,profiles_department_fk,department_id
profiles,profiles_designated_proxy_user_id_fkey,designated_proxy_user_id
report_access_user_overrides,report_access_user_overrides_granted_by_fkey,granted_by
report_access_user_overrides,report_access_user_overrides_user_id_fkey,user_id
report_registry_v2,report_registry_v2_module_key_fkey,module_key
review_action_notes,review_action_notes_completed_by_fkey,completed_by
review_action_notes,review_action_notes_kpi_id_fkey,kpi_id
review_action_notes,review_action_notes_target_period_id_fkey,target_period_id
review_period_audit_log,review_period_audit_log_performed_by_fkey,performed_by
review_period_audit_log,review_period_audit_log_review_period_id_fkey,review_period_id
review_period_auto_rules,review_period_auto_rules_review_period_id_fkey,review_period_id
review_period_locks,review_period_locks_locked_by_fkey,locked_by
review_period_stages,review_period_stages_review_period_id_fkey,review_period_id
review_period_stages,review_period_stages_started_by_fkey,started_by
review_periods,review_periods_locked_by_fkey,locked_by
review_submissions,review_submissions_performance_review_id_fkey,performance_review_id
safety_audit_run_responses,safety_audit_run_responses_auto_incident_id_fkey,auto_incident_id
safety_audit_run_responses,safety_audit_run_responses_item_id_fkey,item_id
safety_incident_evidence,safety_incident_evidence_uploaded_by_fkey,uploaded_by
safety_incident_progress_logs,safety_incident_progress_logs_logged_by_fkey,logged_by
safety_incident_routing_rules,safety_incident_routing_rules_bu_head_id_fkey,bu_head_id
safety_incident_routing_rules,safety_incident_routing_rules_created_by_fkey,created_by
safety_incident_routing_rules,safety_incident_routing_rules_department_id_fkey,department_id
safety_incident_routing_rules,safety_incident_routing_rules_manager_id_fkey,manager_id
safety_incident_routing_rules,safety_incident_routing_rules_second_manager_id_fkey,second_manager_id
safety_incident_routing_rules,safety_incident_routing_rules_updated_by_fkey,updated_by
safety_incident_severities,safety_incident_severities_created_by_fkey,created_by
safety_incident_severities,safety_incident_severities_updated_by_fkey,updated_by
safety_incident_sla_rules,safety_incident_sla_rules_created_by_fkey,created_by
safety_incident_sla_rules,safety_incident_sla_rules_severity_id_fkey,severity_id
safety_incident_sla_rules,safety_incident_sla_rules_updated_by_fkey,updated_by
safety_incident_timeline,safety_incident_timeline_changed_by_fkey,changed_by
safety_incident_types,safety_incident_types_created_by_fkey,created_by
safety_incident_types,safety_incident_types_updated_by_fkey,updated_by
safety_incidents,safety_incidents_closed_by_fkey,closed_by
safety_incidents,safety_incidents_department_id_fkey,department_id
safety_incidents,safety_incidents_incident_type_id_fkey,incident_type_id
safety_incidents,safety_incidents_involved_person_id_fkey,involved_person_id
safety_incidents,safety_incidents_marked_duplicate_by_fkey,marked_duplicate_by
safety_incidents,safety_incidents_routed_bu_head_id_fkey,routed_bu_head_id
safety_incidents,safety_incidents_routed_manager_id_fkey,routed_manager_id
safety_incidents,safety_incidents_routed_second_manager_id_fkey,routed_second_manager_id
safety_incidents,safety_incidents_severity_id_fkey,severity_id
safety_master_data,safety_master_data_parent_id_fkey,parent_id
safety_module_access,safety_module_access_granted_by_fkey,granted_by
safety_permit_evidence,safety_permit_evidence_permit_id_fkey,permit_id
safety_permit_hira,safety_permit_hira_permit_id_fkey,permit_id
safety_role_permissions,safety_role_permissions_permission_key_fkey,permission_key
safety_role_permissions,safety_role_permissions_updated_by_fkey,updated_by
safety_settings,safety_settings_updated_by_fkey,updated_by
safety_user_permission_overrides,safety_user_permission_overrides_created_by_fkey,created_by
safety_user_permission_overrides,safety_user_permission_overrides_permission_key_fkey,permission_key
sub_branches,sub_branches_department_id_fkey,department_id
system_audit_logs,system_audit_logs_performed_by_fkey,performed_by
template_bundle_items,template_bundle_items_template_id_fkey,template_id
template_change_logs,template_change_logs_template_id_fkey,template_id
training_needs,training_needs_category_id_fkey,category_id
training_needs,training_needs_identified_by_fkey,identified_by
training_needs,training_needs_kpi_id_fkey,kpi_id
workflow_config,workflow_config_workflow_template_id_fkey,workflow_template_id
workflow_config_migration_log,workflow_config_migration_log_created_period_config_id_fkey,created_period_config_id
workflow_config_migration_log,workflow_config_migration_log_performed_by_fkey,performed_by
