relname,total,bytes,n_live_tup,n_dead_tup,seq_scan,idx_scan
review_period_locks,152 kB,155648,95,4,105,1249542
annual_review_reviewer_resync_audit,152 kB,155648,178,0,22,0
kpi_mention_access,152 kB,155648,268,0,44153,40073808
annual_review_criteria_library,144 kB,147456,39,6,264,1320
increment_runs,144 kB,147456,37,4,127,124
system_settings,136 kB,139264,134,27,4259,589331
report_field_registry,136 kB,139264,298,4,533,308
safety_incident_evidence,136 kB,139264,103,57,195,25156
org_kpi_owner_key_backup_2026_06,136 kB,139264,233,0,59,
annual_review_assignment_rules,128 kB,131072,89,9,3741,4168
review_action_notes,128 kB,131072,1,8,2212,530
safety_assets,120 kB,122880,1,0,83,177
template_bundles,120 kB,122880,100,0,139,2200
departments,120 kB,122880,98,15,76843,84406552
annual_review_kra_rehydrate_items,112 kB,114688,135,0,8,2
safety_permits,104 kB,106496,1,1,2345,3898
menu_access_config,104 kB,106496,59,2,23995,123
business_units,104 kB,106496,42,5,858281,28962511
iac_audit_log,104 kB,106496,54,0,98,3
backup_logs,104 kB,106496,62,28,2251,7815
import_progress,104 kB,106496,0,32,99,0
safety_incident_sla_rules,104 kB,106496,15,31,194,12
increment_run_items,96 kB,98304,34,1,73,119
safety_emergency_drills,96 kB,98304,1,2,89,17
increment_eligibility_audit,96 kB,98304,21,0,74,31
kra_categories,96 kB,98304,76,0,48683,1269314
locations,96 kB,98304,0,0,39168,4474
menu_overrides,96 kB,98304,34,37,646,92
confirmation_increment_adjustments,88 kB,90112,34,0,70,37
access_profile_menu_rights,88 kB,90112,67,8,53681432,10
workflow_settings,88 kB,90112,33,1,48384,43648
increment_inputs,80 kB,81920,4,10,72,167
review_periods,80 kB,81920,17,24,497065,825
annual_review_bu_head_terminal_audit_2026_07,80 kB,81920,39,6,18,0
menu_override_audit,80 kB,81920,84,0,69,0
divisions,80 kB,81920,0,14,359488,2599
increment_slabs,80 kB,81920,10,1,72,66
safety_audit_runs,80 kB,81920,0,1,94,2250
audit_policies,80 kB,81920,15,0,71,15
increment_eligibility_configs,80 kB,81920,3,9,272,12
safety_incident_timeline,80 kB,81920,103,0,106,387
bundle_assignment_logs,80 kB,81920,4,6,290,145
increment_eligibility_exclusions,80 kB,81920,1,7,73,58
incentive_disqualification_rules,72 kB,73728,37,0,536,74
kpi_dust_emission_rescale_2026_06,72 kB,73728,11,1,22,0
safety_user_roles,72 kB,73728,1,7,113,207290491
safety_incident_routing_rules,72 kB,73728,19,0,80190811,116
workflow_final_score_rules,64 kB,65536,1,0,72,9069
iac_roles,64 kB,65536,0,0,83,2204270335
incentive_slabs,64 kB,65536,0,8,3074,107
employee_master_custom_fields,64 kB,65536,0,3,575,3
template_change_logs,64 kB,65536,7,11,1027,14
privacy_consent_settings,64 kB,65536,14,0,68,14
menu_registry,64 kB,65536,75,2,605,399
annual_review_reviewer_remap_audit_2026_07,64 kB,65536,33,0,19,0
increment_method_configs,64 kB,65536,14,12,171,66
import_field_settings,64 kB,65536,0,0,81,0
annual_review_self_draft_reassign_audit,64 kB,65536,84,0,18,0
safety_audit_templates,64 kB,65536,0,2,86,3
retention_policies,64 kB,65536,17,0,68,17
annual_review_empty_stage_repair_2026_07,64 kB,65536,30,0,10,0
client_module_entitlements,64 kB,65536,1,0,72,6890
annual_review_final_score_repair_2026_07,64 kB,65536,42,0,5,0
kpi_scanner_skips,64 kB,65536,6,0,137,24785
safety_incident_severities,64 kB,65536,17,12,76,300
client_action_entitlements,64 kB,65536,13,12,85,6925
annual_review_mgmt_scope_backfill_2026_07,64 kB,65536,57,0,8,0
annual_review_assignment_overrides,64 kB,65536,11,5,53,5027
incentive_production_rates,64 kB,65536,4,4,1048,4
employee_job_descriptions,64 kB,65536,1,0,147,578
kpi_registry_audit_log,64 kB,65536,1,0,108,3
access_profiles,64 kB,65536,1,0,107759558,8962
annual_review_stage_transfer_audit_2026_07,64 kB,65536,3,3,7,0
mv_safety_incident_monthly_trend,56 kB,57344,156,0,584,0
dev_report_entries_archive_seed,56 kB,57344,65,0,47,
report_access_user_overrides,48 kB,49152,15,26,892,369456910
incentive_vessel_rates,48 kB,49152,2,4,98,706
client_setup_checklist,48 kB,49152,9,0,65,10
annual_review_template_archetypes,48 kB,49152,4,0,79,2
auth_lookup_attempts,48 kB,49152,0,1,81,2415
action_registry,48 kB,49152,13,0,73,308
increment_eligibility_criteria,48 kB,49152,7,14,72,65
annual_score_configs,48 kB,49152,1,0,70,93
email_change_audit,48 kB,49152,12,0,81,17
safety_drill_findings,48 kB,49152,1,0,87,2
sub_branches,48 kB,49152,0,0,907,0
annual_score_config_audit,48 kB,49152,1,0,70,0
review_period_audit_log,48 kB,49152,6,0,123,0
review_period_auto_rules,48 kB,49152,2,4,112,4
incentive_slab_categories,48 kB,49152,6,12,117,12
annual_review_system_kpis,48 kB,49152,8,2,106,18
skill_competencies,48 kB,49152,2,1,98,580
modules,48 kB,49152,2,4,36810,730
pms_grades,48 kB,49152,6,16,3342,10884
vessel_monthly_entries,48 kB,49152,6,12,99,12
general_eligibility_configs,48 kB,49152,2,1,70,75
safety_permit_type_config,48 kB,49152,0,15,93,2
annual_review_settings,48 kB,49152,3,1,39,9890
frequency_config,48 kB,49152,7,16,265,20419
export_policies,48 kB,49152,5,0,67,5
clients,48 kB,49152,1,1,368,11931
data_classifications,48 kB,49152,5,0,69,5
iac_capabilities,48 kB,49152,0,0,80,5
report_registry,48 kB,49152,24,22,104,346
safety_incident_progress_logs,48 kB,49152,11,0,106,307
report_access_config,48 kB,49152,24,53,885,58
incentive_programs,48 kB,49152,0,12,21630,764
final_score_revisions,48 kB,49152,0,0,72,2137
employment_statuses,48 kB,49152,5,5,774,15
confirmation_increment_rules,48 kB,49152,1,0,91,67
menu_access_user_overrides,48 kB,49152,7,14,23982,69914019
safety_incident_types,48 kB,49152,5,5,319,231
safety_permit_loto_steps,48 kB,49152,1,0,269,5
annual_review_cycles,48 kB,49152,1,4,276,86805
employee_incentive_eligibility,48 kB,49152,3,5,98,289
workflow_templates,48 kB,49152,15,53,3280139,4154749
incentive_program_types,48 kB,49152,5,10,117,10
safety_emergency_contacts,48 kB,49152,3,0,88,8
safety_drill_runs,48 kB,49152,4,0,82,36
annual_review_self_review_library,48 kB,49152,14,3,1149,91
increment_method_slabs,48 kB,49152,11,0,70,43
annual_review_kra_rehydrate_runs,48 kB,49152,1,1,7,144
org_head_config,48 kB,49152,1,2,57,32000423
employee_categories,48 kB,49152,7,0,805,191
access_profile_assignments,40 kB,40960,6,9,149,107871885
employee_master_custom_field_values,40 kB,40960,0,0,68,169
performance_reviews,40 kB,40960,0,0,292,45
mv_safety_top_root_causes,40 kB,40960,7,0,572,0
audit_kpi_assignments,40 kB,40960,2,4,2815,15012
client_contacts,40 kB,40960,0,0,65,1
safety_permit_approvals,40 kB,40960,0,0,83,5
client_urls,40 kB,40960,0,0,66,2
mv_safety_recurrence,40 kB,40960,6,0,608,0
performance_improvement_plans,40 kB,40960,0,0,324,56
org_kpi_value_history,40 kB,40960,0,0,110,255
sensitive_fields,40 kB,40960,0,0,69,1
impl_console_rate_buckets,32 kB,32768,0,0,3,1
annual_review_role_capabilities,32 kB,32768,7,0,7,2390451
annual_review_bu_removal_repair_2026_07,32 kB,32768,7,0,3,0
annual_review_bu_draft_finalise_2026_07,32 kB,32768,2,2,5,0
safety_drill_participants,32 kB,32768,0,0,87,0
incentive_eligibility_fields,32 kB,32768,14,28,129,28
annual_review_orphan_repair_2026_07,32 kB,32768,36,0,6,0
safety_master_data,32 kB,32768,0,0,114,0
registry_suggestion_dismissals,32 kB,32768,1,0,80,3099
mv_safety_incidents_open_vs_closed,32 kB,32768,13,0,2264,0
pip_milestones,32 kB,32768,0,0,282,1
review_period_stages,32 kB,32768,7,14,125,14
mv_safety_permit_throughput,32 kB,32768,1,0,2257,0
annual_review_missing_system_slot_repair_2026_07,32 kB,32768,2,4,5,0
client_notification_templates,32 kB,32768,0,0,64,1
safety_permit_hira,32 kB,32768,1,0,274,0
capability_registry,32 kB,32768,7,0,62,14
general_eligibility_audit,32 kB,32768,2,0,68,0
levels,32 kB,32768,13,50,10277,1354
incentive_stale_zero_cleanup_audit,32 kB,32768,32,0,10,0
companies,32 kB,32768,1,4,1678,135469
mv_safety_dept_risk_trend,32 kB,32768,23,0,608,0
module_registry,32 kB,32768,1,0,70,29
annual_review_rescore_audit_2026_07,32 kB,32768,11,3,27,0
iac_role_capabilities,32 kB,32768,0,0,380,0
safety_audit_run_responses,32 kB,32768,0,0,74,1
workflow_config_migration_log,32 kB,32768,0,0,66,0
safety_settings,32 kB,32768,6,10,90,64904901
backup_denylist,32 kB,32768,7,6,174,16
mv_safety_severity_rate,32 kB,32768,13,0,2264,0
safety_permission_keys,32 kB,32768,57,9,1342,125
annual_review_downstream_rewind_repair_2026_07,32 kB,32768,5,0,3,0
incentive_allocation_rules,24 kB,24576,0,0,98,7
custom_reports,24 kB,24576,0,0,539,28
business_unit_sub_units,24 kB,24576,0,0,100,12
incentive_score_revisions,24 kB,24576,0,0,192,28
client_implementer_assignments,24 kB,24576,0,0,71,4690
incentive_custom_tab_data,24 kB,24576,0,0,97,28
safety_asset_calibrations,24 kB,24576,0,0,83,1
safety_sla_escalations,24 kB,24576,0,0,74,0
pip_audit_logs,24 kB,24576,0,0,279,0
safety_asset_evidence,24 kB,24576,0,0,83,0
annual_review_self_review_bundle_items,24 kB,24576,12,0,42,33
production_targets,24 kB,24576,0,0,105,28
report_field_overrides,24 kB,24576,0,0,67,0
safety_audit_template_items,24 kB,24576,0,0,83,1
incentive_program_custom_tabs,24 kB,24576,0,0,99,13
annual_review_system_kpi_weights,24 kB,24576,0,0,72,1
safety_severity_sla,24 kB,24576,0,0,85,60
ai_feature_registry,16 kB,16384,0,0,62,0
integration_connector_registry,16 kB,16384,0,0,62,0
client_smtp_config,16 kB,16384,0,0,62,1
report_registry_v2,16 kB,16384,0,0,62,0
notification_event_registry,16 kB,16384,0,0,62,0
dashboard_registry,16 kB,16384,0,0,62,0
safety_module_access,16 kB,16384,0,0,87,7589
annual_review_directory_overrides,16 kB,16384,0,0,26,4175057
safety_user_permission_overrides,16 kB,16384,0,0,55,30001
employee_working_days,16 kB,16384,0,0,262,9902
safety_permit_evidence,16 kB,16384,0,0,84,0
report_field_override_audit,16 kB,16384,0,0,64,0
mv_safety_audit_scoreboard,16 kB,16384,0,0,2250,0
increment_slabs_audit,16 kB,16384,0,0,69,0
org_kpi_owner_key_backup_2026_05,8192 bytes,8192,0,0,242,
