table_name,ordinal_position,column_name,data_type,udt_name,is_nullable,column_default,max_len
annual_review_assignment_overrides,6,created_by,uuid,uuid,YES,"",""
annual_review_assignment_overrides,7,created_at,timestamp with time zone,timestamptz,NO,now(),""
annual_review_assignment_rules,1,id,uuid,uuid,NO,gen_random_uuid(),""
annual_review_assignment_rules,2,template_id,uuid,uuid,NO,"",""
annual_review_assignment_rules,3,cycle_id,uuid,uuid,NO,"",""
annual_review_assignment_rules,4,name,text,text,YES,"",""
annual_review_assignment_rules,5,priority,integer,int4,NO,10,""
annual_review_assignment_rules,6,filters,jsonb,jsonb,NO,"'{""roles"": [], ""bu_ids"": [], ""grades"": [], ""levels"": [], ""department_ids"": []}'::jsonb",""
annual_review_assignment_rules,7,is_active,boolean,bool,NO,true,""
annual_review_assignment_rules,8,created_by,uuid,uuid,YES,"",""
annual_review_assignment_rules,9,created_at,timestamp with time zone,timestamptz,NO,now(),""
annual_review_assignment_rules,10,updated_at,timestamp with time zone,timestamptz,NO,now(),""
annual_review_assignment_rules,11,archetype_code,text,text,YES,"",""
annual_review_assignment_rules,12,grade_bucket,text,text,YES,"",""
annual_review_assignment_rules,13,requires_kra_in_ay,boolean,bool,NO,false,""
annual_review_assignment_rules,14,min_kra_months_in_ay,integer,int4,NO,1,""
annual_review_bu_draft_finalise_2026_07,1,id,uuid,uuid,NO,gen_random_uuid(),""
annual_review_bu_draft_finalise_2026_07,2,instance_id,uuid,uuid,NO,"",""
annual_review_bu_draft_finalise_2026_07,3,employee_code,text,text,YES,"",""
annual_review_bu_draft_finalise_2026_07,4,employee_name,text,text,YES,"",""
annual_review_bu_draft_finalise_2026_07,5,response_id,uuid,uuid,YES,"",""
annual_review_bu_draft_finalise_2026_07,6,reviewer_role,text,text,YES,"",""
annual_review_bu_draft_finalise_2026_07,7,prior_status,text,text,YES,"",""
annual_review_bu_draft_finalise_2026_07,8,prior_is_locked,boolean,bool,YES,"",""
annual_review_bu_draft_finalise_2026_07,9,prior_submitted_at,timestamp with time zone,timestamptz,YES,"",""
annual_review_bu_draft_finalise_2026_07,10,prior_total_score,numeric,numeric,YES,"",""
annual_review_bu_draft_finalise_2026_07,11,prior_criteria_weighted_score,numeric,numeric,YES,"",""
annual_review_bu_draft_finalise_2026_07,12,prior_final_rating,text,text,YES,"",""
annual_review_bu_draft_finalise_2026_07,13,prior_finalized_at,timestamp with time zone,timestamptz,YES,"",""
annual_review_bu_draft_finalise_2026_07,14,criteria_scores,jsonb,jsonb,YES,"",""
annual_review_bu_draft_finalise_2026_07,15,response_weighted_score,numeric,numeric,YES,"",""
annual_review_bu_draft_finalise_2026_07,16,new_status,text,text,YES,"",""
annual_review_bu_draft_finalise_2026_07,17,new_total_score,numeric,numeric,YES,"",""
annual_review_bu_draft_finalise_2026_07,18,new_criteria_weighted_score,numeric,numeric,YES,"",""
annual_review_bu_draft_finalise_2026_07,19,new_final_rating,text,text,YES,"",""
annual_review_bu_draft_finalise_2026_07,20,reason,text,text,NO,"",""
annual_review_bu_draft_finalise_2026_07,21,performed_by,uuid,uuid,YES,"",""
annual_review_bu_draft_finalise_2026_07,22,applied_at,timestamp with time zone,timestamptz,NO,now(),""
annual_review_bu_head_terminal_audit_2026_07,1,id,uuid,uuid,NO,gen_random_uuid(),""
annual_review_bu_head_terminal_audit_2026_07,2,instance_id,uuid,uuid,NO,"",""
annual_review_bu_head_terminal_audit_2026_07,3,cycle_id,uuid,uuid,YES,"",""
annual_review_bu_head_terminal_audit_2026_07,4,employee_id,uuid,uuid,YES,"",""
annual_review_bu_head_terminal_audit_2026_07,5,old_enabled_stages,jsonb,jsonb,YES,"",""
annual_review_bu_head_terminal_audit_2026_07,6,new_enabled_stages,jsonb,jsonb,YES,"",""
annual_review_bu_head_terminal_audit_2026_07,7,old_dept_head_id,uuid,uuid,YES,"",""
annual_review_bu_head_terminal_audit_2026_07,8,old_overall_status,text,text,YES,"",""
annual_review_bu_head_terminal_audit_2026_07,9,new_overall_status,text,text,YES,"",""
annual_review_bu_head_terminal_audit_2026_07,10,reason,text,text,NO,"",""
annual_review_bu_head_terminal_audit_2026_07,11,source,text,text,YES,"",""
annual_review_bu_head_terminal_audit_2026_07,12,performed_by,uuid,uuid,YES,"",""
annual_review_bu_head_terminal_audit_2026_07,13,created_at,timestamp with time zone,timestamptz,NO,now(),""
annual_review_bu_removal_repair_2026_07,1,id,bigint,int8,NO,nextval('annual_review_bu_removal_repair_2026_07_id_seq'::regclass),""
annual_review_bu_removal_repair_2026_07,2,instance_id,uuid,uuid,NO,"",""
annual_review_bu_removal_repair_2026_07,3,employee_id,uuid,uuid,NO,"",""
annual_review_bu_removal_repair_2026_07,4,before_status,text,text,YES,"",""
annual_review_bu_removal_repair_2026_07,5,before_stages,jsonb,jsonb,YES,"",""
annual_review_bu_removal_repair_2026_07,6,before_total_score,numeric,numeric,YES,"",""
annual_review_bu_removal_repair_2026_07,7,before_final_rating,text,text,YES,"",""
annual_review_bu_removal_repair_2026_07,8,after_status,text,text,YES,"",""
annual_review_bu_removal_repair_2026_07,9,after_total_score,numeric,numeric,YES,"",""
annual_review_bu_removal_repair_2026_07,10,after_criteria_weighted_score,numeric,numeric,YES,"",""
annual_review_bu_removal_repair_2026_07,11,after_final_rating,text,text,YES,"",""
annual_review_bu_removal_repair_2026_07,12,reason,text,text,NO,"",""
annual_review_bu_removal_repair_2026_07,13,performed_by,uuid,uuid,YES,"",""
annual_review_bu_removal_repair_2026_07,14,created_at,timestamp with time zone,timestamptz,NO,now(),""
annual_review_criteria_assignments,1,id,uuid,uuid,NO,gen_random_uuid(),""
annual_review_criteria_assignments,2,criterion_id,uuid,uuid,NO,"",""
annual_review_criteria_assignments,3,archetype_code,text,text,YES,"",""
annual_review_criteria_assignments,4,grade_bucket,text,text,YES,"",""
annual_review_criteria_assignments,5,department_id,uuid,uuid,YES,"",""
annual_review_criteria_assignments,6,sub_unit_id,uuid,uuid,YES,"",""
annual_review_criteria_assignments,7,weight_pct,numeric,numeric,NO,0,""
annual_review_criteria_assignments,8,is_enabled,boolean,bool,NO,true,""
annual_review_criteria_assignments,9,created_at,timestamp with time zone,timestamptz,NO,now(),""
annual_review_criteria_assignments,10,updated_at,timestamp with time zone,timestamptz,NO,now(),""
annual_review_criteria_assignments,11,grade_code,text,text,YES,"",""
annual_review_criteria_library,1,id,uuid,uuid,NO,gen_random_uuid(),""
annual_review_criteria_library,2,key,text,text,NO,"",""
annual_review_criteria_library,3,label_en,text,text,NO,"",""
annual_review_criteria_library,4,label_hi,text,text,YES,"",""
annual_review_criteria_library,5,max_score,numeric,numeric,NO,5,""
annual_review_criteria_library,6,scoring_bands,jsonb,jsonb,NO,'[]'::jsonb,""
annual_review_criteria_library,7,is_common,boolean,bool,NO,false,""
annual_review_criteria_library,8,is_active,boolean,bool,NO,true,""
annual_review_criteria_library,9,sort_order,integer,int4,NO,0,""
annual_review_criteria_library,10,created_at,timestamp with time zone,timestamptz,NO,now(),""
annual_review_criteria_library,11,updated_at,timestamp with time zone,timestamptz,NO,now(),""
annual_review_cycles,1,id,uuid,uuid,NO,gen_random_uuid(),""
annual_review_cycles,2,name,text,text,NO,"",""
annual_review_cycles,3,review_year,integer,int4,NO,"",""
annual_review_cycles,4,description,text,text,YES,"",""
annual_review_cycles,5,status,text,text,NO,'draft'::text,""
annual_review_cycles,6,self_review_start,date,date,YES,"",""
annual_review_cycles,7,self_review_end,date,date,YES,"",""
annual_review_cycles,8,manager_review_start,date,date,YES,"",""
annual_review_cycles,9,manager_review_end,date,date,YES,"",""
annual_review_cycles,10,skip_review_start,date,date,YES,"",""
annual_review_cycles,11,skip_review_end,date,date,YES,"",""
annual_review_cycles,12,bu_review_start,date,date,YES,"",""
annual_review_cycles,13,bu_review_end,date,date,YES,"",""
annual_review_cycles,14,hr_finalization_deadline,date,date,YES,"",""
annual_review_cycles,15,created_by,uuid,uuid,YES,"",""
annual_review_cycles,16,created_at,timestamp with time zone,timestamptz,NO,now(),""
annual_review_cycles,17,updated_at,timestamp with time zone,timestamptz,NO,now(),""
annual_review_cycles,18,reopened_at,timestamp with time zone,timestamptz,YES,"",""
annual_review_cycles,19,reopened_by,uuid,uuid,YES,"",""
annual_review_cycles,20,reopened_reason,text,text,YES,"",""
annual_review_cycles,21,default_enabled_stages,jsonb,jsonb,NO,"'[""self"", ""manager"", ""skip_manager"", ""dept_head"", ""bu_head"", ""hr""]'::jsonb",""
annual_review_cycles,22,dept_review_start,timestamp with time zone,timestamptz,YES,"",""
annual_review_cycles,23,dept_review_end,timestamp with time zone,timestamptz,YES,"",""
annual_review_directory_overrides,1,user_id,uuid,uuid,NO,"",""
annual_review_directory_overrides,2,override_type,text,text,NO,"",""
annual_review_directory_overrides,3,business_unit_ids,ARRAY,_uuid,NO,ARRAY[]::uuid[],""
annual_review_directory_overrides,4,can_assist,boolean,bool,NO,true,""
annual_review_directory_overrides,5,reason,text,text,NO,"",""
annual_review_directory_overrides,6,created_by,uuid,uuid,YES,"",""
annual_review_directory_overrides,7,created_at,timestamp with time zone,timestamptz,NO,now(),""
annual_review_directory_overrides,8,updated_at,timestamp with time zone,timestamptz,NO,now(),""
annual_review_downstream_rewind_repair_2026_07,1,id,uuid,uuid,NO,gen_random_uuid(),""
annual_review_downstream_rewind_repair_2026_07,2,instance_id,uuid,uuid,NO,"",""
annual_review_downstream_rewind_repair_2026_07,3,employee_code,text,text,YES,"",""
annual_review_downstream_rewind_repair_2026_07,4,prev_overall_status,text,text,YES,"",""
annual_review_downstream_rewind_repair_2026_07,5,new_overall_status,text,text,YES,"",""
annual_review_downstream_rewind_repair_2026_07,6,prev_total_score,numeric,numeric,YES,"",""
annual_review_downstream_rewind_repair_2026_07,7,prev_criteria_weighted_score,numeric,numeric,YES,"",""
annual_review_downstream_rewind_repair_2026_07,8,prev_final_rating,text,text,YES,"",""
annual_review_downstream_rewind_repair_2026_07,9,new_total_score,numeric,numeric,YES,"",""
annual_review_downstream_rewind_repair_2026_07,10,new_criteria_weighted_score,numeric,numeric,YES,"",""
annual_review_downstream_rewind_repair_2026_07,11,new_final_rating,text,text,YES,"",""
annual_review_downstream_rewind_repair_2026_07,12,relocked_roles,ARRAY,_text,YES,"",""
annual_review_downstream_rewind_repair_2026_07,13,reason,text,text,YES,"",""
annual_review_downstream_rewind_repair_2026_07,14,repaired_by,uuid,uuid,YES,"",""
annual_review_downstream_rewind_repair_2026_07,15,repaired_at,timestamp with time zone,timestamptz,NO,now(),""
annual_review_empty_stage_repair_2026_07,1,id,uuid,uuid,NO,gen_random_uuid(),""
annual_review_empty_stage_repair_2026_07,2,instance_id,uuid,uuid,NO,"",""
annual_review_empty_stage_repair_2026_07,3,response_id,uuid,uuid,NO,"",""
annual_review_empty_stage_repair_2026_07,4,employee_code,text,text,YES,"",""
annual_review_empty_stage_repair_2026_07,5,reviewer_role,USER-DEFINED,annual_reviewer_role,NO,"",""
annual_review_empty_stage_repair_2026_07,6,reviewer_id,uuid,uuid,YES,"",""
annual_review_empty_stage_repair_2026_07,7,prev_overall_status,USER-DEFINED,annual_review_status,YES,"",""
annual_review_empty_stage_repair_2026_07,8,new_overall_status,USER-DEFINED,annual_review_status,YES,"",""
annual_review_empty_stage_repair_2026_07,9,prev_total_score,numeric,numeric,YES,"",""
annual_review_empty_stage_repair_2026_07,10,prev_final_rating,text,text,YES,"",""
annual_review_empty_stage_repair_2026_07,11,prev_criteria_weighted_score,numeric,numeric,YES,"",""
annual_review_empty_stage_repair_2026_07,12,prev_submitted_at,timestamp with time zone,timestamptz,YES,"",""
annual_review_empty_stage_repair_2026_07,13,preserved_qualitative,jsonb,jsonb,NO,'{}'::jsonb,""
annual_review_empty_stage_repair_2026_07,14,repaired_at,timestamp with time zone,timestamptz,NO,now(),""
annual_review_final_backfill_audit_2026_07,1,id,uuid,uuid,NO,gen_random_uuid(),""
annual_review_final_backfill_audit_2026_07,2,instance_id,uuid,uuid,NO,"",""
annual_review_final_backfill_audit_2026_07,3,old_criteria_weighted_score,numeric,numeric,YES,"",""
annual_review_final_backfill_audit_2026_07,4,old_total_score,numeric,numeric,YES,"",""
annual_review_final_backfill_audit_2026_07,5,old_final_rating,text,text,YES,"",""
annual_review_final_backfill_audit_2026_07,6,new_criteria_weighted_score,numeric,numeric,YES,"",""
annual_review_final_backfill_audit_2026_07,7,new_total_score,numeric,numeric,YES,"",""
annual_review_final_backfill_audit_2026_07,8,new_final_rating,text,text,YES,"",""
annual_review_final_backfill_audit_2026_07,9,source,text,text,NO,'adr124_backfill'::text,""
annual_review_final_backfill_audit_2026_07,10,created_at,timestamp with time zone,timestamptz,NO,now(),""
annual_review_final_score_repair_2026_07,1,id,uuid,uuid,NO,gen_random_uuid(),""
annual_review_final_score_repair_2026_07,2,instance_id,uuid,uuid,NO,"",""
annual_review_final_score_repair_2026_07,3,employee_id,uuid,uuid,YES,"",""
annual_review_final_score_repair_2026_07,4,employee_code,text,text,YES,"",""
annual_review_final_score_repair_2026_07,5,employee_name,text,text,YES,"",""
annual_review_final_score_repair_2026_07,6,template_id,uuid,uuid,YES,"",""
annual_review_final_score_repair_2026_07,7,old_criteria_weighted_score,numeric,numeric,YES,"",""
annual_review_final_score_repair_2026_07,8,new_criteria_weighted_score,numeric,numeric,YES,"",""
annual_review_final_score_repair_2026_07,9,old_total_score,numeric,numeric,YES,"",""
annual_review_final_score_repair_2026_07,10,new_total_score,numeric,numeric,YES,"",""
annual_review_final_score_repair_2026_07,11,old_final_rating,text,text,YES,"",""
annual_review_final_score_repair_2026_07,12,new_final_rating,text,text,YES,"",""
annual_review_final_score_repair_2026_07,13,reason,text,text,NO,"",""
annual_review_final_score_repair_2026_07,14,performed_by,uuid,uuid,YES,"",""
annual_review_final_score_repair_2026_07,15,created_at,timestamp with time zone,timestamptz,NO,now(),""
annual_review_head_remap_audit_2026_07,1,id,uuid,uuid,NO,gen_random_uuid(),""
annual_review_head_remap_audit_2026_07,2,instance_id,uuid,uuid,NO,"",""
annual_review_head_remap_audit_2026_07,3,employee_code,text,text,YES,"",""
annual_review_head_remap_audit_2026_07,4,employee_name,text,text,YES,"",""
annual_review_head_remap_audit_2026_07,5,old_dept_head_id,uuid,uuid,YES,"",""
annual_review_head_remap_audit_2026_07,6,new_dept_head_id,uuid,uuid,YES,"",""
annual_review_head_remap_audit_2026_07,7,old_bu_head_id,uuid,uuid,YES,"",""
annual_review_head_remap_audit_2026_07,8,new_bu_head_id,uuid,uuid,YES,"",""
annual_review_head_remap_audit_2026_07,9,old_overall_status,text,text,YES,"",""
annual_review_head_remap_audit_2026_07,10,new_overall_status,text,text,YES,"",""
annual_review_head_remap_audit_2026_07,11,old_enabled_stages,jsonb,jsonb,YES,"",""
annual_review_head_remap_audit_2026_07,12,new_enabled_stages,jsonb,jsonb,YES,"",""
annual_review_head_remap_audit_2026_07,13,classification,text,text,NO,"",""
annual_review_head_remap_audit_2026_07,14,reason,text,text,YES,"",""
annual_review_head_remap_audit_2026_07,15,corrected_by,uuid,uuid,YES,"",""
annual_review_head_remap_audit_2026_07,16,corrected_at,timestamp with time zone,timestamptz,NO,now(),""
annual_review_instances,1,id,uuid,uuid,NO,gen_random_uuid(),""
annual_review_instances,2,employee_id,uuid,uuid,NO,"",""
annual_review_instances,3,template_id,uuid,uuid,NO,"",""
annual_review_instances,4,cycle_id,uuid,uuid,NO,"",""
annual_review_instances,5,assigned_rule_id,uuid,uuid,YES,"",""
annual_review_instances,6,overall_status,USER-DEFINED,annual_review_status,NO,'pending_self'::annual_review_status,""
annual_review_instances,7,manager_id,uuid,uuid,YES,"",""
annual_review_instances,8,skip_id,uuid,uuid,YES,"",""
annual_review_instances,9,bu_head_id,uuid,uuid,YES,"",""
annual_review_instances,10,hr_id,uuid,uuid,YES,"",""
annual_review_instances,11,system_scores,jsonb,jsonb,NO,'{}'::jsonb,""
annual_review_instances,12,eligibility_inputs,jsonb,jsonb,NO,'{}'::jsonb,""
annual_review_instances,13,criteria_weighted_score,numeric,numeric,YES,"",""
annual_review_instances,14,total_score,numeric,numeric,YES,"",""
annual_review_instances,15,final_rating,text,text,YES,"",""
annual_review_instances,16,hr_remarks,text,text,YES,"",""
annual_review_instances,17,language_pref,text,text,NO,'en'::text,""
annual_review_instances,18,finalized_at,timestamp with time zone,timestamptz,YES,"",""
annual_review_instances,19,finalized_by,uuid,uuid,YES,"",""
annual_review_instances,20,created_at,timestamp with time zone,timestamptz,NO,now(),""
annual_review_instances,21,updated_at,timestamp with time zone,timestamptz,NO,now(),""
annual_review_instances,22,acknowledged_at,timestamp with time zone,timestamptz,YES,"",""
annual_review_instances,23,acknowledged_by,uuid,uuid,YES,"",""
annual_review_instances,24,employee_rebuttal,text,text,YES,"",""
annual_review_instances,25,template_override_id,uuid,uuid,YES,"",""
annual_review_instances,26,enabled_stages,jsonb,jsonb,NO,"'[""self"", ""manager"", ""skip_manager"", ""dept_head"", ""bu_head"", ""hr""]'::jsonb",""
annual_review_instances,27,carry_score_snapshots,jsonb,jsonb,NO,'{}'::jsonb,""
annual_review_instances,28,stage_weights_override,jsonb,jsonb,YES,"",""
annual_review_instances,29,submitted_via_proxy,boolean,bool,NO,false,""
annual_review_instances,30,proxy_submission_id,uuid,uuid,YES,"",""
annual_review_instances,31,dept_head_id,uuid,uuid,YES,"",""
annual_review_instances,32,eligibility_remark,text,text,YES,"",""
annual_review_instances,33,system_scores_raw,jsonb,jsonb,NO,'{}'::jsonb,""
annual_review_instances,34,excluded_at,timestamp with time zone,timestamptz,YES,"",""
annual_review_instances,35,excluded_by,uuid,uuid,YES,"",""
annual_review_instances,36,excluded_reason,text,text,YES,"",""
annual_review_instances,37,management_id,uuid,uuid,YES,"",""
annual_review_instances,38,has_admin_workflow_override,boolean,bool,NO,false,""
annual_review_kra_rehydrate_items,1,id,uuid,uuid,NO,gen_random_uuid(),""
annual_review_kra_rehydrate_items,2,run_id,uuid,uuid,NO,"",""
annual_review_kra_rehydrate_items,3,instance_id,uuid,uuid,NO,"",""
annual_review_kra_rehydrate_items,4,employee_id,uuid,uuid,NO,"",""
annual_review_kra_rehydrate_items,5,template_id,uuid,uuid,YES,"",""
annual_review_kra_rehydrate_items,6,old_system_scores,jsonb,jsonb,NO,'{}'::jsonb,""
annual_review_kra_rehydrate_items,7,old_system_scores_raw,jsonb,jsonb,NO,'{}'::jsonb,""
annual_review_kra_rehydrate_items,8,old_total_score,numeric,numeric,YES,"",""
annual_review_kra_rehydrate_items,9,old_final_rating,text,text,YES,"",""
annual_review_kra_rehydrate_items,10,new_system_scores,jsonb,jsonb,NO,'{}'::jsonb,""
annual_review_kra_rehydrate_items,11,new_total_score,numeric,numeric,YES,"",""
annual_review_kra_rehydrate_items,12,new_final_rating,text,text,YES,"",""
annual_review_kra_rehydrate_items,13,delta_total,numeric,numeric,YES,"",""
annual_review_kra_rehydrate_items,14,band_changed,boolean,bool,NO,false,""
annual_review_kra_rehydrate_items,15,applied,boolean,bool,NO,false,""
annual_review_kra_rehydrate_items,16,note,text,text,YES,"",""
annual_review_kra_rehydrate_items,17,created_at,timestamp with time zone,timestamptz,NO,now(),""
annual_review_kra_rehydrate_runs,1,id,uuid,uuid,NO,gen_random_uuid(),""
annual_review_kra_rehydrate_runs,2,cycle_id,uuid,uuid,NO,"",""
annual_review_kra_rehydrate_runs,3,initiated_by,uuid,uuid,NO,"",""
annual_review_kra_rehydrate_runs,4,mode,text,text,NO,"",""
annual_review_kra_rehydrate_runs,5,reason,text,text,NO,"",""
annual_review_kra_rehydrate_runs,6,rollback_of_run_id,uuid,uuid,YES,"",""
annual_review_kra_rehydrate_runs,7,instance_ids,ARRAY,_uuid,YES,"",""
annual_review_kra_rehydrate_runs,8,instance_count,integer,int4,NO,0,""
annual_review_kra_rehydrate_runs,9,changed_count,integer,int4,NO,0,""
annual_review_kra_rehydrate_runs,10,status,text,text,NO,'running'::text,""
annual_review_kra_rehydrate_runs,11,error_message,text,text,YES,"",""
annual_review_kra_rehydrate_runs,12,created_at,timestamp with time zone,timestamptz,NO,now(),""
annual_review_kra_rehydrate_runs,13,completed_at,timestamp with time zone,timestamptz,YES,"",""
annual_review_mgmt_scope_backfill_2026_07,1,id,uuid,uuid,NO,gen_random_uuid(),""
annual_review_mgmt_scope_backfill_2026_07,2,instance_id,uuid,uuid,NO,"",""
annual_review_mgmt_scope_backfill_2026_07,3,employee_id,uuid,uuid,NO,"",""
annual_review_mgmt_scope_backfill_2026_07,4,prev_enabled_stages,jsonb,jsonb,NO,"",""
annual_review_mgmt_scope_backfill_2026_07,5,prev_management_id,uuid,uuid,YES,"",""
annual_review_mgmt_scope_backfill_2026_07,6,prev_overall_status,text,text,NO,"",""
annual_review_mgmt_scope_backfill_2026_07,7,created_at,timestamp with time zone,timestamptz,NO,now(),""
annual_review_missing_system_slot_repair_2026_07,1,id,uuid,uuid,NO,gen_random_uuid(),""
annual_review_missing_system_slot_repair_2026_07,2,instance_id,uuid,uuid,NO,"",""
annual_review_missing_system_slot_repair_2026_07,3,employee_code,text,text,YES,"",""
annual_review_missing_system_slot_repair_2026_07,4,employee_name,text,text,YES,"",""
annual_review_missing_system_slot_repair_2026_07,5,slot_key,text,text,NO,"",""
annual_review_missing_system_slot_repair_2026_07,6,slot_name,text,text,YES,"",""
annual_review_missing_system_slot_repair_2026_07,7,applied_points,numeric,numeric,YES,"",""
annual_review_missing_system_slot_repair_2026_07,8,applied_raw,numeric,numeric,YES,"",""
annual_review_missing_system_slot_repair_2026_07,9,prior_system_scores,jsonb,jsonb,YES,"",""
annual_review_missing_system_slot_repair_2026_07,10,prior_system_scores_raw,jsonb,jsonb,YES,"",""
annual_review_missing_system_slot_repair_2026_07,11,prior_total_score,numeric,numeric,YES,"",""
annual_review_missing_system_slot_repair_2026_07,12,prior_final_rating,text,text,YES,"",""
annual_review_missing_system_slot_repair_2026_07,13,prior_criteria_weighted_score,numeric,numeric,YES,"",""
annual_review_missing_system_slot_repair_2026_07,14,new_total_score,numeric,numeric,YES,"",""
annual_review_missing_system_slot_repair_2026_07,15,new_final_rating,text,text,YES,"",""
annual_review_missing_system_slot_repair_2026_07,16,reason,text,text,YES,"",""
annual_review_missing_system_slot_repair_2026_07,17,performed_by,uuid,uuid,YES,"",""
annual_review_missing_system_slot_repair_2026_07,18,applied_at,timestamp with time zone,timestamptz,NO,now(),""
annual_review_orphan_repair_2026_07,1,id,bigint,int8,NO,nextval('annual_review_orphan_repair_2026_07_id_seq'::regclass),""
annual_review_orphan_repair_2026_07,2,instance_id,uuid,uuid,NO,"",""
annual_review_orphan_repair_2026_07,3,employee_id,uuid,uuid,YES,"",""
annual_review_orphan_repair_2026_07,4,stage,text,text,NO,"",""
annual_review_orphan_repair_2026_07,5,orphan_reason,text,text,NO,"",""
annual_review_orphan_repair_2026_07,6,old_reviewer_id,uuid,uuid,YES,"",""
annual_review_orphan_repair_2026_07,7,new_reviewer_id,uuid,uuid,YES,"",""
annual_review_orphan_repair_2026_07,8,old_status,text,text,YES,"",""
annual_review_orphan_repair_2026_07,9,new_status,text,text,YES,"",""
annual_review_orphan_repair_2026_07,10,reason,text,text,YES,"",""
annual_review_orphan_repair_2026_07,11,performed_by,uuid,uuid,YES,"",""
annual_review_orphan_repair_2026_07,12,created_at,timestamp with time zone,timestamptz,NO,now(),""
annual_review_proxy_submissions,1,id,uuid,uuid,NO,gen_random_uuid(),""
annual_review_proxy_submissions,2,instance_id,uuid,uuid,NO,"",""
annual_review_proxy_submissions,3,employee_user_id,uuid,uuid,NO,"",""
annual_review_proxy_submissions,4,proxy_user_id,uuid,uuid,NO,"",""
annual_review_proxy_submissions,5,proxy_role,text,text,NO,"",""
annual_review_proxy_submissions,6,selfie_path,text,text,YES,"",""
