constraint_name,source_table,source_columns,target_table,target_columns,on_delete,on_update
annual_review_self_review_bundle_items_field_id_fkey,annual_review_self_review_bundle_items,field_id,annual_review_self_review_library,id,CASCADE,NO ACTION
annual_review_self_review_library_created_by_fkey,annual_review_self_review_library,created_by,users,id,SET NULL,NO ACTION
annual_review_settings_updated_by_fkey,annual_review_settings,updated_by,users,id,NO ACTION,NO ACTION
annual_review_system_kpi_weights_department_id_fkey,annual_review_system_kpi_weights,department_id,departments,id,CASCADE,NO ACTION
annual_review_system_kpi_weights_sub_unit_id_fkey,annual_review_system_kpi_weights,sub_unit_id,business_unit_sub_units,id,CASCADE,NO ACTION
annual_review_system_kpi_weights_system_kpi_id_fkey,annual_review_system_kpi_weights,system_kpi_id,annual_review_system_kpis,id,CASCADE,NO ACTION
annual_review_templates_created_by_fkey,annual_review_templates,created_by,users,id,NO ACTION,NO ACTION
annual_review_templates_parent_template_id_fkey,annual_review_templates,parent_template_id,annual_review_templates,id,SET NULL,NO ACTION
annual_score_config_audit_config_id_fkey,annual_score_config_audit,config_id,annual_score_configs,id,CASCADE,NO ACTION
annual_score_configs_copied_from_config_id_fkey,annual_score_configs,copied_from_config_id,annual_score_configs,id,SET NULL,NO ACTION
audit_kpi_assignments_assigned_by_fkey,audit_kpi_assignments,assigned_by,profiles,id,NO ACTION,NO ACTION
audit_kpi_assignments_auditor_id_fkey,audit_kpi_assignments,auditor_id,profiles,id,CASCADE,NO ACTION
audit_kpi_assignments_employee_id_fkey,audit_kpi_assignments,employee_id,profiles,id,CASCADE,NO ACTION
audit_kpi_level_assignments_assigned_by_fkey,audit_kpi_level_assignments,assigned_by,profiles,id,NO ACTION,NO ACTION
audit_kpi_level_assignments_auditor_id_fkey,audit_kpi_level_assignments,auditor_id,profiles,id,CASCADE,NO ACTION
audit_kpi_level_assignments_kpi_id_fkey,audit_kpi_level_assignments,kpi_id,kpis,id,CASCADE,NO ACTION
bundle_assignment_logs_assigned_by_fkey,bundle_assignment_logs,assigned_by,profiles,id,SET NULL,NO ACTION
bundle_assignment_logs_bundle_id_fkey,bundle_assignment_logs,bundle_id,template_bundles,id,CASCADE,NO ACTION
bundle_assignment_logs_employee_id_fkey,bundle_assignment_logs,employee_id,profiles,id,CASCADE,NO ACTION
business_unit_sub_units_business_unit_id_fkey,business_unit_sub_units,business_unit_id,business_units,id,CASCADE,NO ACTION
business_units_division_id_fkey,business_units,division_id,divisions,id,CASCADE,NO ACTION
business_units_head_updated_by_fkey,business_units,head_updated_by,profiles,id,SET NULL,NO ACTION
business_units_head_user_id_fkey,business_units,head_user_id,profiles,id,SET NULL,NO ACTION
capability_registry_module_key_fkey,capability_registry,module_key,module_registry,module_key,NO ACTION,NO ACTION
client_action_entitlements_action_key_fkey,client_action_entitlements,action_key,action_registry,action_key,NO ACTION,NO ACTION
client_action_entitlements_client_id_fkey,client_action_entitlements,client_id,clients,id,CASCADE,NO ACTION
client_contacts_client_id_fkey,client_contacts,client_id,clients,id,CASCADE,NO ACTION
client_implementer_assignments_client_id_fkey,client_implementer_assignments,client_id,clients,id,CASCADE,NO ACTION
client_module_entitlements_client_id_fkey,client_module_entitlements,client_id,clients,id,CASCADE,NO ACTION
client_module_entitlements_module_key_fkey,client_module_entitlements,module_key,module_registry,module_key,NO ACTION,NO ACTION
client_notification_templates_client_id_fkey,client_notification_templates,client_id,clients,id,CASCADE,NO ACTION
client_setup_checklist_client_id_fkey,client_setup_checklist,client_id,clients,id,CASCADE,NO ACTION
client_smtp_config_client_id_fkey,client_smtp_config,client_id,clients,id,CASCADE,NO ACTION
client_urls_client_id_fkey,client_urls,client_id,clients,id,CASCADE,NO ACTION
custom_reports_created_by_fkey,custom_reports,created_by,profiles,id,NO ACTION,NO ACTION
dashboard_registry_module_key_fkey,dashboard_registry,module_key,module_registry,module_key,NO ACTION,NO ACTION
departments_business_unit_id_fkey,departments,business_unit_id,business_units,id,CASCADE,NO ACTION
departments_head_updated_by_fkey,departments,head_updated_by,profiles,id,SET NULL,NO ACTION
departments_head_user_id_fkey,departments,head_user_id,profiles,id,SET NULL,NO ACTION
designations_company_id_fkey,designations,company_id,companies,id,NO ACTION,NO ACTION
dev_report_entries_created_by_fkey,dev_report_entries,created_by,users,id,SET NULL,NO ACTION
divisions_company_id_fkey,divisions,company_id,companies,id,NO ACTION,NO ACTION
employee_categories_company_id_fkey,employee_categories,company_id,companies,id,CASCADE,NO ACTION
employee_incentive_eligibility_employee_id_fkey,employee_incentive_eligibility,employee_id,profiles,id,CASCADE,NO ACTION
employee_incentive_records_employee_id_fkey,employee_incentive_records,employee_id,profiles,id,CASCADE,NO ACTION
employee_incentive_records_matched_slab_id_fkey,employee_incentive_records,matched_slab_id,incentive_slabs,id,NO ACTION,NO ACTION
employee_incentive_records_program_id_fkey,employee_incentive_records,program_id,incentive_programs,id,NO ACTION,NO ACTION
employee_master_custom_field_values_employee_id_fkey,employee_master_custom_field_values,employee_id,profiles,id,CASCADE,NO ACTION
employee_working_days_employee_id_fkey,employee_working_days,employee_id,profiles,id,CASCADE,NO ACTION
employment_status_history_employee_id_fkey,employment_status_history,employee_id,profiles,id,CASCADE,NO ACTION
export_policies_classification_key_fkey,export_policies,classification_key,data_classifications,classification_key,NO ACTION,NO ACTION
final_score_revisions_batch_id_fkey,final_score_revisions,batch_id,bulk_review_batches,id,SET NULL,NO ACTION
final_score_revisions_submission_id_fkey,final_score_revisions,submission_id,review_submissions,id,CASCADE,NO ACTION
general_eligibility_configs_copied_from_id_fkey,general_eligibility_configs,copied_from_id,general_eligibility_configs,id,SET NULL,NO ACTION
iac_role_capabilities_capability_code_fkey,iac_role_capabilities,capability_code,iac_capabilities,code,CASCADE,NO ACTION
iac_role_capabilities_role_id_fkey,iac_role_capabilities,role_id,iac_roles,id,CASCADE,NO ACTION
iac_user_role_assignments_assigned_by_fkey,iac_user_role_assignments,assigned_by,users,id,NO ACTION,NO ACTION
iac_user_role_assignments_role_id_fkey,iac_user_role_assignments,role_id,iac_roles,id,CASCADE,NO ACTION
iac_user_role_assignments_user_id_fkey,iac_user_role_assignments,user_id,users,id,CASCADE,NO ACTION
impl_console_rate_buckets_client_id_fkey,impl_console_rate_buckets,client_id,clients,id,CASCADE,NO ACTION
incentive_allocation_rules_program_id_fkey,incentive_allocation_rules,program_id,incentive_programs,id,CASCADE,NO ACTION
incentive_allocation_rules_target_bu_id_fkey,incentive_allocation_rules,target_bu_id,business_units,id,NO ACTION,NO ACTION
incentive_custom_tab_data_employee_id_fkey,incentive_custom_tab_data,employee_id,profiles,id,CASCADE,NO ACTION
incentive_custom_tab_data_program_id_fkey,incentive_custom_tab_data,program_id,incentive_programs,id,CASCADE,NO ACTION
incentive_custom_tab_data_tab_id_fkey,incentive_custom_tab_data,tab_id,incentive_program_custom_tabs,id,CASCADE,NO ACTION
incentive_disqualification_rules_program_id_fkey,incentive_disqualification_rules,program_id,incentive_programs,id,CASCADE,NO ACTION
incentive_eligibility_fields_program_id_fkey,incentive_eligibility_fields,program_id,incentive_programs,id,CASCADE,NO ACTION
incentive_production_rates_employee_id_fkey,incentive_production_rates,employee_id,profiles,id,CASCADE,NO ACTION
incentive_production_rates_program_id_fkey,incentive_production_rates,program_id,incentive_programs,id,CASCADE,NO ACTION
incentive_program_custom_tabs_program_id_fkey,incentive_program_custom_tabs,program_id,incentive_programs,id,CASCADE,NO ACTION
incentive_program_mappings_program_id_fkey,incentive_program_mappings,program_id,incentive_programs,id,CASCADE,NO ACTION
incentive_score_revisions_employee_id_fkey,incentive_score_revisions,employee_id,profiles,id,CASCADE,NO ACTION
incentive_slabs_business_unit_id_fkey,incentive_slabs,business_unit_id,business_units,id,NO ACTION,NO ACTION
incentive_slabs_company_id_fkey,incentive_slabs,company_id,companies,id,NO ACTION,NO ACTION
incentive_slabs_department_id_fkey,incentive_slabs,department_id,departments,id,NO ACTION,NO ACTION
incentive_slabs_division_id_fkey,incentive_slabs,division_id,divisions,id,NO ACTION,NO ACTION
incentive_slabs_pms_grade_id_fkey,incentive_slabs,pms_grade_id,pms_grades,id,NO ACTION,NO ACTION
incentive_slabs_program_id_fkey,incentive_slabs,program_id,incentive_programs,id,CASCADE,NO ACTION
incentive_vessel_rates_employee_id_fkey,incentive_vessel_rates,employee_id,users,id,CASCADE,NO ACTION
incentive_vessel_rates_program_id_fkey,incentive_vessel_rates,program_id,incentive_programs,id,CASCADE,NO ACTION
increment_eligibility_configs_copied_from_config_id_fkey,increment_eligibility_configs,copied_from_config_id,increment_eligibility_configs,id,SET NULL,NO ACTION
increment_eligibility_criteria_config_id_fkey,increment_eligibility_criteria,config_id,increment_eligibility_configs,id,CASCADE,NO ACTION
increment_eligibility_exclusions_config_id_fkey,increment_eligibility_exclusions,config_id,increment_eligibility_configs,id,CASCADE,NO ACTION
increment_eligibility_exclusions_employee_id_fkey,increment_eligibility_exclusions,employee_id,profiles,id,CASCADE,NO ACTION
increment_method_configs_copied_from_config_id_fkey,increment_method_configs,copied_from_config_id,increment_method_configs,id,SET NULL,NO ACTION
increment_method_slabs_method_config_id_fkey,increment_method_slabs,method_config_id,increment_method_configs,id,CASCADE,NO ACTION
increment_run_items_edited_by_fkey,increment_run_items,edited_by,users,id,NO ACTION,NO ACTION
increment_run_items_employee_id_fkey,increment_run_items,employee_id,profiles,id,CASCADE,NO ACTION
increment_run_items_run_id_fkey,increment_run_items,run_id,increment_runs,id,CASCADE,NO ACTION
integration_connector_registry_module_key_fkey,integration_connector_registry,module_key,module_registry,module_key,NO ACTION,NO ACTION
kpi_audit_logs_kpi_id_fkey,kpi_audit_logs,kpi_id,kpis,id,CASCADE,NO ACTION
kpi_audit_logs_on_behalf_of_fkey,kpi_audit_logs,on_behalf_of,profiles,id,NO ACTION,NO ACTION
kpi_audit_logs_performed_by_fkey,kpi_audit_logs,performed_by,profiles,id,NO ACTION,NO ACTION
kpi_audit_logs_submission_id_fkey,kpi_audit_logs,submission_id,review_submissions,id,SET NULL,NO ACTION
kpi_definitions_category_id_fkey,kpi_definitions,category_id,kra_categories,id,CASCADE,NO ACTION
kpi_mention_access_kpi_id_fkey,kpi_mention_access,kpi_id,kpis,id,CASCADE,NO ACTION
kpi_name_aliases_category_id_fkey,kpi_name_aliases,category_id,kra_categories,id,CASCADE,NO ACTION
kpi_name_aliases_definition_id_fkey,kpi_name_aliases,definition_id,kpi_definitions,id,CASCADE,NO ACTION
kpi_observation_replies_observation_id_fkey,kpi_observation_replies,observation_id,kpi_observations,id,CASCADE,NO ACTION
kpi_observation_replies_reply_by_fkey,kpi_observation_replies,reply_by,profiles,id,NO ACTION,NO ACTION
kpi_observations_created_by_fkey,kpi_observations,created_by,profiles,id,NO ACTION,NO ACTION
kpi_observations_kpi_id_fkey,kpi_observations,kpi_id,kpis,id,CASCADE,NO ACTION
kpi_observations_reviewed_by_fkey,kpi_observations,reviewed_by,profiles,id,NO ACTION,NO ACTION
kpi_queries_kpi_id_fkey,kpi_queries,kpi_id,kpis,id,CASCADE,NO ACTION
kpi_queries_raised_by_fkey,kpi_queries,raised_by,profiles,id,NO ACTION,NO ACTION
kpi_queries_raised_to_fkey,kpi_queries,raised_to,profiles,id,NO ACTION,NO ACTION
kpi_registry_audit_log_performed_by_fkey,kpi_registry_audit_log,performed_by,profiles,id,NO ACTION,NO ACTION
kpi_rollback_requests_actioned_by_fkey,kpi_rollback_requests,actioned_by,profiles,id,NO ACTION,NO ACTION
kpi_rollback_requests_kpi_id_fkey,kpi_rollback_requests,kpi_id,kpis,id,CASCADE,NO ACTION
kpi_rollback_requests_requested_by_fkey,kpi_rollback_requests,requested_by,profiles,id,NO ACTION,NO ACTION
kpi_scanner_skips_category_id_fkey,kpi_scanner_skips,category_id,kra_categories,id,CASCADE,NO ACTION
kpi_templates_category_id_fkey,kpi_templates,category_id,kra_categories,id,SET NULL,NO ACTION
kpi_templates_created_by_fkey,kpi_templates,created_by,users,id,NO ACTION,NO ACTION
kpis_business_unit_id_fkey,kpis,business_unit_id,business_units,id,RESTRICT,NO ACTION
kpis_category_id_fkey,kpis,category_id,kra_categories,id,CASCADE,NO ACTION
kpis_division_id_fkey,kpis,division_id,divisions,id,RESTRICT,NO ACTION
kpis_employee_id_fkey,kpis,employee_id,profiles,id,CASCADE,NO ACTION
kpis_kpi_definition_id_fkey,kpis,kpi_definition_id,kpi_definitions,id,SET NULL,NO ACTION
kpis_level_id_fkey,kpis,level_id,levels,id,RESTRICT,NO ACTION
kpis_location_id_fkey,kpis,location_id,locations,id,RESTRICT,NO ACTION
kpis_pms_grade_id_fkey,kpis,pms_grade_id,pms_grades,id,RESTRICT,NO ACTION
kpis_source_template_id_fkey,kpis,source_template_id,kpi_templates,id,SET NULL,NO ACTION
levels_company_id_fkey,levels,company_id,companies,id,NO ACTION,NO ACTION
locations_company_id_fkey,locations,company_id,companies,id,SET NULL,NO ACTION
menu_access_user_overrides_granted_by_fkey,menu_access_user_overrides,granted_by,users,id,NO ACTION,NO ACTION
menu_access_user_overrides_user_id_fkey,menu_access_user_overrides,user_id,users,id,CASCADE,NO ACTION
menu_overrides_custom_parent_key_fkey,menu_overrides,custom_parent_key,menu_registry,menu_key,SET NULL,NO ACTION
menu_overrides_menu_key_fkey,menu_overrides,menu_key,menu_registry,menu_key,CASCADE,NO ACTION
menu_registry_default_parent_key_fkey,menu_registry,default_parent_key,menu_registry,menu_key,SET NULL,NO ACTION
notification_event_registry_module_key_fkey,notification_event_registry,module_key,module_registry,module_key,NO ACTION,NO ACTION
notifications_kpi_id_fkey,notifications,kpi_id,kpis,id,CASCADE,NO ACTION
notifications_related_user_id_fkey,notifications,related_user_id,users,id,SET NULL,NO ACTION
notifications_user_id_fkey,notifications,user_id,users,id,CASCADE,NO ACTION
org_head_config_company_id_fkey,org_head_config,company_id,companies,id,CASCADE,NO ACTION
org_head_config_hr_business_unit_id_fkey,org_head_config,hr_business_unit_id,business_units,id,SET NULL,NO ACTION
org_head_config_hr_head_updated_by_fkey,org_head_config,hr_head_updated_by,profiles,id,SET NULL,NO ACTION
org_head_config_hr_head_user_id_fkey,org_head_config,hr_head_user_id,profiles,id,SET NULL,NO ACTION
org_kpi_data_entry_logs_org_kpi_value_id_fkey,org_kpi_data_entry_logs,org_kpi_value_id,org_kpi_values,id,SET NULL,NO ACTION
org_kpi_data_entry_logs_performed_by_fkey,org_kpi_data_entry_logs,performed_by,users,id,NO ACTION,NO ACTION
org_kpi_data_owners_assigned_by_fkey,org_kpi_data_owners,assigned_by,profiles,id,NO ACTION,NO ACTION
org_kpi_data_owners_business_unit_id_fkey,org_kpi_data_owners,business_unit_id,business_units,id,CASCADE,NO ACTION
org_kpi_data_owners_category_id_fkey,org_kpi_data_owners,category_id,kra_categories,id,CASCADE,NO ACTION
org_kpi_data_owners_department_id_fkey,org_kpi_data_owners,department_id,departments,id,CASCADE,NO ACTION
org_kpi_data_owners_division_id_fkey,org_kpi_data_owners,division_id,divisions,id,CASCADE,NO ACTION
org_kpi_data_owners_level_id_fkey,org_kpi_data_owners,level_id,levels,id,CASCADE,NO ACTION
org_kpi_data_owners_location_id_fkey,org_kpi_data_owners,location_id,locations,id,CASCADE,NO ACTION
org_kpi_data_owners_owner_id_fkey,org_kpi_data_owners,owner_id,profiles,id,CASCADE,NO ACTION
org_kpi_data_owners_pms_grade_id_fkey,org_kpi_data_owners,pms_grade_id,pms_grades,id,CASCADE,NO ACTION
org_kpi_value_history_category_id_fkey,org_kpi_value_history,category_id,kra_categories,id,NO ACTION,NO ACTION
org_kpi_value_history_changed_by_fkey,org_kpi_value_history,changed_by,profiles,id,NO ACTION,NO ACTION
org_kpi_value_history_org_kpi_value_id_fkey,org_kpi_value_history,org_kpi_value_id,org_kpi_values,id,CASCADE,NO ACTION
org_kpi_values_business_unit_id_fkey,org_kpi_values,business_unit_id,business_units,id,RESTRICT,NO ACTION
org_kpi_values_category_id_fkey,org_kpi_values,category_id,kra_categories,id,CASCADE,NO ACTION
org_kpi_values_department_id_fkey,org_kpi_values,department_id,departments,id,NO ACTION,NO ACTION
org_kpi_values_division_id_fkey,org_kpi_values,division_id,divisions,id,RESTRICT,NO ACTION
org_kpi_values_employee_id_fkey,org_kpi_values,employee_id,profiles,id,NO ACTION,NO ACTION
org_kpi_values_entered_by_fkey,org_kpi_values,entered_by,profiles,id,NO ACTION,NO ACTION
org_kpi_values_level_id_fkey,org_kpi_values,level_id,levels,id,RESTRICT,NO ACTION
org_kpi_values_location_id_fkey,org_kpi_values,location_id,locations,id,RESTRICT,NO ACTION
org_kpi_values_pms_grade_id_fkey,org_kpi_values,pms_grade_id,pms_grades,id,RESTRICT,NO ACTION
org_kpi_values_sent_back_by_fkey,org_kpi_values,sent_back_by,profiles,id,NO ACTION,NO ACTION
password_rollout_logs_generated_by_fkey,password_rollout_logs,generated_by,profiles,id,NO ACTION,NO ACTION
password_rollout_logs_user_id_fkey,password_rollout_logs,user_id,profiles,id,NO ACTION,NO ACTION
performance_improvement_plans_employee_id_fkey,performance_improvement_plans,employee_id,profiles,id,CASCADE,NO ACTION
performance_improvement_plans_hr_reviewer_id_fkey,performance_improvement_plans,hr_reviewer_id,profiles,id,SET NULL,NO ACTION
performance_improvement_plans_initiated_by_fkey,performance_improvement_plans,initiated_by,profiles,id,SET NULL,NO ACTION
performance_reviews_employee_id_fkey,performance_reviews,employee_id,profiles,id,CASCADE,NO ACTION
pip_audit_logs_performed_by_fkey,pip_audit_logs,performed_by,profiles,id,SET NULL,NO ACTION
pip_audit_logs_pip_id_fkey,pip_audit_logs,pip_id,performance_improvement_plans,id,CASCADE,NO ACTION
pip_milestones_pip_id_fkey,pip_milestones,pip_id,performance_improvement_plans,id,CASCADE,NO ACTION
pip_milestones_reviewed_by_fkey,pip_milestones,reviewed_by,profiles,id,SET NULL,NO ACTION
pms_grades_company_id_fkey,pms_grades,company_id,companies,id,NO ACTION,NO ACTION
production_daily_entries_employee_id_fkey,production_daily_entries,employee_id,profiles,id,CASCADE,NO ACTION
production_daily_entries_program_id_fkey,production_daily_entries,program_id,incentive_programs,id,CASCADE,NO ACTION
production_daily_entries_updated_by_fkey,production_daily_entries,updated_by,profiles,id,NO ACTION,NO ACTION
production_targets_business_unit_id_fkey,production_targets,business_unit_id,business_units,id,NO ACTION,NO ACTION
production_targets_department_id_fkey,production_targets,department_id,departments,id,NO ACTION,NO ACTION
production_targets_division_id_fkey,production_targets,division_id,divisions,id,NO ACTION,NO ACTION
production_targets_program_id_fkey,production_targets,program_id,incentive_programs,id,CASCADE,NO ACTION
profiles_company_id_fkey,profiles,company_id,companies,id,NO ACTION,NO ACTION
profiles_department_fk,profiles,department_id,departments,id,NO ACTION,NO ACTION
profiles_designated_proxy_user_id_fkey,profiles,designated_proxy_user_id,profiles,id,SET NULL,NO ACTION
profiles_functional_manager_id_fkey,profiles,functional_manager_id,profiles,id,SET NULL,NO ACTION
profiles_level_id_fkey,profiles,level_id,levels,id,SET NULL,NO ACTION
profiles_location_id_fkey,profiles,location_id,locations,id,SET NULL,NO ACTION
profiles_pms_grade_id_fkey,profiles,pms_grade_id,pms_grades,id,SET NULL,NO ACTION
profiles_reporting_manager_id_fkey,profiles,reporting_manager_id,profiles,id,NO ACTION,NO ACTION
report_access_user_overrides_granted_by_fkey,report_access_user_overrides,granted_by,profiles,id,NO ACTION,NO ACTION
report_access_user_overrides_user_id_fkey,report_access_user_overrides,user_id,profiles,id,CASCADE,NO ACTION
report_field_overrides_report_id_fkey,report_field_overrides,report_id,report_registry,report_id,CASCADE,NO ACTION
report_field_registry_report_id_fkey,report_field_registry,report_id,report_registry,report_id,CASCADE,NO ACTION
report_registry_v2_module_key_fkey,report_registry_v2,module_key,module_registry,module_key,NO ACTION,NO ACTION
review_action_notes_assignee_id_fkey,review_action_notes,assignee_id,profiles,id,SET NULL,NO ACTION
review_action_notes_completed_by_fkey,review_action_notes,completed_by,profiles,id,NO ACTION,NO ACTION
review_action_notes_created_by_fkey,review_action_notes,created_by,profiles,id,NO ACTION,NO ACTION
review_action_notes_kpi_id_fkey,review_action_notes,kpi_id,kpis,id,SET NULL,NO ACTION
review_action_notes_period_id_fkey,review_action_notes,period_id,review_periods,id,SET NULL,NO ACTION
review_action_notes_subject_employee_id_fkey,review_action_notes,subject_employee_id,profiles,id,CASCADE,NO ACTION
review_action_notes_target_period_id_fkey,review_action_notes,target_period_id,review_periods,id,SET NULL,NO ACTION
review_period_audit_log_performed_by_fkey,review_period_audit_log,performed_by,users,id,NO ACTION,NO ACTION
review_period_audit_log_review_period_id_fkey,review_period_audit_log,review_period_id,review_periods,id,CASCADE,NO ACTION
review_period_auto_rules_created_by_fkey,review_period_auto_rules,created_by,users,id,NO ACTION,NO ACTION
review_period_auto_rules_review_period_id_fkey,review_period_auto_rules,review_period_id,review_periods,id,CASCADE,NO ACTION
review_period_locks_locked_by_fkey,review_period_locks,locked_by,users,id,NO ACTION,NO ACTION
review_period_locks_review_period_id_fkey,review_period_locks,review_period_id,review_periods,id,CASCADE,NO ACTION
review_period_stages_review_period_id_fkey,review_period_stages,review_period_id,review_periods,id,CASCADE,NO ACTION
review_period_stages_started_by_fkey,review_period_stages,started_by,users,id,NO ACTION,NO ACTION
review_periods_locked_by_fkey,review_periods,locked_by,profiles,id,NO ACTION,NO ACTION
review_submissions_kpi_id_fkey,review_submissions,kpi_id,kpis,id,CASCADE,NO ACTION
review_submissions_performance_review_id_fkey,review_submissions,performance_review_id,performance_reviews,id,CASCADE,NO ACTION
safety_asset_calibrations_asset_id_fkey,safety_asset_calibrations,asset_id,safety_assets,id,CASCADE,NO ACTION
safety_asset_evidence_asset_id_fkey,safety_asset_evidence,asset_id,safety_assets,id,CASCADE,NO ACTION
safety_audit_run_responses_auto_incident_id_fkey,safety_audit_run_responses,auto_incident_id,safety_incidents,id,SET NULL,NO ACTION
safety_audit_run_responses_item_id_fkey,safety_audit_run_responses,item_id,safety_audit_template_items,id,RESTRICT,NO ACTION
