table_name,index_name,definition
annual_review_bu_head_terminal_audit_2026_07,idx_ar_buhead_terminal_audit_cycle,"CREATE INDEX idx_ar_buhead_terminal_audit_cycle ON public.annual_review_bu_head_terminal_audit_2026_07 USING btree (cycle_id, created_at DESC)"
annual_review_bu_removal_repair_2026_07,annual_review_bu_removal_repair_2026_07_pkey,CREATE UNIQUE INDEX annual_review_bu_removal_repair_2026_07_pkey ON public.annual_review_bu_removal_repair_2026_07 USING btree (id)
annual_review_criteria_assignments,annual_review_criteria_assignments_lookup,"CREATE INDEX annual_review_criteria_assignments_lookup ON public.annual_review_criteria_assignments USING btree (archetype_code, grade_bucket, grade_code, department_id, sub_unit_id)"
annual_review_criteria_assignments,annual_review_criteria_assignments_pkey,CREATE UNIQUE INDEX annual_review_criteria_assignments_pkey ON public.annual_review_criteria_assignments USING btree (id)
annual_review_criteria_assignments,annual_review_criteria_assignments_uk,"CREATE UNIQUE INDEX annual_review_criteria_assignments_uk ON public.annual_review_criteria_assignments USING btree (criterion_id, COALESCE(archetype_code, ''::text), COALESCE(grade_bucket, ''::text), COALESCE(grade_code, ''::text), COALESCE((department_id)::text, ''::text), COALESCE((sub_unit_id)::text, ''::text))"
annual_review_criteria_library,annual_review_criteria_library_key_key,CREATE UNIQUE INDEX annual_review_criteria_library_key_key ON public.annual_review_criteria_library USING btree (key)
annual_review_criteria_library,annual_review_criteria_library_pkey,CREATE UNIQUE INDEX annual_review_criteria_library_pkey ON public.annual_review_criteria_library USING btree (id)
annual_review_cycles,annual_review_cycles_one_active,CREATE UNIQUE INDEX annual_review_cycles_one_active ON public.annual_review_cycles USING btree (status) WHERE (status = 'active'::text)
annual_review_cycles,annual_review_cycles_pkey,CREATE UNIQUE INDEX annual_review_cycles_pkey ON public.annual_review_cycles USING btree (id)
annual_review_directory_overrides,annual_review_directory_overrides_pkey,CREATE UNIQUE INDEX annual_review_directory_overrides_pkey ON public.annual_review_directory_overrides USING btree (user_id)
annual_review_downstream_rewind_repair_2026_07,annual_review_downstream_rewind_repair_2026_07_pkey,CREATE UNIQUE INDEX annual_review_downstream_rewind_repair_2026_07_pkey ON public.annual_review_downstream_rewind_repair_2026_07 USING btree (id)
annual_review_empty_stage_repair_2026_07,annual_review_empty_stage_repair_2026_07_pkey,CREATE UNIQUE INDEX annual_review_empty_stage_repair_2026_07_pkey ON public.annual_review_empty_stage_repair_2026_07 USING btree (id)
annual_review_final_backfill_audit_2026_07,annual_review_final_backfill_audit_2026_07_pkey,CREATE UNIQUE INDEX annual_review_final_backfill_audit_2026_07_pkey ON public.annual_review_final_backfill_audit_2026_07 USING btree (id)
annual_review_final_score_repair_2026_07,annual_review_final_score_repair_2026_07_pkey,CREATE UNIQUE INDEX annual_review_final_score_repair_2026_07_pkey ON public.annual_review_final_score_repair_2026_07 USING btree (id)
annual_review_head_remap_audit_2026_07,annual_review_head_remap_audit_2026_07_pkey,CREATE UNIQUE INDEX annual_review_head_remap_audit_2026_07_pkey ON public.annual_review_head_remap_audit_2026_07 USING btree (id)
annual_review_instances,annual_review_instances_bu,CREATE INDEX annual_review_instances_bu ON public.annual_review_instances USING btree (bu_head_id)
annual_review_instances,annual_review_instances_cycle,CREATE INDEX annual_review_instances_cycle ON public.annual_review_instances USING btree (cycle_id)
annual_review_instances,annual_review_instances_employee,CREATE INDEX annual_review_instances_employee ON public.annual_review_instances USING btree (employee_id)
annual_review_instances,annual_review_instances_employee_id_cycle_id_key,"CREATE UNIQUE INDEX annual_review_instances_employee_id_cycle_id_key ON public.annual_review_instances USING btree (employee_id, cycle_id)"
annual_review_instances,annual_review_instances_hr,CREATE INDEX annual_review_instances_hr ON public.annual_review_instances USING btree (hr_id)
annual_review_instances,annual_review_instances_mgr,CREATE INDEX annual_review_instances_mgr ON public.annual_review_instances USING btree (manager_id)
annual_review_instances,annual_review_instances_pkey,CREATE UNIQUE INDEX annual_review_instances_pkey ON public.annual_review_instances USING btree (id)
annual_review_instances,annual_review_instances_skip,CREATE INDEX annual_review_instances_skip ON public.annual_review_instances USING btree (skip_id)
annual_review_instances,annual_review_instances_status,CREATE INDEX annual_review_instances_status ON public.annual_review_instances USING btree (overall_status)
annual_review_instances,annual_review_instances_template_override_id_idx,CREATE INDEX annual_review_instances_template_override_id_idx ON public.annual_review_instances USING btree (template_override_id) WHERE (template_override_id IS NOT NULL)
annual_review_instances,idx_ari_excluded_at,CREATE INDEX idx_ari_excluded_at ON public.annual_review_instances USING btree (excluded_at) WHERE (excluded_at IS NOT NULL)
annual_review_instances,idx_ari_management_id,CREATE INDEX idx_ari_management_id ON public.annual_review_instances USING btree (management_id)
annual_review_kra_rehydrate_items,annual_review_kra_rehydrate_items_pkey,CREATE UNIQUE INDEX annual_review_kra_rehydrate_items_pkey ON public.annual_review_kra_rehydrate_items USING btree (id)
annual_review_kra_rehydrate_items,idx_kra_rehydrate_items_instance,CREATE INDEX idx_kra_rehydrate_items_instance ON public.annual_review_kra_rehydrate_items USING btree (instance_id)
annual_review_kra_rehydrate_items,idx_kra_rehydrate_items_run,CREATE INDEX idx_kra_rehydrate_items_run ON public.annual_review_kra_rehydrate_items USING btree (run_id)
annual_review_kra_rehydrate_runs,annual_review_kra_rehydrate_runs_pkey,CREATE UNIQUE INDEX annual_review_kra_rehydrate_runs_pkey ON public.annual_review_kra_rehydrate_runs USING btree (id)
annual_review_kra_rehydrate_runs,idx_kra_rehydrate_runs_cycle,"CREATE INDEX idx_kra_rehydrate_runs_cycle ON public.annual_review_kra_rehydrate_runs USING btree (cycle_id, created_at DESC)"
annual_review_mgmt_scope_backfill_2026_07,annual_review_mgmt_scope_backfill_2026_07_pkey,CREATE UNIQUE INDEX annual_review_mgmt_scope_backfill_2026_07_pkey ON public.annual_review_mgmt_scope_backfill_2026_07 USING btree (id)
annual_review_missing_system_slot_repair_2026_07,annual_review_missing_system_slot_repair_2026_07_pkey,CREATE UNIQUE INDEX annual_review_missing_system_slot_repair_2026_07_pkey ON public.annual_review_missing_system_slot_repair_2026_07 USING btree (id)
annual_review_orphan_repair_2026_07,annual_review_orphan_repair_2026_07_pkey,CREATE UNIQUE INDEX annual_review_orphan_repair_2026_07_pkey ON public.annual_review_orphan_repair_2026_07 USING btree (id)
annual_review_proxy_submissions,annual_review_proxy_submissions_pkey,CREATE UNIQUE INDEX annual_review_proxy_submissions_pkey ON public.annual_review_proxy_submissions USING btree (id)
annual_review_proxy_submissions,arps_employee_idx,CREATE INDEX arps_employee_idx ON public.annual_review_proxy_submissions USING btree (employee_user_id)
annual_review_proxy_submissions,arps_instance_idx,CREATE INDEX arps_instance_idx ON public.annual_review_proxy_submissions USING btree (instance_id)
annual_review_proxy_submissions,arps_proxy_idx,CREATE INDEX arps_proxy_idx ON public.annual_review_proxy_submissions USING btree (proxy_user_id)
annual_review_rescore_audit_2026_07,annual_review_rescore_audit_2026_07_pkey,CREATE UNIQUE INDEX annual_review_rescore_audit_2026_07_pkey ON public.annual_review_rescore_audit_2026_07 USING btree (id)
annual_review_reset_archive,annual_review_reset_archive_pkey,CREATE UNIQUE INDEX annual_review_reset_archive_pkey ON public.annual_review_reset_archive USING btree (id)
annual_review_reset_archive,idx_reset_archive_cycle,CREATE INDEX idx_reset_archive_cycle ON public.annual_review_reset_archive USING btree (cycle_id)
annual_review_reset_archive,idx_reset_archive_instance,CREATE INDEX idx_reset_archive_instance ON public.annual_review_reset_archive USING btree (instance_id)
annual_review_responses,annual_review_responses_instance,CREATE INDEX annual_review_responses_instance ON public.annual_review_responses USING btree (instance_id)
annual_review_responses,annual_review_responses_instance_id_reviewer_role_key,"CREATE UNIQUE INDEX annual_review_responses_instance_id_reviewer_role_key ON public.annual_review_responses USING btree (instance_id, reviewer_role)"
annual_review_responses,annual_review_responses_pkey,CREATE UNIQUE INDEX annual_review_responses_pkey ON public.annual_review_responses USING btree (id)
annual_review_responses,annual_review_responses_reviewer,CREATE INDEX annual_review_responses_reviewer ON public.annual_review_responses USING btree (reviewer_id)
annual_review_reviewer_remap_audit_2026_07,annual_review_reviewer_remap_audit_2026_07_pkey,CREATE UNIQUE INDEX annual_review_reviewer_remap_audit_2026_07_pkey ON public.annual_review_reviewer_remap_audit_2026_07 USING btree (id)
annual_review_reviewer_resync_audit,annual_review_reviewer_resync_audit_pkey,CREATE UNIQUE INDEX annual_review_reviewer_resync_audit_pkey ON public.annual_review_reviewer_resync_audit USING btree (id)
annual_review_reviewer_resync_audit,idx_ar_resync_audit_cycle_created,"CREATE INDEX idx_ar_resync_audit_cycle_created ON public.annual_review_reviewer_resync_audit USING btree (cycle_id, created_at DESC)"
annual_review_reviewer_resync_audit,idx_ar_resync_audit_new_user,CREATE INDEX idx_ar_resync_audit_new_user ON public.annual_review_reviewer_resync_audit USING btree (new_user_id)
annual_review_role_capabilities,annual_review_role_capabilities_pkey,CREATE UNIQUE INDEX annual_review_role_capabilities_pkey ON public.annual_review_role_capabilities USING btree (role_source)
annual_review_self_draft_reassign_audit,annual_review_self_draft_reassign_audit_pkey,CREATE UNIQUE INDEX annual_review_self_draft_reassign_audit_pkey ON public.annual_review_self_draft_reassign_audit USING btree (id)
annual_review_self_review_bundle_items,annual_review_self_review_bundle_items_pkey,"CREATE UNIQUE INDEX annual_review_self_review_bundle_items_pkey ON public.annual_review_self_review_bundle_items USING btree (bundle_id, field_id)"
annual_review_self_review_library,annual_review_self_review_library_key_key,CREATE UNIQUE INDEX annual_review_self_review_library_key_key ON public.annual_review_self_review_library USING btree (key)
annual_review_self_review_library,annual_review_self_review_library_pkey,CREATE UNIQUE INDEX annual_review_self_review_library_pkey ON public.annual_review_self_review_library USING btree (id)
annual_review_settings,annual_review_settings_key_key,CREATE UNIQUE INDEX annual_review_settings_key_key ON public.annual_review_settings USING btree (key)
annual_review_settings,annual_review_settings_pkey,CREATE UNIQUE INDEX annual_review_settings_pkey ON public.annual_review_settings USING btree (id)
annual_review_stage_transfer_audit_2026_07,annual_review_stage_transfer_audit_2026_07_pkey,CREATE UNIQUE INDEX annual_review_stage_transfer_audit_2026_07_pkey ON public.annual_review_stage_transfer_audit_2026_07 USING btree (id)
annual_review_system_kpi_weights,annual_review_system_kpi_weights_pkey,CREATE UNIQUE INDEX annual_review_system_kpi_weights_pkey ON public.annual_review_system_kpi_weights USING btree (id)
annual_review_system_kpi_weights,uq_ar_sys_kpi_weight_scope,"CREATE UNIQUE INDEX uq_ar_sys_kpi_weight_scope ON public.annual_review_system_kpi_weights USING btree (system_kpi_id, COALESCE(department_id, '00000000-0000-0000-0000-000000000000'::uuid), COALESCE(sub_unit_id, '00000000-0000-0000-0000-000000000000'::uuid), COALESCE(grade_bucket, '*'::text))"
annual_review_system_kpis,annual_review_system_kpis_key_key,CREATE UNIQUE INDEX annual_review_system_kpis_key_key ON public.annual_review_system_kpis USING btree (key)
annual_review_system_kpis,annual_review_system_kpis_pkey,CREATE UNIQUE INDEX annual_review_system_kpis_pkey ON public.annual_review_system_kpis USING btree (id)
annual_review_template_archetypes,annual_review_template_archetypes_code_key,CREATE UNIQUE INDEX annual_review_template_archetypes_code_key ON public.annual_review_template_archetypes USING btree (code)
annual_review_template_archetypes,annual_review_template_archetypes_pkey,CREATE UNIQUE INDEX annual_review_template_archetypes_pkey ON public.annual_review_template_archetypes USING btree (id)
annual_review_templates,annual_review_templates_pkey,CREATE UNIQUE INDEX annual_review_templates_pkey ON public.annual_review_templates USING btree (id)
annual_score_config_audit,annual_score_audit_config_idx,"CREATE INDEX annual_score_audit_config_idx ON public.annual_score_config_audit USING btree (config_id, performed_at DESC)"
annual_score_config_audit,annual_score_config_audit_pkey,CREATE UNIQUE INDEX annual_score_config_audit_pkey ON public.annual_score_config_audit USING btree (id)
annual_score_configs,annual_score_configs_ay_status_idx,"CREATE INDEX annual_score_configs_ay_status_idx ON public.annual_score_configs USING btree (assessment_year, status)"
annual_score_configs,annual_score_configs_pkey,CREATE UNIQUE INDEX annual_score_configs_pkey ON public.annual_score_configs USING btree (id)
app_settings,app_settings_pkey,CREATE UNIQUE INDEX app_settings_pkey ON public.app_settings USING btree (id)
audit_kpi_assignments,audit_kpi_assignments_auditor_id_employee_id_key,"CREATE UNIQUE INDEX audit_kpi_assignments_auditor_id_employee_id_key ON public.audit_kpi_assignments USING btree (auditor_id, employee_id)"
audit_kpi_assignments,audit_kpi_assignments_pkey,CREATE UNIQUE INDEX audit_kpi_assignments_pkey ON public.audit_kpi_assignments USING btree (id)
audit_kpi_level_assignments,audit_kpi_level_assignments_kpi_id_key,CREATE UNIQUE INDEX audit_kpi_level_assignments_kpi_id_key ON public.audit_kpi_level_assignments USING btree (kpi_id)
audit_kpi_level_assignments,audit_kpi_level_assignments_pkey,CREATE UNIQUE INDEX audit_kpi_level_assignments_pkey ON public.audit_kpi_level_assignments USING btree (id)
audit_kpi_level_assignments,idx_audit_kpi_level_assignments_auditor_id,CREATE INDEX idx_audit_kpi_level_assignments_auditor_id ON public.audit_kpi_level_assignments USING btree (auditor_id)
audit_policies,audit_policies_category_idx,CREATE INDEX audit_policies_category_idx ON public.audit_policies USING btree (event_category)
audit_policies,audit_policies_module_idx,CREATE INDEX audit_policies_module_idx ON public.audit_policies USING btree (module_key)
audit_policies,audit_policies_pkey,CREATE UNIQUE INDEX audit_policies_pkey ON public.audit_policies USING btree (id)
audit_policies,audit_policies_unique_key,"CREATE UNIQUE INDEX audit_policies_unique_key ON public.audit_policies USING btree (module_key, event_category)"
auth_lookup_attempts,auth_lookup_attempts_pkey,CREATE UNIQUE INDEX auth_lookup_attempts_pkey ON public.auth_lookup_attempts USING btree (id)
auth_lookup_attempts,idx_auth_lookup_attempts_ip_time,"CREATE INDEX idx_auth_lookup_attempts_ip_time ON public.auth_lookup_attempts USING btree (client_ip, attempted_at DESC)"
backup_denylist,backup_denylist_pkey,CREATE UNIQUE INDEX backup_denylist_pkey ON public.backup_denylist USING btree (table_name)
backup_logs,backup_logs_pkey,CREATE UNIQUE INDEX backup_logs_pkey ON public.backup_logs USING btree (id)
backup_logs,idx_backup_logs_created_by,CREATE INDEX idx_backup_logs_created_by ON public.backup_logs USING btree (created_by)
bulk_review_batches,bulk_review_batches_pkey,CREATE UNIQUE INDEX bulk_review_batches_pkey ON public.bulk_review_batches USING btree (id)
bulk_review_batches,idx_bulk_review_batches_created_at,CREATE INDEX idx_bulk_review_batches_created_at ON public.bulk_review_batches USING btree (created_at DESC)
bulk_review_batches,idx_bulk_review_batches_performed_by,CREATE INDEX idx_bulk_review_batches_performed_by ON public.bulk_review_batches USING btree (performed_by)
bundle_assignment_logs,bundle_assignment_logs_pkey,CREATE UNIQUE INDEX bundle_assignment_logs_pkey ON public.bundle_assignment_logs USING btree (id)
bundle_assignment_logs,idx_bundle_assignment_logs_bundle_id,CREATE INDEX idx_bundle_assignment_logs_bundle_id ON public.bundle_assignment_logs USING btree (bundle_id)
bundle_assignment_logs,idx_bundle_assignment_logs_created_at,CREATE INDEX idx_bundle_assignment_logs_created_at ON public.bundle_assignment_logs USING btree (created_at DESC)
bundle_assignment_logs,idx_bundle_assignment_logs_employee_id,CREATE INDEX idx_bundle_assignment_logs_employee_id ON public.bundle_assignment_logs USING btree (employee_id)
business_unit_sub_units,business_unit_sub_units_business_unit_id_label_key,"CREATE UNIQUE INDEX business_unit_sub_units_business_unit_id_label_key ON public.business_unit_sub_units USING btree (business_unit_id, label)"
business_unit_sub_units,business_unit_sub_units_pkey,CREATE UNIQUE INDEX business_unit_sub_units_pkey ON public.business_unit_sub_units USING btree (id)
business_units,business_units_code_key,CREATE UNIQUE INDEX business_units_code_key ON public.business_units USING btree (code)
business_units,business_units_pkey,CREATE UNIQUE INDEX business_units_pkey ON public.business_units USING btree (id)
business_units,idx_business_units_head_user_id,CREATE INDEX idx_business_units_head_user_id ON public.business_units USING btree (head_user_id)
capability_registry,capability_registry_pkey,CREATE UNIQUE INDEX capability_registry_pkey ON public.capability_registry USING btree (capability_key)
client_action_entitlements,client_action_entitlements_client_id_action_key_key,"CREATE UNIQUE INDEX client_action_entitlements_client_id_action_key_key ON public.client_action_entitlements USING btree (client_id, action_key)"
client_action_entitlements,client_action_entitlements_pkey,CREATE UNIQUE INDEX client_action_entitlements_pkey ON public.client_action_entitlements USING btree (id)
client_action_entitlements,idx_cae_client,CREATE INDEX idx_cae_client ON public.client_action_entitlements USING btree (client_id)
client_contacts,client_contacts_active_email_per_role_uq,"CREATE UNIQUE INDEX client_contacts_active_email_per_role_uq ON public.client_contacts USING btree (client_id, role, lower(email)) WHERE (is_active = true)"
client_contacts,client_contacts_client_idx,CREATE INDEX client_contacts_client_idx ON public.client_contacts USING btree (client_id)
client_contacts,client_contacts_one_active_primary_per_role_uq,"CREATE UNIQUE INDEX client_contacts_one_active_primary_per_role_uq ON public.client_contacts USING btree (client_id, role) WHERE ((is_primary_for_role = true) AND (is_active = true))"
client_contacts,client_contacts_pkey,CREATE UNIQUE INDEX client_contacts_pkey ON public.client_contacts USING btree (id)
client_error_reports,client_error_reports_account_code_idx,CREATE INDEX client_error_reports_account_code_idx ON public.client_error_reports USING btree (account_code)
client_error_reports,client_error_reports_created_at_idx,CREATE INDEX client_error_reports_created_at_idx ON public.client_error_reports USING btree (created_at DESC)
client_error_reports,client_error_reports_pkey,CREATE UNIQUE INDEX client_error_reports_pkey ON public.client_error_reports USING btree (id)
client_implementer_assignments,client_implementer_assignments_client_id_user_id_key,"CREATE UNIQUE INDEX client_implementer_assignments_client_id_user_id_key ON public.client_implementer_assignments USING btree (client_id, user_id)"
client_implementer_assignments,client_implementer_assignments_pkey,CREATE UNIQUE INDEX client_implementer_assignments_pkey ON public.client_implementer_assignments USING btree (id)
client_implementer_assignments,client_implementer_assignments_user_idx,CREATE INDEX client_implementer_assignments_user_idx ON public.client_implementer_assignments USING btree (user_id)
client_module_entitlements,client_module_entitlements_client_id_module_key_key,"CREATE UNIQUE INDEX client_module_entitlements_client_id_module_key_key ON public.client_module_entitlements USING btree (client_id, module_key)"
client_module_entitlements,client_module_entitlements_pkey,CREATE UNIQUE INDEX client_module_entitlements_pkey ON public.client_module_entitlements USING btree (id)
client_module_entitlements,idx_cme_client,CREATE INDEX idx_cme_client ON public.client_module_entitlements USING btree (client_id)
client_notification_templates,client_notification_templates_active_key_uidx,"CREATE UNIQUE INDEX client_notification_templates_active_key_uidx ON public.client_notification_templates USING btree (client_id, template_key) WHERE is_active"
client_notification_templates,client_notification_templates_client_idx,CREATE INDEX client_notification_templates_client_idx ON public.client_notification_templates USING btree (client_id)
client_notification_templates,client_notification_templates_pkey,CREATE UNIQUE INDEX client_notification_templates_pkey ON public.client_notification_templates USING btree (id)
client_setup_checklist,client_setup_checklist_client_id_item_key_key,"CREATE UNIQUE INDEX client_setup_checklist_client_id_item_key_key ON public.client_setup_checklist USING btree (client_id, item_key)"
client_setup_checklist,client_setup_checklist_pkey,CREATE UNIQUE INDEX client_setup_checklist_pkey ON public.client_setup_checklist USING btree (id)
client_smtp_config,client_smtp_config_pkey,CREATE UNIQUE INDEX client_smtp_config_pkey ON public.client_smtp_config USING btree (client_id)
client_urls,client_urls_active_url_uq,"CREATE UNIQUE INDEX client_urls_active_url_uq ON public.client_urls USING btree (client_id, lower(url)) WHERE (is_active = true)"
client_urls,client_urls_client_idx,CREATE INDEX client_urls_client_idx ON public.client_urls USING btree (client_id)
client_urls,client_urls_one_active_primary_per_client_uq,CREATE UNIQUE INDEX client_urls_one_active_primary_per_client_uq ON public.client_urls USING btree (client_id) WHERE ((is_primary = true) AND (is_active = true))
client_urls,client_urls_pkey,CREATE UNIQUE INDEX client_urls_pkey ON public.client_urls USING btree (id)
clients,clients_client_key_key,CREATE UNIQUE INDEX clients_client_key_key ON public.clients USING btree (client_key)
clients,clients_pkey,CREATE UNIQUE INDEX clients_pkey ON public.clients USING btree (id)
companies,companies_pkey,CREATE UNIQUE INDEX companies_pkey ON public.companies USING btree (id)
confirmation_increment_adjustments,confirmation_increment_adjustments_pkey,CREATE UNIQUE INDEX confirmation_increment_adjustments_pkey ON public.confirmation_increment_adjustments USING btree (id)
confirmation_increment_adjustments,idx_conf_inc_adj_emp_ay,"CREATE INDEX idx_conf_inc_adj_emp_ay ON public.confirmation_increment_adjustments USING btree (employee_id, assessment_year)"
confirmation_increment_rules,confirmation_increment_rules_pkey,CREATE UNIQUE INDEX confirmation_increment_rules_pkey ON public.confirmation_increment_rules USING btree (id)
confirmation_increment_rules,uq_conf_inc_rule_active_scope,"CREATE UNIQUE INDEX uq_conf_inc_rule_active_scope ON public.confirmation_increment_rules USING btree (assessment_year, COALESCE(company_id, '00000000-0000-0000-0000-000000000000'::uuid), COALESCE(category_id, '00000000-0000-0000-0000-000000000000'::uuid), COALESCE(level_id, '00000000-0000-0000-0000-000000000000'::uuid)) WHERE (status = 'active'::text)"
custom_reports,custom_reports_pkey,CREATE UNIQUE INDEX custom_reports_pkey ON public.custom_reports USING btree (id)
custom_reports,idx_custom_reports_created_by,CREATE INDEX idx_custom_reports_created_by ON public.custom_reports USING btree (created_by)
dashboard_registry,dashboard_registry_pkey,CREATE UNIQUE INDEX dashboard_registry_pkey ON public.dashboard_registry USING btree (dashboard_key)
data_classifications,data_classifications_classification_key_key,CREATE UNIQUE INDEX data_classifications_classification_key_key ON public.data_classifications USING btree (classification_key)
data_classifications,data_classifications_pkey,CREATE UNIQUE INDEX data_classifications_pkey ON public.data_classifications USING btree (id)
departments,departments_code_key,CREATE UNIQUE INDEX departments_code_key ON public.departments USING btree (code)
departments,departments_pkey,CREATE UNIQUE INDEX departments_pkey ON public.departments USING btree (id)
departments,idx_departments_head_user_id,CREATE INDEX idx_departments_head_user_id ON public.departments USING btree (head_user_id)
designations,designations_name_key,CREATE UNIQUE INDEX designations_name_key ON public.designations USING btree (name)
designations,designations_pkey,CREATE UNIQUE INDEX designations_pkey ON public.designations USING btree (id)
dev_report_entries,dev_report_entries_adr_refs_idx,CREATE INDEX dev_report_entries_adr_refs_idx ON public.dev_report_entries USING gin (adr_refs)
dev_report_entries,dev_report_entries_module_idx,CREATE INDEX dev_report_entries_module_idx ON public.dev_report_entries USING btree (module_area)
dev_report_entries,dev_report_entries_pkey,CREATE UNIQUE INDEX dev_report_entries_pkey ON public.dev_report_entries USING btree (id)
dev_report_entries,dev_report_entries_type_date_idx,"CREATE INDEX dev_report_entries_type_date_idx ON public.dev_report_entries USING btree (entry_type, entry_date DESC NULLS LAST)"
dev_report_entries,idx_dev_report_entries_entry_date,CREATE INDEX idx_dev_report_entries_entry_date ON public.dev_report_entries USING btree (entry_date DESC NULLS LAST)
dev_report_entries,uq_dev_report_entries_ingest_key,"CREATE UNIQUE INDEX uq_dev_report_entries_ingest_key ON public.dev_report_entries USING btree (entry_type, COALESCE(entry_date, '1970-01-01'::date), COALESCE(linked_commit, ''::text), title)"
divisions,divisions_code_key,CREATE UNIQUE INDEX divisions_code_key ON public.divisions USING btree (code)
divisions,divisions_pkey,CREATE UNIQUE INDEX divisions_pkey ON public.divisions USING btree (id)
email_change_audit,email_change_audit_pkey,CREATE UNIQUE INDEX email_change_audit_pkey ON public.email_change_audit USING btree (id)
email_change_audit,idx_email_change_audit_user,"CREATE INDEX idx_email_change_audit_user ON public.email_change_audit USING btree (user_id, performed_at DESC)"
email_dispatch_queue,email_dispatch_queue_pkey,CREATE UNIQUE INDEX email_dispatch_queue_pkey ON public.email_dispatch_queue USING btree (id)
email_dispatch_queue,idx_email_dispatch_queue_pending,"CREATE INDEX idx_email_dispatch_queue_pending ON public.email_dispatch_queue USING btree (template_key, created_at) WHERE (sent_at IS NULL)"
email_logs,email_logs_pkey,CREATE UNIQUE INDEX email_logs_pkey ON public.email_logs USING btree (id)
email_logs,idx_email_logs_created_at,CREATE INDEX idx_email_logs_created_at ON public.email_logs USING btree (created_at DESC)
email_logs,idx_email_logs_event_type,CREATE INDEX idx_email_logs_event_type ON public.email_logs USING btree (event_type)
email_logs,idx_email_logs_status,CREATE INDEX idx_email_logs_status ON public.email_logs USING btree (status)
employee_categories,employee_categories_company_name_uniq,"CREATE UNIQUE INDEX employee_categories_company_name_uniq ON public.employee_categories USING btree (company_id, lower(name))"
