table_name,rls_enabled,comment,total_bytes,policy_count,trigger_count,column_count,est_rows
incentive_program_custom_tabs,t,"",24576,4,0,8,-1
incentive_program_mappings,t,"",729088,5,0,5,522
incentive_program_types,t,"",49152,6,0,4,-1
incentive_programs,t,"",49152,7,1,13,7
incentive_score_revisions,t,"",24576,6,0,14,-1
incentive_slab_categories,t,"",49152,2,0,5,-1
incentive_slabs,t,"",65536,5,1,20,9
incentive_stale_zero_cleanup_audit,t,"",32768,2,0,13,-1
incentive_vessel_rates,t,"",49152,11,1,7,-1
increment_eligibility_audit,t,"",98304,2,0,10,-1
increment_eligibility_configs,t,"",81920,4,2,15,1
increment_eligibility_criteria,t,"",49152,4,2,13,-1
increment_eligibility_exclusions,t,"",81920,3,1,7,-1
increment_inputs,t,"",81920,4,1,14,-1
increment_method_configs,t,"",65536,2,1,20,4
increment_method_slabs,t,"",49152,2,1,7,-1
increment_run_items,t,"",98304,5,0,35,-1
increment_runs,t,"",147456,3,0,9,26
increment_slabs,t,"",81920,4,1,20,-1
increment_slabs_audit,t,"",16384,2,0,8,-1
integration_connector_registry,t,"",16384,2,0,5,-1
kpi_audit_logs,t,"",55967744,7,0,11,108116
kpi_definitions,t,"",212992,4,1,6,91
kpi_dust_emission_rescale_2026_06,t,ADR-175 rollback snapshot for the June 2026 Control dust emission KPI rescale.,73728,1,0,18,-1
kpi_mention_access,t,"",155648,3,0,5,230
kpi_name_aliases,t,"",417792,4,0,6,207
kpi_observation_replies,t,"",335872,5,2,7,529
kpi_observations,t,"",1466368,10,3,19,2279
kpi_queries,t,"",417792,12,5,17,901
kpi_registry_audit_log,t,"",65536,2,0,9,-1
kpi_rollback_requests,t,"",180224,3,0,10,232
kpi_scanner_skips,t,Admin-marked duplicate groups to permanently skip from the KPI standardization scanner.,65536,3,0,6,-1
kpi_standardization_actions,t,"",409600,2,0,11,187
kpi_templates,t,"",2260992,2,1,27,925
kpis,t,"",65282048,13,20,43,19472
kra_categories,t,"",98304,2,0,8,74
kra_rollover_logs,t,"",548864,2,0,12,51
levels,t,"",32768,4,0,6,13
locations,t,"",98304,4,1,7,-1
menu_access_config,t,"",106496,2,0,8,56
menu_access_user_overrides,t,"",49152,4,0,5,-1
menu_override_audit,t,"",81920,2,0,8,55
menu_overrides,t,"",98304,4,1,12,34
menu_registry,t,"",65536,2,2,20,69
module_registry,t,"",32768,2,1,13,-1
modules,t,"",49152,2,0,10,-1
notification_event_registry,t,"",16384,2,0,5,-1
notifications,t,"",95502336,3,2,12,105793
okv_migration_history,t,"",311296,2,0,15,116
org_head_config,t,"",49152,2,2,9,-1
org_kpi_data_entry_logs,t,"",113754112,2,0,13,86916
org_kpi_data_owners,t,"",1220608,2,1,14,231
org_kpi_owner_key_backup,t,"",245760,1,0,11,233
org_kpi_owner_key_backup_2026_05,t,"",8192,1,0,7,-1
org_kpi_owner_key_backup_2026_06,t,"",139264,1,0,15,233
org_kpi_value_history,t,"",40960,2,0,16,-1
org_kpi_values,t,"",11657216,4,4,43,4498
password_rollout_logs,t,"",172032,2,0,11,278
performance_improvement_plans,t,"",40960,7,2,17,-1
performance_reviews,t,"",40960,10,1,11,-1
pip_audit_logs,t,"",24576,2,0,8,-1
pip_milestones,t,"",32768,4,1,12,-1
pms_evidence_compression_jobs,t,"",2965504,1,0,19,2853
pms_grades,t,"",49152,2,0,8,-1
privacy_consent_settings,t,"",65536,2,1,16,-1
production_daily_entries,t,"",1302528,3,0,9,3431
production_targets,t,"",24576,5,1,16,-1
profiles,t,"",2965504,19,11,33,2667
registry_suggestion_dismissals,t,"Phase 4a: Admin ""not a duplicate"" decisions for registry auto-merge suggestions. Anti-joined by suggest_definition_merges and suggest_alias_candidates so dismissed pairs do not reappear.",32768,3,0,6,-1
report_access_config,t,"",49152,4,0,7,18
report_access_user_overrides,t,"",49152,4,0,7,-1
report_field_override_audit,t,"",16384,2,0,9,-1
report_field_overrides,t,"",24576,2,1,10,-1
report_field_registry,t,"",139264,2,0,8,284
report_registry,t,"",49152,2,0,10,-1
report_registry_v2,t,"",16384,2,0,5,-1
retention_policies,t,"",65536,2,1,16,-1
review_action_notes,t,"",131072,4,2,17,-1
review_period_audit_log,t,"",49152,2,0,10,0
review_period_auto_rules,t,"",49152,2,0,9,2
review_period_locks,t,"",155648,4,0,12,93
review_period_stages,t,"",32768,3,0,7,-1
review_periods,t,"",81920,2,2,13,10
review_submissions,t,"",13017088,21,11,67,14606
safety_asset_calibrations,t,Append-only calibration history; latest event drives asset row.,24576,2,0,10,-1
safety_asset_evidence,t,"Photos, manuals, certificates linked to an asset.",24576,2,0,7,-1
safety_assets,t,Safety Phase 4 — asset register (calibration-tracked equipment).,122880,2,1,20,-1
safety_audit_log,t,"",335872,1,0,7,399
safety_audit_run_responses,t,Safety Phase 5 — per-item answers; auto_incident_id links critical NOs.,32768,2,0,11,-1
safety_audit_runs,t,Safety Phase 5 — checklist executions; status RPC-only.,81920,4,2,15,-1
safety_audit_template_items,t,"",24576,2,0,9,-1
safety_audit_templates,t,Safety Phase 5 — checklist templates.,65536,2,1,10,-1
safety_drill_findings,t,"",49152,2,1,11,-1
safety_drill_participants,t,"",32768,2,1,9,-1
safety_drill_runs,t,"",49152,1,0,13,-1
safety_emergency_contacts,t,"",49152,2,1,14,-1
safety_emergency_drills,t,"",98304,4,2,19,-1
safety_incident_evidence,t,"",139264,3,2,16,87
safety_incident_progress_logs,t,"",49152,2,0,6,-1
safety_incident_routing_rules,t,"",73728,2,1,11,-1
safety_incident_severities,t,"",65536,2,1,10,-1
safety_incident_sla_rules,t,"",106496,2,1,14,12
safety_incident_timeline,t,"",81920,1,0,7,51
safety_incident_types,t,"",49152,2,1,10,-1
safety_incidents,t,"",270336,4,4,47,16
safety_master_data,t,"Generic categorized reference data for the Safety module (root causes, PPE types, hazard classes, etc.). Admin/Safety Head write; module-access read.",32768,4,1,11,-1
safety_module_access,t,"",16384,2,1,7,-1
safety_notifications,t,"",221184,3,0,10,286
safety_permission_keys,t,"",32768,2,0,7,62
safety_permit_approvals,t,"",40960,2,0,9,-1
safety_permit_evidence,t,"",16384,2,0,9,-1
safety_permit_hira,t,"",32768,2,0,7,-1
safety_permit_loto_steps,t,"",49152,2,0,11,-1
safety_permit_type_config,t,"",49152,2,0,8,-1
safety_permits,t,"",106496,4,2,23,-1
safety_role_permissions,t,"",180224,2,1,5,395
safety_settings,t,"",32768,2,1,5,-1
safety_severity_sla,t,"",24576,2,1,5,-1
safety_sla_escalations,t,"",24576,1,0,5,-1
safety_user_permission_overrides,t,"",16384,2,1,6,-1
safety_user_roles,t,"",73728,3,1,7,-1
sensitive_fields,t,"",40960,2,1,15,-1
skill_competencies,t,"",49152,6,0,13,-1
sub_branches,t,"",49152,2,0,6,-1
sub_period_submissions,t,"",4202496,9,2,22,6328
system_audit_logs,t,"",6152192,4,0,5,10624
system_settings,t,"",139264,3,1,6,118
template_bundle_items,t,"",1089536,2,0,5,1977
template_bundles,t,"",122880,2,1,9,100
template_change_logs,t,"",65536,1,0,11,-1
training_needs,t,"",491520,6,1,14,965
user_roles,t,"",393216,3,0,3,831
vessel_monthly_entries,t,"",49152,7,1,10,-1
workflow_config,t,"",245760,2,3,10,397
workflow_config_migration_log,t,"",32768,2,0,12,-1
workflow_final_score_rules,t,Admin-configured rules deciding how review_submissions.final_score is computed. Precedence: employee+period > department+period > pms_grade+period > template default. NULL ⇒ legacy terminal-stage behavior.,65536,2,1,15,-1
workflow_settings,t,"",90112,2,1,11,33
workflow_templates,t,"",49152,2,0,8,15
